Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
3545389,1,0,0,0,578,0,0,0
3545399,1,0,1,0,582,0,1,3
3545409,0,0,0,0,580,0,0,0
3545419,0,0,0,0,580,0,0,0
3545430,0,0,0,0,580,0,0,0
3545439,0,0,0,0,581,0,0,0
3545449,0,0,0,0,581,0,0,0
3545459,0,0,0,0,581,0,0,0
3545469,1,1,1,1,584,1,0,3
3545479,0,0,0,0,582,0,0,0
3545489,0,0,0,0,581,0,0,0
3545499,0,0,0,0,582,0,0,0
3545509,0,0,0,0,582,0,0,0
3545519,0,0,0,0,582,0,0,0
3545529,0,0,0,0,582,0,0,0
3545539,0,1,0,1,584,1,0,1
3545549,0,0,0,0,582,0,0,0
3545559,0,0,0,0,582,0,0,0
3545569,1,4,0,2,583,0,0,0
3545579,0,0,0,0,582,0,0,0
3545589,0,0,0,0,582,0,0,0
3545600,0,0,0,0,582,0,0,0
3545609,0,0,0,1,585,1,1,1
3545619,0,0,0,0,582,0,0,0
3545629,0,0,0,0,582,0,0,0
3545639,0,0,0,0,583,0,0,0
3545649,1,3,0,0,584,1,0,0
3545659,0,0,0,0,584,1,0,0
3545669,0,0,0,0,583,0,0,0
3545679,1,1,0,0,584,2,0,0
3545689,0,0,0,0,583,0,0,0
3545699,0,0,0,0,583,0,0,0
3545709,0,0,0,0,583,0,0,0
3545719,0,0,0,0,583,0,0,0
3545729,0,0,0,0,583,0,0,0
3545739,0,0,0,0,583,0,0,0
3545749,0,0,0,0,583,0,0,0
3545759,0,0,0,0,583,0,0,0
3545769,0,0,0,0,583,0,0,0
3545779,0,0,0,0,582,0,0,0
3545789,0,0,0,0,583,0,0,0
3545799,0,0,0,0,582,0,0,0
3545809,0,0,0,0,582,0,0,0
3545819,0,0,0,0,582,0,0,0
3545829,0,0,0,0,582,0,0,0
3545839,0,0,0,0,582,0,0,0
3545849,0,0,0,0,582,0,0,0
3545859,0,0,0,0,582,0,0,0
3545869,1,0,1,0,584,0,1,0
3545879,0,0,0,0,582,0,0,0
3545889,1,1,3,0,584,1,0,0
3545900,1,1,2,0,584,3,0,0
3545909,1,1,3,0,584,1,0,0
3545919,0,0,0,0,582,0,0,0
3545929,0,0,0,0,582,0,0,0
3545939,1,0,4,0,585,0,0,0
3545949,0,0,0,0,582,0,0,0
3545959,0,0,0,0,582,0,0,0
3545969,0,0,0,0,582,0,0,0
3545979,0,0,0,0,582,0,0,0
3545989,1,0,0,0,582,0,0,0
3545999,0,0,0,0,582,0,0,0
3546009,0,0,0,0,582,0,0,0
3546019,0,0,0,0,581,0,0,0
3546029,0,0,0,0,581,0,0,0
3546039,0,0,0,0,581,0,0,0
3546049,0,0,0,0,581,0,0,0
3546059,0,0,0,0,581,3,0,0
3546070,0,0,0,0,581,0,0,0
3546079,0,0,0,0,581,0,0,0
3546089,0,0,0,0,581,0,0,0
3546099,0,0,0,0,581,0,0,0
3546109,0,0,0,0,581,0,0,0
3546119,0,0,0,0,581,0,0,0
3546129,0,0,0,0,581,0,0,0
3546139,0,0,0,0,581,0,0,0
3546149,0,0,0,0,581,0,0,0
3546159,0,0,0,0,581,0,0,0
3546169,0,0,0,0,581,0,0,0
3546179,0,0,0,0,581,0,0,0
3546189,0,0,0,0,581,0,0,0
3546199,0,0,0,0,581,0,0,0
3546209,1,1,1,2,581,1,0,0
3546219,0,0,0,0,581,0,0,0
3546229,0,0,0,0,581,0,0,0
3546240,0,0,0,0,581,0,0,0
3546249,0,0,0,0,581,0,0,0
3546259,2,0,0,1,584,0,0,0
3546269,0,0,0,0,582,0,0,0
3546279,0,0,0,0,582,0,0,0
3546289,0,0,0,0,582,0,0,0
3546299,0,0,0,0,582,0,0,0
3546309,0,0,0,0,582,0,0,0
3546319,0,0,0,0,583,0,0,0
3546329,2,0,0,1,585,1,1,0
3546339,2,0,0,0,585,1,0,0
3546349,0,0,0,0,582,0,0,0
3546359,0,0,0,0,582,0,0,0
3546369,2,0,1,4,582,3,0,0
3546379,0,0,0,0,582,1,0,0
3546389,0,0,0,0,583,0,0,0
3546399,2,0,1,6,581,0,0,0
3546409,2,1,1,3,581,0,0,1
3546419,2,1,1,3,581,0,1,1
3546429,0,0,0,0,583,0,0,0
3546439,0,0,0,0,583,0,0,0
3546449,0,0,0,0,583,0,3,0
3546459,0,0,0,0,583,0,0,0
3546469,0,0,0,0,583,0,0,0
3546479,0,0,0,0,583,0,0,0
3546489,0,0,0,0,583,0,0,0
3546499,0,0,0,0,583,0,0,0
3546509,0,0,0,0,583,0,0,0
3546519,0,1,0,1,585,1,1,0
3546529,0,0,0,0,583,0,0,0
3546540,0,0,0,0,583,0,0,0
3546549,0,0,0,0,583,0,0,0
3546559,0,1,1,1,579,0,0,2
3546569,0,0,0,0,583,0,0,0
3546579,0,0,0,0,583,0,0,0
3546589,1,1,0,1,586,1,0,0
3546599,0,0,0,0,584,0,0,0
3546609,0,0,0,0,584,0,0,0
3546619,0,0,0,0,584,0,0,0
3546629,0,0,0,0,584,0,0,0
3546639,0,0,0,0,584,0,0,0
3546649,0,0,0,0,584,0,0,0
3546659,0,1,0,0,587,1,1,1
3546669,0,0,0,0,584,0,0,0
3546679,0,0,0,0,584,0,0,0
3546689,0,0,0,0,584,0,0,0
3546699,0,0,0,0,584,0,0,0
3546710,0,0,0,0,584,0,2,0
3546719,0,0,0,0,584,0,0,0
