Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
1634599,0,0,0,0,0,0,676,0
1634609,0,0,0,0,0,0,674,0
1634619,0,0,0,0,0,0,674,0
1634629,0,0,0,1,1,1,677,0
1634639,0,0,0,0,0,0,675,0
1634649,0,0,0,0,0,0,676,0
1634659,0,0,0,0,0,0,675,0
1634669,0,0,0,0,0,0,675,0
1634679,0,0,0,0,0,0,672,0
1634689,0,0,0,2,1,1,673,0
1634699,0,0,0,2,1,1,673,0
1634709,0,0,0,2,1,1,672,0
1634719,0,0,0,0,0,0,670,0
1634729,0,0,0,0,0,0,670,0
1634739,0,0,0,0,0,0,671,0
1634749,0,0,0,0,0,0,672,0
1634759,0,0,0,0,0,0,672,0
1634769,0,0,0,0,0,0,671,0
1634779,0,0,0,0,0,0,672,0
1634789,0,0,0,0,0,0,672,0
1634799,0,0,0,0,0,0,673,0
1634809,0,0,0,0,0,0,674,0
1634819,0,0,0,0,0,0,673,0
1634829,0,0,0,0,0,0,675,0
1634839,0,0,0,0,0,0,675,0
1634849,0,0,0,0,0,0,676,0
1634860,0,0,0,0,0,0,676,0
1634869,0,0,0,0,0,0,676,0
1634879,0,0,0,0,0,0,675,0
1634889,0,0,0,0,0,0,673,0
1634899,0,0,0,0,0,0,672,0
1634909,0,0,0,0,0,0,672,0
1634919,0,0,0,0,1,1,676,4
1634929,0,0,0,0,0,0,671,0
1634939,0,0,0,0,0,0,670,0
1634949,0,0,0,0,1,1,674,4
1634959,0,0,0,0,1,1,673,4
1634969,0,0,0,0,1,1,673,4
1634979,0,0,0,0,0,0,670,0
1634989,0,0,0,0,0,0,672,0
1634999,0,0,0,0,0,0,672,0
1635009,0,0,0,0,0,0,674,0
1635019,0,0,0,0,0,0,674,0
1635030,0,0,0,0,2,1,679,4
1635039,0,0,0,0,0,0,674,0
1635049,0,0,0,0,0,0,675,0
1635059,0,0,0,0,0,0,676,0
1635069,1,0,0,0,0,0,677,0
1635079,0,0,0,0,0,0,677,0
1635089,0,0,0,0,0,0,675,0
1635099,0,0,0,0,0,0,676,0
1635109,0,0,0,0,0,0,677,0
1635119,0,0,0,0,0,0,678,0
1635129,0,0,0,0,0,1,683,1
1635139,0,0,0,0,0,0,680,0
1635149,0,0,0,0,0,1,683,1
1635159,0,0,0,0,0,0,680,0
1635169,0,0,0,0,0,0,680,0
1635179,0,0,0,0,0,0,681,0
1635189,0,0,0,0,0,0,682,0
1635200,0,0,0,0,0,0,682,0
1635209,0,0,0,0,0,0,683,0
1635219,0,0,0,0,0,1,687,1
1635229,0,0,0,0,0,1,687,1
1635239,0,0,0,0,0,1,688,1
1635249,0,0,0,0,0,0,685,0
1635259,1,1,0,4,0,0,685,0
1635269,0,0,0,0,0,0,685,0
1635279,0,0,0,0,0,0,685,0
1635289,0,0,0,0,0,0,686,0
1635299,0,0,0,0,0,0,686,0
1635309,0,0,0,0,0,0,688,0
1635319,0,0,0,0,0,0,689,0
1635329,0,1,1,1,0,0,689,0
1635339,0,0,0,0,0,0,690,0
1635349,0,0,0,0,0,0,690,0
1635359,0,0,0,0,0,0,690,0
1635369,0,0,0,0,0,0,690,0
1635379,0,0,0,0,0,0,689,0
1635389,0,0,0,0,0,0,689,0
1635399,1,1,1,1,0,0,689,0
1635409,0,0,0,0,0,0,689,0
1635419,0,0,0,0,0,0,689,0
1635429,0,0,0,0,0,0,690,0
1635439,0,0,0,0,0,0,690,0
1635449,0,0,0,0,0,0,690,0
1635459,0,0,0,0,0,0,691,0
1635469,1,1,0,1,3,0,691,0
1635479,0,2,0,0,0,0,690,0
1635489,1,2,0,0,0,0,690,0
1635500,1,2,0,0,0,0,690,0
1635509,0,0,0,0,0,0,690,0
1635519,0,0,0,0,0,0,691,0
1635529,1,2,0,0,0,0,690,0
1635539,1,1,0,1,4,0,690,0
1635549,0,0,0,0,0,0,690,0
1635559,0,0,0,0,0,0,690,0
1635569,0,0,0,0,0,0,691,0
1635579,0,0,0,0,0,0,695,1
1635589,0,0,0,0,0,0,691,0
1635599,0,0,0,0,0,0,691,0
1635609,1,1,1,1,4,0,691,0
1635619,0,0,0,0,0,0,691,0
1635629,0,0,0,0,0,0,691,0
1635639,0,0,0,0,0,0,690,0
1635649,0,0,0,0,0,0,690,0
1635659,1,1,0,1,3,0,689,0
1635670,0,0,0,0,0,0,688,0
1635679,0,0,0,0,0,0,689,0
1635689,0,0,0,0,0,0,687,0
1635699,0,0,0,0,0,0,687,0
1635709,0,0,0,0,0,0,686,0
1635719,0,0,0,0,0,0,687,0
1635729,0,0,0,0,0,0,686,0
1635739,2,0,0,0,0,0,686,0
1635749,2,0,0,0,0,0,687,0
1635759,3,0,0,0,0,0,687,0
1635769,4,2,0,0,0,0,687,0
1635779,3,2,0,0,0,0,688,0
1635789,0,1,0,0,1,0,689,0
1635799,0,0,1,0,0,0,687,0
1635809,0,0,0,0,0,0,687,0
1635819,0,0,0,0,0,0,686,0
1635829,0,0,0,0,0,0,686,0
1635840,0,0,0,0,0,0,684,0
1635849,0,0,0,0,0,0,684,0
1635859,0,0,0,0,0,0,683,0
1635869,0,0,0,0,0,0,682,0
1635879,0,0,0,0,0,0,681,0
1635889,0,0,0,0,0,0,681,0
1635899,0,0,2,0,0,0,682,0
1635909,0,0,0,0,0,0,683,0
1635919,0,0,0,0,0,0,683,0
1635929,0,0,0,0,0,0,682,0
1635939,0,0,0,0,0,0,682,0
1635949,0,0,0,0,0,0,683,1
1635959,0,0,0,0,0,0,682,0
1635969,0,0,0,0,0,0,683,0
1635979,0,0,0,0,0,0,683,0
1635989,0,0,0,0,0,0,683,0
1635999,0,0,0,0,0,0,684,0
1636009,0,0,0,0,0,0,684,1
1636019,0,0,0,0,0,0,684,1
1636029,0,0,0,0,0,0,684,2
1636039,0,0,0,0,0,0,684,0
1636049,0,0,0,0,0,0,685,0
1636059,0,0,0,0,0,0,684,0
1636069,0,0,0,0,0,0,685,0
1636079,0,0,0,0,0,0,685,0
1636089,0,0,0,0,0,0,686,0
1636099,0,0,0,0,0,0,685,0
1636109,0,0,0,0,0,0,686,0
1636119,0,0,0,0,0,0,686,0
1636129,0,0,0,0,0,0,686,0
1636140,0,0,0,0,0,0,687,0
1636149,0,0,0,0,0,0,687,0
1636159,0,0,0,0,0,0,686,0
1636169,0,0,0,0,0,0,686,0
1636179,0,0,0,0,0,0,686,0
1636189,0,0,0,0,0,0,687,0
1636199,0,0,0,0,0,0,686,0
1636209,0,0,0,0,0,0,686,0
1636219,0,0,0,0,0,0,686,0
1636229,0,0,0,0,0,0,686,0
1636239,0,0,0,0,0,0,685,0
1636249,0,0,0,0,0,0,686,0
1636259,0,0,0,0,0,0,685,0
1636269,0,0,0,2,0,0,684,0
1636279,0,0,1,2,0,0,684,0
1636289,0,0,1,0,0,0,684,0
1636299,0,0,0,0,0,0,685,0
1636310,0,0,0,0,0,0,686,0
1636319,0,0,0,0,0,0,688,0
1636329,1,1,0,1,1,1,690,0
1636339,0,0,0,0,0,0,687,0
1636349,0,0,0,0,0,0,689,1
1636359,0,0,0,0,0,0,689,0
1636369,0,0,0,0,0,0,687,0
1636379,0,0,0,0,0,0,689,0
1636389,0,0,0,0,0,0,690,0
1636399,1,0,1,0,1,1,692,0
1636409,0,0,0,0,0,0,689,0
1636419,0,0,0,0,0,0,688,0
1636429,0,0,0,0,0,0,688,0
1636439,0,0,0,0,0,0,687,0
1636449,0,0,1,0,0,0,688,0
1636459,0,0,0,0,0,0,688,0
1636469,0,0,0,0,0,0,688,0
