Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
1022129,0,0,781,0,0,0,0,0
1022139,0,0,781,0,0,0,0,0
1022149,0,0,781,0,0,0,0,0
1022159,0,0,781,0,0,0,0,0
1022169,0,0,782,0,0,0,0,0
1022179,0,0,782,0,0,0,0,0
1022189,0,0,782,0,0,0,0,0
1022199,0,0,782,0,0,0,0,0
1022209,0,0,782,0,0,0,0,0
1022219,0,0,782,0,0,0,0,0
1022229,0,0,782,0,0,0,0,0
1022239,0,0,782,0,0,0,0,0
1022249,0,0,782,0,0,0,0,0
1022259,0,0,782,0,0,0,0,0
1022269,0,0,782,0,0,0,0,0
1022279,0,0,782,0,0,0,0,0
1022289,0,0,782,0,0,0,0,0
1022299,0,0,782,0,0,0,0,0
1022309,0,0,782,0,0,0,0,0
1022319,0,0,782,0,0,0,0,0
1022329,0,0,782,0,0,0,0,0
1022339,0,0,782,0,0,0,0,0
1022349,0,0,782,0,0,0,0,0
1022359,0,0,782,0,0,0,0,0
1022369,0,0,782,0,0,0,0,0
1022380,0,0,782,0,0,0,0,0
1022389,0,0,782,0,0,0,0,0
1022399,0,0,782,0,0,0,0,0
1022409,0,0,782,0,0,0,0,0
1022419,0,0,781,0,0,0,0,0
1022429,0,0,781,0,0,0,0,0
1022439,0,0,781,0,0,0,0,0
1022449,0,0,781,0,0,0,0,0
1022459,0,0,781,0,0,0,0,0
1022469,0,0,781,0,0,0,0,0
1022479,0,0,781,0,0,0,0,0
1022489,0,0,781,0,0,0,0,0
1022499,0,0,781,0,0,0,0,0
1022509,0,0,781,0,0,0,0,0
1022519,0,0,781,0,0,0,0,0
1022529,0,0,781,0,0,0,0,0
1022539,0,0,781,0,0,0,0,0
1022550,0,0,781,0,0,0,0,0
1022559,0,0,780,0,0,0,0,0
1022569,0,0,780,0,0,0,0,0
1022579,0,0,781,0,0,0,0,0
1022589,0,0,780,0,0,0,0,0
1022599,0,0,779,0,0,0,0,0
1022609,0,0,779,0,0,0,0,0
1022619,0,0,779,0,0,0,0,0
1022629,0,0,779,0,0,0,0,0
1022639,0,0,779,0,0,0,0,0
1022649,0,0,781,0,0,0,0,0
1022659,0,0,779,0,0,0,0,0
1022669,0,0,779,0,0,0,0,0
1022679,0,0,779,0,0,0,0,0
1022689,0,0,779,0,0,0,0,0
1022699,0,0,781,0,0,0,0,0
1022709,0,0,779,0,0,0,0,0
1022720,0,0,779,0,0,0,0,0
1022729,0,0,779,0,0,0,0,0
1022739,0,0,779,0,0,0,0,0
1022749,0,0,779,0,0,0,0,0
1022759,0,0,781,0,0,0,0,0
1022769,0,0,779,0,0,0,0,0
1022779,0,0,779,0,0,0,0,0
1022789,0,0,779,0,0,0,0,0
1022799,0,0,779,0,0,0,0,0
1022809,0,0,779,0,0,0,0,0
1022819,0,0,779,0,0,0,0,0
1022829,0,0,779,0,0,0,0,0
1022839,0,0,778,0,0,0,0,0
1022849,0,0,778,0,0,0,0,0
1022859,0,0,778,0,0,0,0,0
1022869,0,0,777,0,0,0,0,0
1022879,0,0,777,0,0,0,0,0
1022889,0,0,777,0,0,0,0,0
1022899,0,0,777,0,0,0,0,0
1022909,0,0,777,0,0,0,0,0
1022919,0,0,777,0,0,0,0,0
1022929,0,0,777,0,0,0,0,0
1022939,0,0,777,0,0,0,0,0
1022949,0,0,777,0,0,0,0,0
1022959,0,0,777,0,0,0,0,0
1022969,0,0,777,0,0,0,0,0
1022979,0,0,777,0,0,0,0,0
1022989,0,0,776,0,0,0,0,0
1022999,0,0,778,0,0,0,0,0
1023009,0,0,776,0,0,0,0,0
1023020,0,0,776,0,0,0,0,0
1023029,0,0,776,0,0,0,0,0
1023039,0,0,776,0,0,0,0,0
1023049,0,0,776,0,0,0,0,0
1023059,0,0,776,0,0,0,0,0
1023069,0,0,776,0,0,0,0,0
1023079,0,0,776,0,0,0,0,0
1023089,0,0,777,0,0,0,0,0
1023099,0,0,777,0,0,0,0,0
1023109,0,0,777,0,0,0,0,0
1023119,0,0,778,0,0,0,0,0
1023129,0,0,778,0,0,0,0,0
1023139,0,0,779,0,0,0,0,0
1023149,0,0,779,0,0,0,0,0
1023159,0,0,779,0,0,0,0,0
1023169,0,0,779,0,0,0,0,0
1023179,0,0,779,0,0,0,0,0
1023190,0,0,779,0,0,0,0,0
1023199,0,0,779,0,0,0,0,0
1023209,0,0,780,0,0,0,0,0
1023219,0,0,779,0,0,0,0,0
1023229,0,0,780,0,0,0,0,0
1023239,0,0,779,0,0,0,0,0
1023249,0,0,779,0,0,0,0,0
1023259,0,0,780,0,0,0,0,0
1023269,0,0,779,0,0,0,0,0
1023279,0,0,779,0,0,0,0,0
1023289,0,0,779,0,0,0,0,0
1023299,0,0,779,0,0,0,0,0
1023309,0,0,779,0,0,0,0,0
1023319,0,0,780,0,0,0,0,0
1023329,0,0,781,0,0,0,0,0
1023339,0,0,780,0,0,0,0,0
1023349,0,0,780,0,0,0,0,0
1023360,0,0,780,0,0,0,0,0
1023369,0,0,780,0,0,0,0,0
1023379,0,0,780,0,0,0,0,0
1023389,0,0,780,0,0,0,0,0
1023399,0,0,781,0,0,0,0,0
1023409,0,0,781,0,0,0,0,0
1023419,0,0,781,0,0,0,0,0
1023429,0,0,781,0,0,0,0,0
1023439,0,0,781,0,0,0,0,0
1023449,0,0,781,0,0,0,0,0
1023459,0,0,781,0,0,0,0,0
1023469,0,0,781,0,0,0,0,0
1023479,0,0,781,0,0,0,0,0
1023489,0,0,781,0,0,0,0,0
1023499,0,0,781,0,0,0,0,0
1023509,0,0,781,0,0,0,0,0
1023519,0,0,781,0,0,0,0,0
1023529,0,0,781,0,0,0,0,0
1023539,0,0,780,0,0,0,0,0
1023549,0,0,780,0,0,0,0,0
1023559,0,0,780,0,0,0,0,0
1023569,0,0,780,0,0,0,0,0
1023579,0,0,781,0,0,0,0,0
1023589,0,0,782,0,0,0,0,0
1023599,0,0,781,0,0,0,0,0
1023609,0,0,781,0,0,0,0,0
1023619,0,0,781,0,0,0,0,0
1023629,0,0,781,0,0,0,0,0
1023639,0,0,781,0,0,0,0,0
1023649,0,0,781,0,0,0,0,0
1023660,0,0,780,0,0,0,0,0
1023669,0,0,780,0,0,0,0,0
1023679,0,0,783,0,0,0,0,0
1023689,0,0,780,0,0,0,0,0
