Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
494779,0,0,0,0,0,0,0,120
494789,0,0,0,0,0,0,0,121
494799,0,0,0,0,0,0,0,121
494809,0,0,0,0,0,0,0,122
494819,0,0,0,0,0,0,0,121
494829,0,0,0,0,0,0,0,121
494839,0,0,0,0,0,0,0,121
494849,0,0,0,0,0,0,0,121
494859,0,0,0,0,0,0,0,120
494869,0,0,0,0,0,0,0,121
494879,0,0,0,0,0,0,0,121
494889,0,0,0,0,0,0,0,121
494899,0,0,0,0,0,0,0,121
494909,0,0,0,0,0,0,0,121
494919,0,0,0,0,0,0,0,121
494929,0,0,0,0,0,0,0,121
494939,0,0,0,0,0,0,0,121
494949,0,0,0,0,0,0,0,121
494959,0,0,0,0,0,0,0,121
494969,0,0,0,0,0,0,0,121
494979,0,0,0,0,0,0,0,121
494989,0,0,0,0,0,0,0,121
494999,0,0,0,0,0,0,0,121
495009,0,0,0,0,0,0,0,121
495020,0,0,0,0,0,0,0,122
495029,0,0,0,0,0,0,0,122
495039,0,0,0,0,0,0,0,123
495049,0,0,0,0,0,0,0,122
495059,0,0,0,0,0,0,0,122
495069,0,0,0,0,0,0,0,122
495079,0,0,0,0,0,0,0,123
495089,0,0,0,0,0,0,0,123
495099,0,0,0,0,0,0,0,123
495109,0,0,0,0,0,0,0,123
495119,0,0,0,0,0,0,0,123
495129,0,0,0,0,0,0,0,123
495139,0,0,0,0,0,0,0,124
495149,0,0,0,0,0,0,0,124
495159,0,0,0,0,0,0,0,124
495169,0,0,0,0,0,0,0,124
495179,0,0,0,0,0,0,0,124
495190,0,0,0,0,0,0,0,124
495199,0,0,0,0,0,0,0,124
495209,0,0,0,0,0,0,0,124
495219,0,0,0,0,0,0,0,124
495229,0,0,0,0,0,0,0,124
495239,0,0,0,0,0,0,0,124
495249,0,0,0,0,0,0,0,125
495259,0,0,0,0,0,0,0,124
495269,0,0,0,0,0,0,0,124
495279,0,0,0,0,0,0,0,124
