Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
17:24:01.857757,12049,0,3,1,1,1,0,0,0
17:24:01.857757,12099,0,0,1,1,1,0,0,1
17:24:01.868046,12109,0,0,1,1,1,0,0,1
17:24:01.871906,12119,0,0,1,1,1,0,0,1
17:24:01.875717,12129,0,1,1,1,1,0,0,1
17:24:01.877856,12139,0,0,0,0,0,0,0,0
17:24:01.878919,12149,1,0,0,0,0,0,0,0
17:24:01.883414,12160,0,1,0,0,0,0,0,0
17:24:01.885629,12169,0,0,0,0,0,0,0,0
17:24:01.888096,12179,0,0,0,1,1,3,0,2
17:24:01.891781,12189,0,0,2,1,1,2,0,2
17:24:01.894217,12199,0,0,0,0,0,0,0,0
17:24:01.896666,12209,0,0,0,0,0,0,0,0
17:24:01.899304,12219,0,0,0,0,0,0,0,0
17:24:01.901605,12229,0,0,0,0,0,0,0,0
17:24:01.905037,12239,0,0,0,0,0,0,0,0
17:24:01.907574,12249,0,0,0,0,0,0,0,0
17:24:01.910657,12259,0,0,0,0,0,0,0,0
17:24:01.914086,12269,0,0,0,0,0,0,0,0
17:24:01.916194,12279,0,0,0,0,0,0,0,0
17:24:01.919060,12289,0,0,0,0,0,0,0,0
17:24:01.922255,12299,0,0,0,0,0,0,0,0
17:24:01.925475,12309,0,0,0,0,0,0,0,0
17:24:01.928014,12319,0,0,0,0,0,0,0,0
17:24:01.930532,12329,0,0,0,0,0,0,0,0
17:24:01.932699,12339,0,0,0,0,0,0,0,0
17:24:01.934860,12349,0,0,0,0,0,0,0,0
17:24:01.938109,12359,0,0,0,0,0,0,0,0
17:24:01.940527,12369,0,0,0,0,0,0,0,0
17:24:01.941679,12379,0,0,0,0,0,0,0,0
17:24:01.947620,12389,0,0,0,0,0,0,0,0
17:24:01.948777,12399,0,0,0,0,0,0,0,0
17:24:01.950216,12409,0,0,0,0,0,0,0,0
17:24:01.950216,12419,0,0,0,0,0,0,0,0
17:24:01.956438,12429,0,0,0,0,0,0,0,0
17:24:01.959770,12439,0,0,0,0,0,0,0,0
17:24:01.961509,12449,0,0,0,0,0,0,0,0
17:24:01.963856,12460,0,0,0,0,0,0,0,0
17:24:01.964854,12469,0,0,0,0,0,0,0,0
17:24:01.967795,12479,0,0,0,0,0,0,0,0
17:24:01.969939,12489,0,0,0,0,0,0,0,0
17:24:01.972400,12499,0,0,0,0,0,0,0,0
17:24:01.973420,12509,0,0,0,0,0,0,0,0
17:24:01.977947,12519,0,0,0,0,0,0,0,0
17:24:01.979970,12529,0,0,0,0,0,0,0,0
17:24:01.981034,12539,0,0,0,0,0,0,0,0
17:24:01.982341,12549,0,0,0,0,0,0,0,0
17:24:01.985968,12559,0,0,0,0,0,0,0,0
17:24:01.987613,12569,0,0,0,0,0,0,0,0
17:24:01.989647,12579,0,0,0,0,0,0,0,0
17:24:01.993780,12589,0,0,0,0,0,0,0,0
17:24:01.996511,12599,0,0,0,0,0,0,0,0
17:24:01.998013,12609,0,0,0,0,0,0,0,0
17:24:01.998013,12619,0,0,0,0,0,0,0,0
17:24:02.002146,12630,0,0,0,0,0,0,0,0
17:24:02.004608,12639,0,0,0,0,0,0,0,0
17:24:02.007811,12649,0,0,0,0,0,0,0,0
17:24:02.010264,12659,0,0,0,0,0,0,0,0
17:24:02.011352,12669,0,0,0,0,0,0,0,0
17:24:02.013689,12679,0,0,0,0,0,0,0,0
17:24:02.013689,12689,0,0,0,0,0,0,0,0
17:24:02.016412,12699,0,0,0,0,0,0,0,0
17:24:02.019043,12709,0,0,0,0,0,0,0,0
17:24:02.021227,12719,0,0,0,0,0,0,0,0
17:24:02.026363,12729,0,0,0,0,0,0,0,0
17:24:02.027865,12739,0,0,0,0,0,0,0,0
17:24:02.030165,12749,0,0,0,0,0,0,0,0
17:24:02.032278,12759,0,0,0,0,0,0,0,0
17:24:02.034907,12769,0,0,0,0,0,0,0,0
17:24:02.035974,12779,0,0,0,0,0,0,0,0
17:24:02.038154,12789,0,0,0,0,1,1,1,0
17:24:02.041025,12800,0,0,0,0,0,0,0,0
17:24:02.043060,12809,0,0,0,0,0,0,0,0
17:24:02.044505,12819,0,0,0,0,0,0,0,0
17:24:02.046460,12829,0,0,0,0,0,0,0,0
17:24:02.049027,12839,0,0,0,0,0,0,0,0
17:24:02.050036,12849,0,0,0,0,0,0,0,0
17:24:02.052089,12859,0,0,0,0,0,0,0,0
17:24:02.054018,12869,0,0,0,0,0,0,0,0
17:24:02.056199,12879,0,0,0,0,0,0,0,0
17:24:02.058899,12889,0,0,0,0,0,0,0,0
17:24:02.058899,12899,0,0,0,0,0,0,0,0
17:24:02.062614,12909,0,0,0,0,0,0,0,0
17:24:02.063652,12919,0,0,0,0,0,0,0,0
17:24:02.065695,12929,0,0,0,0,0,0,0,0
17:24:02.067755,12939,0,0,0,0,0,0,0,0
17:24:02.068981,12949,0,0,0,0,0,0,0,0
17:24:02.070333,12959,0,0,0,0,0,0,0,0
17:24:02.073127,12969,0,0,0,0,0,0,0,0
17:24:02.073127,12979,0,0,0,0,0,0,0,0
17:24:02.077885,12989,0,0,0,0,0,0,0,0
17:24:02.080044,12999,0,0,0,0,0,0,0,0
17:24:02.081068,13009,0,0,0,0,0,0,0,0
17:24:02.082470,13019,0,0,0,0,0,0,0,0
17:24:02.084688,13029,0,0,0,0,0,0,0,0
17:24:02.085873,13039,0,0,0,0,0,0,0,0
17:24:02.087902,13049,0,0,0,0,0,0,0,0
17:24:02.091017,13059,1,0,0,0,0,0,0,0
17:24:02.093047,13069,0,0,0,0,0,0,0,0
17:24:02.094100,13079,0,0,0,0,0,0,0,0
17:24:02.095276,13089,0,0,0,0,0,0,0,0
17:24:02.098642,13100,0,0,0,0,0,0,0,0
17:24:02.099665,13109,2,0,0,0,0,0,0,0
17:24:02.100871,13119,0,0,0,0,0,0,0,0
17:24:02.102077,13129,0,0,0,0,0,0,0,0
17:24:02.104907,13139,0,0,0,0,0,0,0,0
17:24:02.107564,13149,0,0,0,0,0,0,0,0
17:24:02.109635,13159,2,0,0,0,0,0,0,0
17:24:02.111569,13169,1,1,1,4,0,0,0,0
17:24:02.112763,13179,0,0,0,0,0,0,0,0
17:24:02.115027,13189,0,0,1,4,0,0,0,0
17:24:02.116064,13199,0,0,0,0,0,0,0,0
17:24:02.118704,13209,0,0,0,0,0,0,0,0
17:24:02.119719,13219,0,0,0,0,0,0,0,0
17:24:02.122744,13229,1,0,0,0,0,0,0,0
17:24:02.122744,13239,2,0,0,0,0,1,1,1
17:24:02.126483,13249,0,0,0,0,0,1,1,1
17:24:02.129109,13259,1,1,1,3,0,0,0,0
17:24:02.130266,13270,1,0,0,0,0,0,0,0
17:24:02.132385,13279,0,0,0,0,0,2,1,1
17:24:02.134139,13289,2,0,0,0,0,0,0,0
17:24:02.135321,13299,2,0,0,0,0,0,0,0
17:24:02.137983,13309,1,1,1,1,0,0,0,0
17:24:02.141468,13319,2,0,0,0,0,0,0,0
17:24:02.143518,13329,2,0,0,0,0,0,0,0
17:24:02.145626,13339,2,0,0,0,0,2,0,0
17:24:02.147720,13349,0,0,0,0,0,3,1,1
17:24:02.149772,13359,2,0,0,0,0,3,1,1
17:24:02.152226,13369,0,0,0,0,0,3,1,1
17:24:02.153957,13379,2,0,0,0,0,0,0,0
17:24:02.156487,13389,4,0,0,0,0,4,1,0
17:24:02.158022,13399,0,0,0,0,0,4,1,1
17:24:02.160790,13409,3,0,0,0,0,2,1,1
17:24:02.161991,13419,0,0,0,0,0,0,0,0
17:24:02.164113,13429,1,0,0,0,0,0,0,0
17:24:02.165311,13440,1,0,0,0,0,0,0,0
17:24:02.168591,13449,0,0,0,0,0,0,1,1
17:24:02.169613,13459,0,2,0,0,0,0,1,1
17:24:02.170895,13469,0,0,0,0,0,0,1,1
17:24:02.172832,13479,1,1,1,1,4,0,0,0
17:24:02.176404,13489,1,0,0,0,0,0,0,0
17:24:02.177930,13499,1,0,0,0,0,0,0,0
17:24:02.180004,13509,1,0,0,0,0,0,0,0
17:24:02.181033,13519,1,0,0,0,0,0,0,0
17:24:02.183485,13529,0,0,0,0,0,0,1,1
17:24:02.184693,13539,0,0,0,0,0,0,1,1
17:24:02.186754,13549,1,1,1,1,4,0,0,0
17:24:02.189082,13559,1,0,0,0,0,0,0,0
17:24:02.191129,13569,2,0,1,0,0,0,1,1
17:24:02.193622,13579,2,1,0,0,0,0,1,1
17:24:02.195928,13589,0,0,0,0,0,0,1,1
17:24:02.195928,13599,1,1,1,1,3,0,0,0
17:24:02.199079,13609,1,1,1,1,1,0,0,0
17:24:02.200118,13619,2,2,0,0,0,0,1,0
17:24:02.202612,13629,0,0,0,0,0,0,2,1
17:24:02.203647,13639,0,0,0,0,0,0,2,1
17:24:02.206302,13649,0,0,0,0,0,0,2,1
17:24:02.209640,13659,0,0,0,0,0,0,2,1
17:24:02.209640,13669,1,1,1,1,1,0,0,0
17:24:02.209640,13679,4,2,0,0,0,0,0,0
17:24:02.209640,13689,4,2,0,0,0,0,0,0
17:24:02.209640,13699,0,0,0,0,0,0,3,1
17:24:02.217837,13709,0,0,0,0,0,0,3,1
17:24:02.220007,13719,0,0,0,0,0,0,4,1
17:24:02.221085,13729,0,0,0,0,0,0,4,1
17:24:02.224590,13740,1,1,1,1,0,0,0,0
17:24:02.227073,13749,0,2,0,0,0,0,0,0
17:24:02.228639,13759,0,0,1,0,0,0,0,0
17:24:02.230290,13769,0,3,0,0,0,0,0,0
17:24:02.231456,13779,0,1,0,0,0,0,0,0
17:24:02.233592,13789,0,1,0,0,0,0,0,1
17:24:02.234689,13799,0,0,0,0,0,0,0,1
17:24:02.237541,13809,1,1,1,1,1,3,0,0
17:24:02.240261,13819,0,1,0,0,0,0,0,0
17:24:02.241322,13829,0,0,0,0,0,0,0,0
17:24:02.245056,13839,0,0,0,0,0,0,0,0
17:24:02.246120,13849,0,0,0,0,0,0,0,0
17:24:02.247647,13859,0,0,0,0,0,0,0,0
17:24:02.249709,13869,0,0,0,0,0,0,0,0
17:24:02.249709,13879,1,1,1,1,1,4,0,0
17:24:02.253433,13889,1,1,1,1,0,4,0,0
17:24:02.255649,13899,0,0,0,0,0,0,0,0
17:24:02.257640,13910,0,0,0,0,0,0,0,0
17:24:02.257640,13919,0,0,0,0,0,0,0,0
17:24:02.262290,13929,0,0,0,0,0,0,0,0
17:24:02.263345,13939,0,0,0,0,0,0,0,0
17:24:02.265478,13949,1,1,1,1,1,1,0,0
17:24:02.267490,13959,0,2,2,0,0,0,0,0
17:24:02.268693,13969,0,0,0,0,0,0,0,0
17:24:02.270027,13979,0,0,0,0,0,0,0,0
17:24:02.272694,13989,0,0,0,0,0,0,0,2
17:24:02.272694,13999,0,0,0,0,0,0,0,2
17:24:02.278731,14009,0,0,0,0,0,0,0,3
17:24:02.279976,14019,1,1,1,1,1,1,0,0
17:24:02.281000,14029,0,4,2,0,0,0,0,0
17:24:02.283177,14039,0,2,0,0,0,0,0,0
17:24:02.286209,14049,0,0,2,0,0,0,0,0
17:24:02.293673,14059,0,0,2,0,0,0,0,0
17:24:02.296196,14069,0,0,4,0,0,0,0,0
17:24:02.297714,14080,0,0,2,0,0,0,0,0
17:24:02.297714,14089,1,1,0,1,1,1,2,0
17:24:02.302022,14099,0,0,3,0,0,0,0,0
17:24:02.304416,14109,0,0,3,0,0,0,0,0
17:24:02.307167,14119,0,0,0,0,0,0,0,0
17:24:02.309942,14129,0,0,0,0,0,0,0,0
17:24:02.312318,14139,0,0,0,0,0,0,0,0
17:24:02.312318,14149,0,0,0,0,0,0,0,0
17:24:02.315834,14159,0,0,0,0,0,0,0,0
17:24:02.317583,14169,0,0,0,0,0,0,0,0
17:24:02.320221,14179,0,0,0,0,0,0,0,0
17:24:02.322396,14189,1,1,1,1,1,1,4,0
17:24:02.324055,14199,0,0,0,0,0,0,0,0
17:24:02.326427,14209,0,0,0,0,0,0,0,0
17:24:02.328868,14219,0,0,0,0,0,0,0,0
17:24:02.329892,14229,0,0,0,0,0,0,0,0
17:24:02.331308,14239,0,0,0,0,0,0,0,0
17:24:02.332386,14249,0,0,0,0,0,0,0,0
17:24:02.335185,14259,1,1,1,1,1,1,3,0
17:24:02.336285,14269,0,0,0,0,0,0,0,0
17:24:02.338351,14279,0,0,0,0,0,0,0,0
17:24:02.339293,14289,4,0,2,1,0,0,0,0
17:24:02.343594,14299,3,0,2,2,0,0,0,0
17:24:02.345883,14309,4,0,2,0,0,0,0,0
17:24:02.346891,14319,4,0,2,2,0,0,0,0
17:24:02.347900,14329,4,0,2,2,0,0,0,0
17:24:02.350327,14339,4,0,2,2,0,0,0,0
17:24:02.351551,14349,4,0,3,0,0,0,0,0
17:24:02.352626,14359,4,0,4,2,0,0,0,0
17:24:02.356852,14369,4,0,3,2,0,0,0,0
17:24:02.359071,14380,4,0,4,2,0,0,0,0
17:24:02.360248,14389,4,0,0,0,0,0,0,0
17:24:02.362683,14399,1,1,1,1,1,1,1,0
17:24:02.364682,14409,3,0,0,4,0,0,0,0
17:24:02.366577,14419,3,0,0,2,0,0,0,0
17:24:02.368133,14429,0,0,0,0,0,0,0,0
17:24:02.370255,14439,0,0,0,0,0,0,0,0
17:24:02.373513,14449,0,0,0,0,0,0,0,0
17:24:02.376604,14459,0,0,0,0,0,0,0,0
17:24:02.379079,14469,1,0,0,0,1,0,0,0
17:24:02.381269,14479,0,0,0,0,0,0,0,0
17:24:02.382717,14489,0,0,0,0,0,0,0,0
17:24:02.384757,14499,0,0,0,0,0,0,0,0
17:24:02.385773,14509,0,0,0,0,0,0,0,0
17:24:02.388834,14519,0,0,0,0,0,0,0,0
17:24:02.391146,14529,0,0,0,0,0,0,0,0
17:24:02.394433,14539,0,0,0,0,0,0,0,0
17:24:02.395452,14550,0,0,0,0,0,0,0,0
17:24:02.397453,14559,1,1,1,1,1,1,1,4
17:24:02.400650,14569,0,0,0,0,0,0,0,0
17:24:02.401670,14579,0,0,0,0,0,0,0,0
17:24:02.403707,14589,0,0,0,0,0,0,0,0
17:24:02.406120,14599,0,0,0,0,0,0,0,0
17:24:02.407630,14609,0,0,0,0,0,0,0,0
17:24:02.411367,14619,0,0,0,0,0,0,0,0
17:24:02.413841,14629,0,0,0,0,0,0,0,0
17:24:02.416143,14639,0,0,0,0,0,0,0,0
17:24:02.417780,14649,0,0,0,0,0,0,0,0
17:24:02.419985,14659,0,0,0,0,0,0,0,0
17:24:02.422439,14669,0,0,0,0,0,0,0,0
17:24:02.426213,14679,0,0,0,0,0,0,0,0
17:24:02.427719,14689,0,0,0,0,0,0,0,0
17:24:02.429746,14699,0,0,0,0,0,0,0,0
17:24:02.431899,14709,1,0,0,0,0,0,0,0
17:24:02.434152,14720,1,0,0,0,0,0,0,0
17:24:02.436385,14729,0,0,0,0,0,0,0,0
17:24:02.438480,14739,0,0,0,0,0,0,0,0
17:24:02.441850,14749,0,0,0,0,0,0,0,0
17:24:02.444354,14759,0,0,0,0,0,0,0,0
17:24:02.445426,14769,0,0,0,0,0,0,0,0
17:24:02.448526,14779,1,1,0,0,0,1,0,0
17:24:02.449553,14789,1,1,0,0,1,0,0,0
17:24:02.452153,14799,0,0,0,0,0,0,0,0
17:24:02.454008,14809,0,0,0,0,0,0,0,0
17:24:02.456240,14819,0,0,0,0,0,0,0,0
17:24:02.457761,14829,1,1,0,0,0,2,0,0
17:24:02.460234,14839,0,0,0,0,0,0,0,0
17:24:02.461554,14849,0,0,0,0,0,0,0,0
17:24:02.463777,14859,0,0,0,0,1,0,0,0
17:24:02.464800,14869,0,0,0,0,1,2,0,0
17:24:02.467797,14879,0,0,0,0,0,0,0,0
17:24:02.468820,14889,0,0,0,0,0,0,0,0
17:24:02.469862,14899,0,0,0,0,0,0,0,0
17:24:02.473683,14909,0,0,0,0,0,0,0,0
17:24:02.475739,14919,0,0,0,0,0,0,0,0
17:24:02.477807,14929,1,1,1,1,1,1,1,1
17:24:02.479151,14939,0,0,0,0,0,0,0,0
17:24:02.480602,14949,0,0,0,0,0,0,0,0
17:24:02.480602,14959,0,0,0,0,0,0,0,0
17:24:02.480602,14969,0,0,0,0,0,0,0,0
17:24:02.486713,14979,0,0,0,0,0,0,0,0
17:24:02.489195,14989,0,0,0,0,0,0,0,0
17:24:02.491584,14999,1,1,1,1,1,0,1,1
17:24:02.493891,15009,0,0,0,0,0,0,0,0
17:24:02.496590,15020,0,0,0,0,0,0,0,0
17:24:02.497694,15029,0,0,0,0,0,0,0,0
17:24:02.498895,15039,0,0,0,0,0,0,0,0
17:24:02.502304,15049,0,0,0,0,0,0,0,0
17:24:02.504532,15059,0,0,0,0,0,0,0,0
17:24:02.506771,15069,0,0,0,0,0,2,0,0
17:24:02.508296,15079,0,0,0,0,0,0,0,0
17:24:02.510912,15089,0,0,0,0,0,0,0,0
17:24:02.511927,15099,0,0,0,0,0,0,0,0
