Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
15:36:03.177344,17439,185,159,470,360,1,499,887,699
15:36:03.181355,17449,185,159,470,360,1,500,887,699
15:36:03.185833,17459,185,160,470,360,1,500,886,699
15:36:03.188379,17469,185,159,469,359,0,500,888,700
15:36:03.191227,17479,184,160,469,359,0,500,888,700
15:36:03.194330,17489,184,161,470,359,0,500,887,698
15:36:03.197143,17499,186,160,469,359,0,500,888,701
15:36:03.198170,17509,184,162,471,359,0,500,887,701
15:36:03.201557,17519,186,162,471,359,0,500,886,698
15:36:03.203960,17529,187,160,470,360,0,501,887,701
15:36:03.206014,17539,186,163,470,360,0,500,886,698
15:36:03.209206,17549,187,163,471,360,0,501,886,698
15:36:03.213114,17559,188,163,471,360,0,501,887,698
15:36:03.215129,17569,189,163,471,360,0,501,886,698
15:36:03.217973,17580,191,163,472,360,0,501,886,698
15:36:03.220025,17589,193,163,472,359,0,501,886,698
15:36:03.222040,17599,196,163,472,361,0,501,886,698
15:36:03.223990,17609,198,164,473,361,0,501,886,698
15:36:03.228150,17619,199,164,473,362,1,498,886,698
15:36:03.230377,17629,201,164,474,361,0,501,886,698
15:36:03.232424,17639,204,164,474,360,0,501,886,698
15:36:03.232424,17649,207,165,474,362,0,501,886,698
15:36:03.237343,17659,209,165,474,363,0,501,886,698
15:36:03.239470,17669,213,161,474,363,0,502,886,698
15:36:03.242629,17679,216,161,474,364,0,502,886,698
15:36:03.245618,17689,219,160,474,364,0,502,886,698
15:36:03.247064,17699,221,161,475,365,0,502,886,698
15:36:03.249595,17709,223,161,475,365,0,502,886,698
15:36:03.251825,17719,225,162,476,366,0,502,886,698
15:36:03.253849,17729,227,162,476,366,0,502,886,698
15:36:03.257158,17739,229,162,476,367,0,502,886,698
15:36:03.257761,17750,232,163,476,367,0,502,886,698
15:36:03.262799,17759,233,163,477,368,0,502,886,698
15:36:03.265192,17769,235,164,477,368,0,502,886,697
15:36:03.267224,17779,237,164,477,368,0,502,886,698
15:36:03.268977,17789,239,164,478,369,0,502,886,697
15:36:03.272355,17799,241,163,477,369,0,502,886,698
15:36:03.278379,17809,243,163,478,370,0,502,886,697
15:36:03.281861,17819,245,163,478,370,0,502,885,697
15:36:03.283907,17829,247,164,478,370,0,502,886,698
15:36:03.285928,17839,249,164,479,370,0,502,886,697
15:36:03.286980,17849,251,165,478,370,0,502,886,698
15:36:03.291042,17859,253,165,479,370,0,502,885,697
15:36:03.294153,17869,256,165,479,371,0,502,885,697
15:36:03.296864,17879,257,165,479,371,0,502,885,697
15:36:03.298882,17889,259,165,479,371,0,502,886,698
15:36:03.300889,17899,261,165,480,371,0,503,885,697
15:36:03.301892,17909,262,164,480,372,0,503,886,698
15:36:03.305155,17920,264,164,480,372,0,503,885,698
15:36:03.309143,17929,265,165,480,372,0,503,886,698
15:36:03.310548,17939,266,164,480,372,0,503,886,698
15:36:03.313232,17949,267,164,480,372,0,503,886,698
15:36:03.315643,17959,268,164,480,372,0,503,886,698
15:36:03.317650,17969,269,164,480,372,0,503,886,698
15:36:03.317650,17979,270,165,480,371,0,503,886,698
15:36:03.323007,17989,271,164,480,372,0,503,886,698
15:36:03.327590,17999,272,165,480,371,0,503,886,698
15:36:03.329624,18009,272,164,480,371,0,503,886,698
15:36:03.331638,18019,273,164,480,371,0,503,886,698
15:36:03.332645,18029,273,165,479,371,0,504,886,698
15:36:03.335839,18039,274,164,479,371,0,504,886,698
15:36:03.337863,18049,273,164,479,370,0,504,886,698
15:36:03.339904,18059,273,164,479,371,0,504,886,698
15:36:03.343791,18069,274,163,479,371,0,505,886,698
15:36:03.345841,18079,274,163,478,371,0,505,886,698
15:36:03.347883,18089,273,163,479,371,0,505,886,698
15:36:03.348901,18099,273,162,478,371,0,505,886,698
15:36:03.352147,18109,273,162,478,372,0,505,886,699
15:36:03.354204,18119,273,162,478,371,0,505,887,698
