Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:50:47.267712,373239,231,274,518,482,370,352,873,609
16:50:47.278879,373249,226,267,515,476,374,354,874,610
16:50:47.281930,373259,222,260,512,475,373,356,875,612
16:50:47.284075,373269,217,252,510,474,372,359,878,614
16:50:47.287066,373279,211,244,508,471,371,361,879,616
16:50:47.290324,373289,207,235,505,469,369,363,880,617
16:50:47.290324,373299,202,226,502,467,368,364,880,617
16:50:47.296449,373309,196,218,500,465,366,365,881,618
16:50:47.299031,373319,192,211,498,464,365,365,882,618
16:50:47.302855,373329,188,205,497,462,366,367,883,619
16:50:47.305734,373339,186,200,496,461,364,367,884,620
16:50:47.308636,373349,182,197,496,461,363,369,884,621
16:50:47.308636,373359,185,197,495,461,363,370,884,621
16:50:47.313002,373369,185,198,495,460,364,371,884,622
16:50:47.315161,373379,185,199,495,461,364,372,884,622
16:50:47.317374,373389,186,202,496,461,364,372,884,622
16:50:47.317374,373399,184,205,497,462,365,373,884,622
16:50:47.323830,373409,187,208,498,462,365,373,884,622
16:50:47.325857,373420,189,213,499,463,365,374,884,622
16:50:47.325857,373429,189,217,500,463,366,374,884,622
16:50:47.331961,373439,188,221,501,464,366,375,884,622
16:50:47.333992,373449,193,226,501,464,367,375,884,621
16:50:47.335010,373459,196,230,502,465,368,375,883,621
16:50:47.340548,373469,199,234,504,465,368,374,883,621
16:50:47.342542,373479,202,238,505,466,369,373,882,620
16:50:47.344918,373489,205,241,506,467,369,373,882,620
16:50:47.347355,373499,207,245,508,467,370,372,881,619
16:50:47.350861,373509,210,249,508,468,371,372,881,619
16:50:47.351934,373519,212,252,509,469,372,371,881,618
16:50:47.355875,373529,213,254,510,469,372,372,881,618
16:50:47.355875,373539,215,256,510,470,373,372,881,619
16:50:47.361347,373549,215,257,509,469,372,370,880,617
16:50:47.364773,373559,216,260,512,471,374,372,882,620
16:50:47.367224,373569,217,261,512,471,374,373,881,619
16:50:47.369443,373579,217,261,511,471,374,372,881,619
16:50:47.371627,373590,217,260,511,472,375,372,881,619
16:50:47.376428,373599,217,258,511,471,374,372,881,619
16:50:47.379568,373609,216,256,510,472,374,372,881,619
16:50:47.382016,373619,216,253,510,471,374,372,882,620
16:50:47.382016,373629,215,250,509,471,374,373,882,620
16:50:47.382016,373639,214,247,508,471,373,373,882,620
16:50:47.389138,373649,213,245,507,471,373,373,882,620
16:50:47.392512,373659,212,242,506,471,373,374,883,621
16:50:47.394198,373669,210,239,506,470,373,374,883,621
16:50:47.396325,373679,209,237,505,470,372,375,883,622
16:50:47.398449,373689,208,236,504,470,372,376,883,622
16:50:47.401349,373699,208,236,505,470,371,376,883,622
16:50:47.403444,373709,208,236,504,470,371,377,884,622
16:50:47.405971,373719,208,236,505,470,371,377,884,622
16:50:47.409556,373729,209,238,504,470,371,378,884,622
16:50:47.411663,373739,210,240,505,470,371,378,884,623
16:50:47.412713,373749,211,242,505,471,371,379,884,623
16:50:47.415014,373760,212,244,506,471,371,379,884,623
16:50:47.417704,373769,213,247,506,471,371,380,884,623
16:50:47.418762,373779,214,249,506,471,372,380,884,623
16:50:47.422360,373789,215,250,507,471,371,381,884,623
16:50:47.423420,373799,216,252,508,473,372,381,886,624
16:50:47.426886,373809,217,254,508,472,372,382,885,623
16:50:47.428921,373819,218,254,508,472,372,382,884,623
16:50:47.430961,373829,218,256,508,472,372,382,885,623
16:50:47.430961,373839,219,256,508,472,372,382,884,623
16:50:47.435495,373849,219,257,508,472,372,383,884,623
16:50:47.438486,373859,220,257,508,472,373,382,884,623
16:50:47.438858,373869,220,258,508,472,373,382,884,623
16:50:47.443424,373879,220,258,508,472,373,382,884,623
16:50:47.445465,373889,220,260,509,473,374,381,884,623
16:50:47.447503,373899,221,260,509,473,374,380,883,623
16:50:47.449922,373909,222,262,510,473,374,380,882,623
16:50:47.451950,373919,223,263,510,474,375,378,882,622
16:50:47.454019,373929,223,264,511,474,375,377,881,621
16:50:47.458390,373939,224,265,512,475,376,376,881,621
16:50:47.460447,373949,225,266,512,475,377,375,881,621
16:50:47.461471,373959,226,267,513,475,377,374,881,620
16:50:47.463506,373969,228,268,514,476,378,374,880,620
16:50:47.466018,373979,230,270,515,476,378,373,879,619
16:50:47.467036,373989,233,272,515,473,378,375,880,620
16:50:47.469083,373999,236,273,515,474,378,374,878,619
16:50:47.472224,374009,239,274,516,476,379,374,878,619
16:50:47.476271,374019,241,275,517,478,380,369,876,617
16:50:47.478334,374029,244,277,517,478,381,368,876,616
16:50:47.479359,374039,246,279,518,478,381,367,875,616
16:50:47.481396,374049,248,281,519,478,381,366,875,615
16:50:47.481396,374060,249,282,519,479,381,366,875,616
16:50:47.485175,374069,251,284,520,479,381,366,875,615
16:50:47.488414,374079,252,286,520,480,381,366,875,615
16:50:47.489428,374089,253,288,520,480,381,367,874,615
16:50:47.494374,374099,255,288,520,481,382,367,874,615
16:50:47.496386,374109,256,288,521,481,382,367,874,615
16:50:47.497551,374119,256,289,521,481,382,367,874,615
16:50:47.500403,374129,257,289,521,481,383,367,874,615
16:50:47.502882,374139,257,289,521,481,383,367,874,615
16:50:47.505410,374149,258,288,521,481,383,367,874,615
16:50:47.505410,374159,258,288,521,481,383,367,874,615
16:50:47.509895,374169,258,288,521,481,383,367,874,616
16:50:47.511937,374179,258,288,521,482,384,367,874,616
16:50:47.513969,374189,259,288,522,482,384,366,874,616
16:50:47.513969,374199,259,288,521,483,384,365,874,616
16:50:47.518513,374209,259,288,522,484,385,364,874,616
16:50:47.520506,374219,260,288,523,485,386,362,874,616
