Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
15:20:42.493917,23649,210,6,22,0,1,0,433,200
15:20:42.496172,23659,207,5,21,1,0,0,430,199
15:20:42.501094,23669,202,0,21,1,1,5,424,203
15:20:42.502157,23680,198,2,14,0,0,0,420,198
15:20:42.505750,23689,194,0,14,0,1,6,412,197
15:20:42.508754,23699,190,1,7,0,0,0,406,192
15:20:42.511347,23709,185,0,5,0,0,0,398,188
15:20:42.513726,23719,178,0,10,1,1,3,387,183
15:20:42.514793,23729,171,0,9,1,1,3,374,179
15:20:42.518427,23739,163,0,8,1,1,3,366,175
15:20:42.520567,23749,157,0,8,1,1,3,358,169
15:20:42.523508,23759,151,0,8,1,1,1,353,163
15:20:42.526902,23769,146,0,8,1,1,1,350,159
15:20:42.529912,23779,144,0,9,1,1,1,351,159
15:20:42.531233,23789,143,0,9,1,1,1,353,157
15:20:42.531233,23799,142,0,7,1,1,1,356,157
15:20:42.531233,23809,140,0,5,1,1,1,357,157
15:20:42.537966,23819,141,0,4,1,1,1,362,159
15:20:42.540525,23829,141,0,3,1,1,1,365,161
15:20:42.541889,23839,142,0,3,2,1,1,369,163
15:20:42.547256,23849,144,0,0,0,0,0,379,169
15:20:42.549490,23859,145,0,0,0,0,0,386,171
15:20:42.550486,23869,147,0,0,0,0,0,394,174
15:20:42.553350,23879,148,0,0,0,0,0,399,176
15:20:42.555889,23889,149,0,3,1,1,1,397,176
15:20:42.558322,23899,150,0,0,0,0,0,401,178
15:20:42.558322,23909,152,0,0,0,0,0,401,180
15:20:42.563596,23919,153,0,0,0,0,0,401,182
15:20:42.565679,23929,154,0,0,0,0,0,401,184
15:20:42.568718,23939,155,0,0,1,1,1,401,184
15:20:42.570020,23949,156,0,0,0,0,0,398,188
15:20:42.572033,23959,157,0,0,0,0,0,397,189
15:20:42.574835,23969,158,0,0,0,0,0,398,190
15:20:42.577667,23980,159,0,0,0,0,0,398,190
15:20:42.579765,23989,159,0,0,1,1,1,400,189
15:20:42.580814,23999,158,0,0,0,0,0,399,190
15:20:42.584890,24009,158,0,0,0,0,0,397,191
15:20:42.586984,24019,157,0,0,0,0,0,397,191
15:20:42.587913,24029,157,0,0,0,0,0,397,191
15:20:42.592183,24039,155,0,0,2,1,1,390,180
15:20:42.594379,24049,159,0,0,0,0,0,378,170
15:20:42.595740,24059,178,0,0,0,0,0,370,163
15:20:42.599115,24069,191,0,0,0,0,0,366,162
15:20:42.601404,24079,204,0,0,0,0,0,357,163
15:20:42.602895,24089,214,0,0,3,1,1,357,163
15:20:42.603899,24099,221,0,5,0,0,0,359,168
15:20:42.608448,24109,225,0,9,0,0,0,364,171
15:20:42.610511,24119,226,0,13,0,0,0,369,174
15:20:42.611576,24129,226,0,17,0,0,0,374,177
15:20:42.614950,24139,226,0,18,4,1,1,379,178
15:20:42.617050,24150,226,0,25,0,0,0,377,182
15:20:42.618123,24159,227,0,30,0,0,0,374,183
15:20:42.620937,24169,228,0,35,0,0,0,370,184
15:20:42.621954,24179,230,0,40,0,0,0,367,184
15:20:42.625153,24189,231,0,44,6,1,1,367,180
15:20:42.626232,24199,232,0,52,0,0,0,364,184
15:20:42.629585,24209,232,0,58,0,0,0,363,184
15:20:42.630926,24219,233,0,64,0,0,0,364,185
15:20:42.633318,24229,233,0,71,0,0,0,366,186
15:20:42.635454,24239,232,0,76,6,1,1,370,183
15:20:42.636484,24249,230,0,82,2,0,0,372,189
15:20:42.638948,24259,227,0,87,3,0,0,378,190
15:20:42.640117,24269,223,0,92,5,0,0,381,193
15:20:42.644383,24279,219,0,96,6,0,0,387,194
15:20:42.645493,24289,218,0,100,11,1,1,395,192
15:20:42.647562,24299,217,0,104,9,0,0,401,200
15:20:42.647562,24309,216,0,106,11,0,0,407,203
15:20:42.651295,24320,215,0,108,13,0,0,413,205
15:20:42.653372,24329,215,0,109,14,0,0,420,208
15:20:42.655598,24339,216,0,108,15,1,1,424,210
15:20:42.659555,24349,216,0,106,16,0,0,421,211
15:20:42.662276,24359,217,0,104,16,0,0,416,210
15:20:42.663577,24369,217,0,101,16,0,0,406,207
15:20:42.665819,24379,218,0,98,15,0,0,395,202
15:20:42.665819,24389,218,0,95,11,1,1,387,200
15:20:42.671341,24399,219,0,93,14,0,0,377,193
15:20:42.672654,24409,219,0,93,14,0,0,374,189
15:20:42.674815,24419,218,0,91,13,0,0,369,186
15:20:42.679867,24429,218,0,90,12,0,0,365,184
15:20:42.682098,24439,217,0,88,7,1,1,366,187
15:20:42.683202,24449,216,0,87,12,0,0,367,184
15:20:42.683202,24459,214,0,84,11,0,0,366,183
15:20:42.687600,24469,212,0,79,8,0,0,360,180
