Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
17:46:40.965605,859859,0,0,0,0,0,0,0,0
17:46:40.965605,859909,0,0,0,0,0,0,0,0
17:46:40.965605,859919,0,0,0,0,0,1,0,0
17:46:40.965605,859929,0,0,0,0,0,1,0,0
17:46:40.977717,859939,3,1,1,1,0,0,2,0
17:46:40.980136,859949,2,0,1,0,0,0,2,0
17:46:40.986446,859959,0,0,0,0,0,0,0,0
17:46:40.988930,859969,0,0,0,0,0,0,0,0
17:46:40.990925,859979,0,1,1,1,0,0,3,0
17:46:40.993313,859990,0,0,0,0,0,0,0,0
17:46:40.997458,859999,0,1,0,1,2,0,3,0
17:46:41.000114,860009,0,1,1,1,2,0,4,0
17:46:41.000114,860019,0,1,1,1,2,0,4,0
17:46:41.009968,860029,0,1,1,1,2,0,5,0
17:46:41.009968,860039,0,1,1,1,4,0,5,0
17:46:41.015796,860049,0,1,1,1,4,0,5,0
17:46:41.018203,860059,0,1,1,1,4,0,5,0
17:46:41.019654,860069,0,1,1,1,4,0,6,0
17:46:41.024031,860079,0,1,1,1,4,0,5,2
17:46:41.026062,860089,0,1,1,1,4,0,5,0
17:46:41.035656,860099,0,2,1,1,4,0,5,2
17:46:41.035656,860109,0,2,1,1,4,0,5,0
17:46:41.041988,860119,0,2,1,1,4,0,5,2
17:46:41.043646,860129,0,0,0,0,0,0,0,0
17:46:41.044842,860139,0,0,0,0,0,0,0,0
17:46:41.051227,860149,0,2,1,1,5,0,3,0
17:46:41.053446,860160,0,0,0,0,0,0,0,0
17:46:41.055893,860169,0,0,0,0,0,0,0,0
17:46:41.065667,860179,0,0,0,0,0,0,0,0
17:46:41.069669,860189,0,0,0,0,0,0,0,0
17:46:41.072324,860199,0,5,1,1,3,0,0,0
17:46:41.076088,860209,0,0,0,0,0,0,0,0
17:46:41.077868,860219,0,0,0,0,0,0,0,0
17:46:41.081642,860229,0,0,0,0,0,0,0,0
17:46:41.085519,860239,0,0,0,0,0,0,0,0
17:46:41.087550,860249,0,8,1,0,1,0,0,0
17:46:41.089593,860259,0,0,0,0,0,0,0,0
17:46:41.089593,860269,0,0,0,0,0,0,0,0
17:46:41.089593,860279,0,0,0,0,0,0,0,0
17:46:41.089593,860289,0,0,0,0,0,0,0,0
17:46:41.099118,860299,0,3,1,1,1,0,0,1
17:46:41.101138,860309,0,0,0,0,0,0,0,0
17:46:41.106224,860319,0,0,0,0,0,0,0,0
