Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
15:04:23.498808,1134399,803,601,209,583,819,208,534,102
15:04:23.504343,1134409,769,544,189,546,791,205,539,92
15:04:23.508901,1134419,721,492,172,507,750,213,547,84
15:04:23.514698,1134429,662,445,155,469,700,236,559,76
15:04:23.519110,1134439,600,402,141,432,650,272,574,68
15:04:23.520134,1134449,543,364,128,394,602,313,589,62
15:04:23.523341,1134459,491,330,115,358,555,351,601,55
15:04:23.524663,1134469,444,299,106,325,510,382,609,51
15:04:23.526814,1134479,402,270,97,293,467,407,616,45
15:04:23.530055,1134489,364,245,91,266,430,428,622,41
15:04:23.595842,1134499,330,222,86,240,400,444,627,37
15:04:23.595842,1134509,299,201,80,218,380,457,630,34
15:04:23.605835,1134519,271,182,75,197,370,466,632,31
15:04:23.609413,1134529,246,165,69,180,367,473,633,28
15:04:23.616510,1134539,223,150,63,166,369,478,634,25
15:04:23.620399,1134550,202,136,57,156,374,481,634,23
15:04:23.620399,1134559,183,123,52,146,380,483,634,21
15:04:23.620399,1134569,166,112,47,137,388,485,632,19
15:04:23.626929,1134579,151,101,42,128,396,486,630,17
15:04:23.630855,1134589,137,92,38,119,406,486,626,15
15:04:23.701778,1134599,124,83,35,110,414,486,622,14
15:04:23.706259,1134609,112,75,31,102,422,484,616,12
15:04:23.710263,1134619,102,68,28,93,428,482,608,11
15:04:23.713306,1134629,92,62,26,85,434,480,600,10
15:04:23.715773,1134639,84,56,23,77,439,478,593,9
15:04:23.717059,1134649,76,51,21,70,444,476,588,8
15:04:23.717059,1134659,69,46,19,64,447,471,584,7
15:04:23.717059,1134669,62,42,17,59,450,469,580,7
15:04:23.723575,1134679,57,38,15,55,452,467,577,6
15:04:23.724611,1134689,51,34,14,52,454,462,571,5
15:04:23.778851,1134699,47,31,12,49,457,457,565,5
15:04:23.781380,1134709,43,28,11,45,461,451,555,4
15:04:23.784602,1134720,39,25,10,41,465,441,544,4
15:04:23.791768,1134729,36,23,9,37,467,429,534,3
15:04:23.798076,1134739,33,20,8,33,471,420,526,3
15:04:23.801540,1134749,30,18,7,30,476,413,520,3
15:04:23.802827,1134759,27,17,6,30,484,406,517,2
15:04:23.802827,1134769,25,15,5,33,493,402,527,1
15:04:23.810275,1134779,22,14,5,38,501,407,554,2
15:04:23.813189,1134789,20,13,7,44,508,431,603,1
15:04:23.864083,1134799,18,12,13,53,517,475,667,4
15:04:23.866575,1134809,16,11,20,61,524,530,733,27
15:04:23.866575,1134819,15,10,32,68,535,585,786,77
15:04:23.866575,1134829,13,10,49,74,544,637,824,151
15:04:23.866575,1134839,12,8,76,84,555,683,851,232
15:04:23.895703,1134849,11,8,113,101,570,718,868,305
15:04:23.898615,1134859,10,6,162,126,588,745,878,365
15:04:23.900865,1134869,9,6,216,158,606,764,884,413
15:04:23.900865,1134879,8,5,275,195,627,778,888,451
15:04:23.900865,1134889,7,5,334,239,650,789,890,479
15:04:23.947869,1134899,6,4,393,290,672,796,890,498
15:04:23.950196,1134909,6,3,447,342,689,802,890,511
15:04:23.952163,1134919,5,11,493,392,702,805,890,524
15:04:23.953222,1134929,5,36,532,443,717,807,889,536
15:04:23.955277,1134939,4,89,566,490,737,808,888,546
15:04:24.005347,1134949,4,170,598,536,757,809,887,555
15:04:24.007719,1134959,3,260,629,577,785,809,885,561
15:04:24.008791,1134969,3,350,657,612,817,809,884,564
15:04:24.011386,1134979,3,433,681,647,840,804,878,563
15:04:24.015518,1134989,2,508,703,678,857,800,872,561
15:04:24.058711,1134999,3,571,723,706,870,796,866,557
15:04:24.061250,1135009,10,621,740,732,879,791,859,554
15:04:24.062287,1135020,22,658,755,753,885,787,853,553
15:04:24.067876,1135029,37,684,768,769,889,783,849,553
15:04:24.070350,1135039,54,701,779,782,891,780,844,551
15:04:24.100487,1135049,71,713,788,792,893,777,839,544
15:04:24.100487,1135059,90,720,796,802,893,774,834,531
15:04:24.108114,1135069,113,726,801,809,894,769,827,515
15:04:24.111805,1135079,139,729,806,814,894,763,820,496
15:04:24.117166,1135089,165,731,809,819,894,756,812,477
15:04:24.119637,1135099,193,734,811,821,894,749,805,460
15:04:24.178810,1135109,219,735,813,823,894,743,800,445
15:04:24.183530,1135119,245,734,814,824,895,740,796,431
15:04:24.187632,1135129,268,731,815,824,894,736,794,418
15:04:24.187632,1135139,283,724,815,824,894,734,794,406
15:04:24.191216,1135149,293,715,815,825,893,733,794,395
15:04:24.246021,1135159,299,705,814,825,893,731,793,382
15:04:24.246021,1135169,310,699,814,825,893,727,789,365
15:04:24.256854,1135179,328,698,814,825,893,718,780,344
15:04:24.261940,1135190,353,705,813,826,894,703,769,320
15:04:24.266531,1135199,384,714,812,828,895,684,755,295
15:04:24.268589,1135209,412,722,809,827,894,662,742,268
15:04:24.270975,1135219,441,729,806,827,894,644,728,242
15:04:24.271456,1135229,466,733,803,827,895,628,712,218
15:04:24.271456,1135239,486,735,799,826,894,612,695,197
15:04:24.276910,1135249,497,726,795,824,893,596,677,178
15:04:24.331679,1135259,501,712,790,823,891,579,658,162
15:04:24.336239,1135269,498,694,785,822,888,562,639,146
15:04:24.341765,1135279,485,664,777,820,884,545,615,133
15:04:24.347689,1135289,464,628,766,818,880,529,592,120
15:04:24.351490,1135299,431,583,749,813,874,514,570,109
15:04:24.412371,1135309,391,531,731,807,865,501,551,99
15:04:24.414624,1135319,353,480,712,798,852,491,537,90
15:04:24.417677,1135329,320,434,687,788,835,480,525,81
15:04:24.417677,1135339,289,392,660,775,813,470,514,73
15:04:24.422213,1135349,261,355,625,756,782,460,504,66
15:04:24.424504,1135360,237,321,590,733,748,451,498,59
15:04:24.427915,1135369,214,291,551,701,705,443,495,54
15:04:24.430914,1135379,194,263,509,662,662,436,496,48
15:04:24.434167,1135389,176,238,466,618,623,430,499,44
15:04:24.439357,1135399,159,216,426,574,590,429,506,40
15:04:24.494653,1135409,144,195,390,535,567,428,513,36
15:04:24.497786,1135419,130,177,356,499,547,428,521,33
15:04:24.501319,1135429,118,160,324,465,531,428,529,29
15:04:24.502732,1135439,107,145,294,434,519,427,537,27
15:04:24.505032,1135449,97,132,266,403,510,427,544,24
15:04:24.561863,1135459,87,119,241,374,503,429,549,22
15:04:24.565668,1135469,79,108,219,346,499,432,554,20
15:04:24.567670,1135479,72,98,198,319,495,436,558,18
15:04:24.567670,1135489,65,88,179,295,491,441,562,16
15:04:24.567670,1135499,59,80,163,271,488,446,566,15
15:04:24.629307,1135509,53,73,147,251,486,450,570,13
15:04:24.635813,1135519,48,66,134,231,485,452,574,12
15:04:24.640224,1135529,43,60,121,213,484,456,577,11
15:04:24.645962,1135539,39,54,109,197,484,459,581,9
15:04:24.648063,1135549,36,49,99,182,485,462,584,9
15:04:24.650913,1135559,32,44,90,168,485,465,587,8
15:04:24.652828,1135569,28,40,81,156,484,467,590,7
15:04:24.655087,1135579,26,36,74,145,484,470,592,6
15:04:24.656107,1135589,23,33,67,135,484,472,593,5
15:04:24.658140,1135599,21,30,61,126,485,472,592,5
15:04:24.713166,1135609,19,26,55,117,485,473,591,4
15:04:24.715467,1135619,19,24,50,109,484,474,590,4
15:04:24.717463,1135629,16,22,45,102,485,474,589,3
15:04:24.722525,1135639,15,20,41,96,485,475,588,3
15:04:24.728134,1135649,14,17,37,91,486,475,588,3
15:04:24.795713,1135719,6,10,18,58,492,467,573,1
15:04:24.800159,1135729,5,9,16,53,493,466,570,0
15:04:24.801589,1135739,5,8,14,49,493,465,568,0
15:04:24.801589,1135749,4,7,13,46,494,464,567,0
15:04:24.809030,1135759,4,6,12,44,495,464,566,0
15:04:24.883645,1135769,3,5,11,42,496,464,566,0
15:04:24.887044,1135779,3,4,11,41,498,465,565,0
15:04:24.889250,1135789,2,4,10,40,500,466,562,0
15:04:24.889250,1135799,2,4,8,38,501,466,559,0
15:04:24.894730,1135809,2,3,9,37,503,465,554,0
15:04:24.964256,1135819,1,3,7,37,505,463,548,0
15:04:24.968029,1135830,2,2,6,38,507,462,546,0
15:04:24.971336,1135839,1,2,6,37,507,459,540,0
15:04:24.973374,1135849,1,2,5,39,514,457,537,0
15:04:24.978000,1135859,0,1,4,43,524,455,535,0
15:04:24.981533,1135869,0,1,3,46,535,454,533,0
