Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:52:36.720150,463609,311,701,669,780,868,827,872,583
16:52:36.721928,463619,311,701,669,780,868,827,872,584
16:52:36.725230,463629,311,701,669,779,868,827,872,584
16:52:36.728241,463639,311,701,669,779,868,827,872,584
16:52:36.786600,463649,311,701,669,779,868,827,872,584
16:52:36.786600,463660,311,701,669,779,868,828,872,585
16:52:36.803049,463669,311,701,669,779,868,828,872,585
16:52:36.807587,463679,311,701,669,779,868,828,872,585
16:52:36.813077,463689,311,701,670,779,868,828,872,585
16:52:36.817248,463699,311,702,670,779,867,828,872,585
16:52:36.823815,463709,311,702,670,779,867,828,872,586
16:52:36.828844,463719,311,702,670,779,868,828,872,586
16:52:36.833348,463729,311,702,670,779,867,828,872,586
16:52:36.840531,463739,311,702,670,779,867,828,873,586
16:52:36.842066,463749,311,702,670,779,867,828,873,587
16:52:36.852211,463759,311,702,671,780,868,828,874,588
16:52:36.858226,463769,311,702,670,780,867,828,873,587
16:52:36.861340,463779,311,702,670,780,867,827,873,587
16:52:36.864991,463789,311,701,670,779,867,827,874,587
16:52:36.916573,463799,311,701,670,779,867,827,874,587
16:52:36.920724,463809,311,701,670,779,867,827,874,587
16:52:36.923243,463819,312,701,670,779,867,827,873,587
16:52:36.924753,463830,312,701,670,779,867,827,874,587
16:52:36.924753,463839,312,701,670,780,867,827,873,587
16:52:36.986564,463849,312,701,670,780,867,827,873,587
16:52:36.989678,463859,313,701,670,780,867,827,873,587
16:52:36.991744,463869,313,701,670,780,867,827,873,587
16:52:36.993654,463879,313,701,670,780,867,827,872,587
16:52:36.996187,463889,313,703,671,780,867,827,873,588
16:52:37.049941,463899,313,702,670,780,867,827,872,588
16:52:37.054068,463909,313,702,670,780,867,827,872,587
16:52:37.055892,463919,313,703,672,780,867,827,872,587
16:52:37.058678,463929,314,702,670,780,867,827,872,587
16:52:37.062278,463939,314,702,670,779,867,827,872,587
16:52:37.067561,463949,314,702,670,780,867,827,872,586
16:52:37.070876,463959,314,702,671,780,867,827,872,586
16:52:37.076380,463969,314,702,671,780,867,827,872,586
16:52:37.079410,463979,314,702,670,780,868,827,872,586
16:52:37.085434,463989,314,703,671,780,868,827,872,586
16:52:37.091402,464000,314,703,671,779,867,827,872,586
16:52:37.094483,464009,314,703,670,779,867,827,872,586
16:52:37.099562,464019,315,703,671,779,867,827,872,586
16:52:37.105832,464029,314,703,671,780,867,827,872,586
16:52:37.107880,464039,314,703,671,780,867,827,872,586
16:52:37.124215,464049,314,703,671,780,867,827,872,586
16:52:37.124215,464059,314,703,671,780,868,828,874,587
16:52:37.132267,464069,314,703,671,779,867,827,872,586
16:52:37.139229,464079,314,703,671,780,867,827,872,586
16:52:37.144657,464089,314,703,671,780,868,827,872,586
16:52:37.183349,464099,314,703,671,780,867,827,872,586
16:52:37.186788,464109,314,702,671,780,868,827,872,586
16:52:37.188989,464119,314,702,671,780,867,827,872,586
16:52:37.191926,464129,314,703,671,780,867,827,872,586
16:52:37.193739,464139,314,702,671,780,868,827,872,586
16:52:37.234961,464149,314,702,671,780,868,827,872,586
16:52:37.234961,464159,314,702,671,780,867,827,872,586
16:52:37.252083,464169,314,702,671,780,867,827,872,586
16:52:37.257351,464179,314,702,671,780,867,827,872,586
16:52:37.261231,464189,314,702,671,780,868,827,872,586
16:52:37.274659,464199,314,702,671,780,867,827,872,586
16:52:37.277021,464209,314,702,671,780,867,827,872,586
16:52:37.278030,464219,314,702,671,780,868,827,872,587
16:52:37.278030,464229,315,703,672,782,869,828,874,587
16:52:37.278030,464239,315,702,671,780,867,827,872,587
16:52:37.326885,464249,315,703,671,780,868,827,872,587
16:52:37.335339,464259,315,703,671,780,868,827,872,588
16:52:37.339528,464269,315,703,671,780,867,827,872,587
16:52:37.342192,464279,315,703,671,780,868,827,872,587
16:52:37.346027,464289,315,703,671,780,868,827,872,587
16:52:37.386250,464300,314,703,671,780,867,827,872,587
16:52:37.386250,464309,314,703,671,780,867,827,872,587
16:52:37.393473,464319,313,703,671,780,867,827,872,586
16:52:37.395569,464329,313,703,671,780,867,827,872,586
16:52:37.398875,464339,312,702,671,780,867,827,872,586
16:52:37.400934,464349,311,701,671,780,867,827,872,586
16:52:37.469362,464359,311,701,671,780,867,827,872,586
16:52:37.473477,464369,310,700,671,780,867,827,872,587
16:52:37.473477,464379,310,700,671,780,867,827,872,587
16:52:37.473477,464389,310,700,671,780,867,827,873,587
16:52:37.482356,464399,309,699,671,780,867,827,873,587
16:52:37.537368,464409,309,699,672,781,867,827,873,588
16:52:37.540514,464419,308,699,672,781,867,828,873,588
16:52:37.542516,464429,307,699,671,781,867,827,873,589
16:52:37.542516,464439,307,698,671,781,867,828,873,589
16:52:37.542516,464449,306,698,670,781,866,828,874,590
16:52:37.548115,464459,304,697,670,780,866,828,874,590
16:52:37.550136,464470,304,698,670,780,867,829,875,591
16:52:37.553705,464479,303,696,669,780,866,828,873,591
16:52:37.553705,464489,302,695,668,779,866,828,874,591
16:52:37.557874,464499,300,695,668,779,866,828,874,591
16:52:37.668146,464509,299,694,668,779,867,829,874,591
16:52:37.673148,464519,298,693,668,778,866,829,874,591
16:52:37.675602,464529,296,693,668,778,866,829,874,591
16:52:37.678953,464539,294,692,668,777,866,829,875,591
16:52:37.680948,464549,293,691,669,777,866,829,875,592
16:52:37.685193,464559,292,689,669,777,866,830,875,592
16:52:37.687619,464569,291,688,669,777,866,830,875,592
16:52:37.692833,464579,289,687,669,777,866,830,876,592
16:52:37.695928,464589,287,686,668,776,865,831,876,592
16:52:37.702179,464599,286,685,668,776,865,831,876,593
16:52:37.707841,464609,285,686,669,777,866,832,878,594
16:52:37.712423,464619,283,685,668,777,865,831,877,594
16:52:37.714912,464629,282,683,666,775,864,831,876,593
16:52:37.717281,464640,280,682,666,775,863,832,876,593
16:52:37.719929,464649,279,682,665,775,863,832,877,593
16:52:37.784300,464659,278,682,665,775,863,832,877,593
16:52:37.785314,464669,277,681,664,775,864,832,878,593
16:52:37.785314,464679,274,680,663,774,863,832,878,593
16:52:37.785314,464689,272,680,663,774,863,832,878,593
16:52:37.793241,464699,269,679,662,773,862,831,878,593
16:52:37.851542,464709,265,678,661,773,862,831,878,593
16:52:37.851542,464719,262,677,661,773,862,831,878,594
16:52:37.862529,464729,260,677,660,772,862,832,879,594
16:52:37.868138,464739,255,675,659,772,861,831,878,594
16:52:37.873559,464749,252,674,658,771,861,831,879,594
16:52:37.874786,464759,248,673,657,771,861,831,879,595
16:52:37.877204,464769,245,671,656,770,860,832,879,595
16:52:37.879448,464779,241,671,656,769,860,832,880,595
16:52:37.880481,464789,237,667,654,768,859,832,878,595
16:52:37.882795,464799,233,666,652,767,858,832,879,596
16:52:38.004016,464809,229,664,650,765,858,832,879,596
16:52:38.010014,464819,225,663,650,764,857,832,880,597
16:52:38.013245,464829,219,659,646,762,856,832,879,596
16:52:38.015259,464839,213,657,646,761,855,832,879,596
16:52:38.017404,464849,207,652,641,758,854,832,879,595
16:52:38.020956,464869,195,645,634,754,852,831,879,593
16:52:38.023158,464879,189,641,630,752,851,831,879,593
16:52:38.025167,464889,184,639,628,752,850,830,878,593
16:52:38.026172,464899,177,633,624,748,849,830,878,590
16:52:38.087712,465019,90,565,563,705,829,811,867,548
16:52:38.090833,465029,82,559,558,698,827,809,866,547
16:52:38.091897,465039,76,554,551,693,825,808,866,547
16:52:38.101114,465049,71,551,546,689,824,807,867,547
16:52:38.104314,465059,67,549,541,686,824,807,867,549
16:52:38.167749,465069,64,550,539,686,826,810,868,550
16:52:38.171707,465079,60,549,537,684,825,808,868,551
16:52:38.174273,465089,60,551,537,685,826,809,868,551
16:52:38.174273,465099,61,555,539,688,829,811,869,551
16:52:38.174273,465110,64,561,543,692,831,810,867,550
16:52:38.234451,465119,71,570,550,697,835,810,865,548
16:52:38.240039,465129,81,583,559,704,839,812,865,545
16:52:38.244782,465139,95,598,571,714,844,811,861,540
16:52:38.252221,465149,114,613,584,724,849,812,858,532
16:52:38.254388,465159,135,629,598,734,854,813,855,523
16:52:38.319050,465169,158,645,612,744,859,814,852,513
16:52:38.322438,465179,182,661,625,753,863,814,850,504
16:52:38.324737,465189,207,678,636,760,867,815,849,495
16:52:38.324737,465199,229,692,647,766,870,816,848,488
16:52:38.329789,465209,250,704,655,771,872,817,847,482
16:52:38.384397,465219,267,715,662,776,874,818,848,478
16:52:38.385320,465229,284,724,669,780,876,820,849,475
16:52:38.389162,465239,300,731,675,785,878,822,850,473
16:52:38.389162,465249,315,737,681,788,879,825,852,472
16:52:38.389162,465259,329,742,688,791,880,828,854,472
16:52:38.396382,465269,342,747,694,793,881,831,857,470
16:52:38.399624,465280,354,750,698,796,882,833,860,469
16:52:38.402844,465289,365,753,702,798,883,836,863,468
16:52:38.405284,465299,374,755,706,800,883,838,866,467
16:52:38.408389,465309,381,757,708,802,883,840,868,465
16:52:38.410941,465319,386,758,711,803,884,843,870,464
16:52:38.413449,465329,391,758,712,804,884,845,872,463
16:52:38.416614,465339,392,759,714,805,884,848,875,462
16:52:38.421098,465349,392,758,716,805,884,850,876,460
16:52:38.423414,465359,389,756,717,806,884,853,878,456
16:52:38.534341,465369,385,754,718,806,884,855,880,451
16:52:38.535611,465379,380,751,720,806,884,858,882,446
16:52:38.535611,465389,374,748,721,806,883,860,883,441
16:52:38.545649,465399,367,746,722,806,883,861,885,437
16:52:38.551164,465409,360,744,722,805,883,863,886,434
16:52:38.556252,465419,354,742,722,804,883,864,888,432
16:52:38.561037,465429,348,740,721,803,883,866,889,431
16:52:38.565301,465439,342,739,721,801,883,867,890,430
16:52:38.568230,465449,338,738,720,800,882,867,891,430
16:52:38.589050,465459,336,737,720,800,882,868,892,431
16:52:38.602180,465469,335,737,720,800,882,869,892,432
16:52:38.608054,465479,334,737,721,800,882,870,893,433
16:52:38.615146,465489,333,737,721,801,882,870,893,435
16:52:38.619943,465499,333,737,721,802,882,871,893,437
16:52:38.623025,465509,334,738,722,802,882,871,894,441
16:52:38.623025,465519,336,739,723,802,882,872,894,444
16:52:38.623025,465529,341,743,725,804,883,872,896,449
16:52:38.623025,465539,345,744,724,804,883,872,894,451
16:52:38.631651,465549,351,748,726,805,884,872,894,454
16:52:38.634744,465559,356,751,726,806,884,872,894,458
16:52:38.664507,465569,362,754,727,807,884,873,894,460
16:52:38.671585,465580,367,758,730,809,886,872,896,462
16:52:38.676251,465589,372,759,730,809,886,873,895,464
16:52:38.681789,465599,376,760,730,808,885,872,894,464
16:52:38.684055,465609,380,762,731,809,886,872,895,464
16:52:39.778490,466639,353,731,654,761,871,849,883,569
16:52:39.782727,466649,350,729,653,761,871,849,884,570
16:52:39.786338,466659,347,726,651,760,870,849,884,572
16:52:39.788391,466669,344,723,650,760,869,849,885,574
16:52:39.788391,466679,341,720,648,759,869,849,885,575
16:52:39.792149,466689,337,716,647,758,868,850,886,576
16:52:39.793439,466699,334,711,644,757,866,850,886,577
16:52:39.795746,466709,330,706,642,755,865,850,886,577
16:52:39.798430,466719,327,700,639,754,864,850,887,578
16:52:39.800638,466729,322,695,635,751,863,850,887,579
16:52:39.842201,466739,315,690,632,748,861,850,887,581
16:52:39.847828,466749,306,684,629,744,859,850,888,582
16:52:39.853425,466759,295,676,625,740,856,850,888,584
16:52:39.855973,466769,281,668,621,735,854,850,888,584
16:52:39.855973,466779,268,658,616,730,851,850,889,585
16:52:39.875864,466789,255,649,610,725,848,849,889,585
16:52:39.878154,466799,243,638,604,720,846,849,889,584
16:52:39.879162,466809,231,628,597,714,843,848,889,583
16:52:39.881723,466819,221,617,590,708,840,848,889,581
