Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
17:46:42.002835,78779,0,0,164,0,232,0,323,119
17:46:42.006837,78789,0,0,164,0,232,0,323,119
17:46:42.007846,78799,0,0,164,0,233,0,322,119
17:46:42.008862,78809,0,0,164,0,233,0,322,120
17:46:42.011929,78819,0,0,164,0,234,0,321,121
17:46:42.014963,78829,0,0,164,0,234,0,321,122
17:46:42.018647,78839,0,0,164,0,234,0,321,123
17:46:42.020733,78849,0,0,164,0,235,0,322,124
17:46:42.022440,78859,0,0,164,0,235,0,322,125
17:46:42.024657,78869,0,0,164,0,235,0,322,126
17:46:42.024657,78879,0,0,164,0,236,0,323,127
17:46:42.084036,78889,0,0,164,0,236,0,324,128
17:46:42.084036,78899,0,0,163,0,237,0,325,129
17:46:42.091107,78909,0,0,163,0,237,0,325,129
17:46:42.093465,78919,0,0,164,0,237,0,326,130
17:46:42.094426,78929,0,0,164,0,238,0,327,131
17:46:42.165607,78939,0,0,165,0,238,0,329,132
17:46:42.168757,78949,0,0,165,0,238,0,331,133
17:46:42.170906,78959,0,0,165,0,238,0,332,134
17:46:42.173107,78969,0,0,165,0,239,0,333,135
17:46:42.173107,78979,0,0,164,0,238,0,333,135
17:46:42.176909,78989,0,0,164,0,238,0,333,134
17:46:42.178757,78999,0,0,163,0,237,0,332,133
17:46:42.180911,79009,0,0,162,0,236,0,329,132
17:46:42.183982,79020,0,0,161,0,236,0,326,130
17:46:42.186153,79029,0,0,159,0,234,0,321,128
17:46:42.249946,79039,0,0,157,0,233,0,318,126
17:46:42.250521,79049,0,0,154,0,233,0,315,124
17:46:42.250521,79059,0,0,152,0,233,0,312,123
17:46:42.257707,79069,0,0,151,0,233,0,310,122
17:46:42.260468,79079,0,0,149,0,233,0,307,121
17:46:42.316657,79089,0,0,148,0,233,0,305,120
17:46:42.321504,79099,0,0,147,0,233,0,304,119
17:46:42.322553,79109,0,0,146,0,232,0,303,119
17:46:42.322553,79119,0,0,146,0,232,0,302,118
17:46:42.327849,79129,0,0,145,0,231,0,301,117
17:46:42.330090,79139,0,0,145,0,231,0,301,117
17:46:42.333675,79149,0,0,144,0,231,0,300,116
17:46:42.339487,79159,0,0,144,0,231,0,299,115
17:46:42.345740,79169,0,0,144,0,230,0,298,115
17:46:42.351282,79179,0,0,144,0,229,0,298,115
17:46:42.419753,79190,0,0,144,0,229,0,298,114
17:46:42.425660,79199,0,0,144,0,229,0,297,114
17:46:42.429712,79209,0,0,144,0,228,0,297,114
17:46:42.433446,79219,0,0,144,0,228,0,297,114
17:46:42.435524,79229,0,0,144,0,227,0,297,114
17:46:42.438527,79239,0,0,144,0,227,0,297,113
17:46:42.440342,79249,0,0,144,0,227,0,297,113
17:46:42.442366,79259,0,0,145,0,226,0,297,113
17:46:42.443369,79269,0,0,145,0,227,0,297,114
17:46:42.444663,79279,0,0,145,0,227,0,297,114
17:46:42.500817,79289,0,0,146,0,227,0,297,114
17:46:42.508464,79299,0,0,146,0,228,0,297,114
17:46:42.513158,79309,0,0,146,0,228,0,298,114
17:46:42.516182,79319,0,0,147,0,229,0,297,115
17:46:42.519955,79329,0,0,147,0,229,0,298,116
17:46:42.521986,79339,0,0,147,0,230,0,298,116
17:46:42.524170,79349,0,0,147,0,230,0,298,117
17:46:42.524170,79360,0,0,147,0,231,0,298,117
17:46:42.527236,79369,0,0,148,0,231,0,298,118
17:46:42.529480,79379,0,0,148,0,232,0,299,118
17:46:42.573148,79389,0,0,148,0,232,0,299,118
17:46:42.573148,79399,0,0,148,0,233,0,299,119
17:46:42.573148,79409,0,0,149,0,234,0,299,119
17:46:42.583301,79419,0,0,149,0,234,0,300,119
17:46:42.586506,79429,0,0,149,0,234,0,300,120
17:46:42.629618,79439,0,0,149,0,235,0,300,120
17:46:42.635735,79449,0,0,151,0,235,0,301,120
17:46:42.637809,79459,0,0,151,0,236,0,301,121
17:46:42.639050,79469,0,0,151,0,236,0,301,121
17:46:42.641586,79479,0,0,152,0,237,0,301,121
17:46:42.673415,79489,0,0,152,0,237,0,301,122
17:46:42.683370,79499,0,0,152,0,238,0,302,122
17:46:42.683370,79509,0,0,152,0,238,0,302,122
17:46:42.683370,79519,0,0,152,0,239,0,302,123
17:46:42.691623,79529,0,0,153,0,239,0,302,123
17:46:42.718609,79539,0,0,153,0,239,0,303,123
17:46:42.718609,79549,0,0,153,0,240,0,303,124
17:46:42.725044,79559,0,0,154,0,240,0,303,124
17:46:42.727775,79569,0,0,154,0,240,0,304,124
17:46:42.730112,79579,0,0,154,0,240,0,304,124
17:46:42.731978,79589,0,0,155,0,240,0,304,125
17:46:42.798713,79599,0,0,155,0,241,0,304,125
17:46:42.801946,79609,0,0,155,0,241,0,305,125
17:46:42.804344,79619,0,0,155,0,241,0,305,126
17:46:42.806316,79629,0,0,155,0,242,0,305,126
17:46:42.806316,79639,0,0,156,0,242,0,305,126
17:46:42.867227,79649,0,0,155,0,242,0,306,126
17:46:42.870887,79660,0,0,155,0,242,0,306,126
17:46:42.872661,79669,0,0,155,0,242,0,306,126
17:46:42.874519,79679,0,0,155,0,242,0,305,126
17:46:42.874519,79689,0,0,155,0,242,0,305,125
17:46:42.874519,79699,0,0,155,0,241,0,305,124
17:46:42.874519,79709,0,0,155,0,241,0,305,123
17:46:42.883807,79719,0,0,155,0,241,0,304,122
17:46:42.886468,79729,0,0,154,0,240,0,304,121
17:46:42.889020,79739,0,0,154,0,240,0,303,120
17:46:42.949719,79749,0,0,154,0,240,0,302,118
17:46:42.949719,79759,0,0,153,0,240,0,301,118
17:46:42.949719,79769,0,0,153,0,240,0,301,117
17:46:42.958712,79779,0,0,153,0,239,0,301,117
17:46:42.960578,79789,0,0,152,0,239,0,301,118
17:46:43.017433,79799,0,0,152,0,239,0,303,120
17:46:43.022283,79809,0,0,151,0,238,0,304,120
17:46:43.026847,79819,0,0,151,0,237,0,306,121
17:46:43.029868,79830,0,0,150,0,236,0,309,122
17:46:43.032380,79839,0,0,148,0,235,0,310,122
17:46:43.036535,79849,0,0,148,0,234,0,312,123
17:46:43.038788,79859,0,0,147,0,234,0,314,124
17:46:43.040143,79869,0,0,146,0,233,0,317,126
17:46:43.040143,79879,0,0,146,0,233,0,320,126
17:46:43.040143,79889,0,0,145,0,232,0,322,127
17:46:43.100714,79899,0,0,145,0,232,0,325,127
17:46:43.103350,79909,0,0,145,0,232,0,327,128
17:46:43.105188,79919,0,0,145,0,231,0,329,129
17:46:43.106457,79929,0,0,145,0,231,0,330,130
17:46:43.106457,79939,0,0,145,0,231,0,331,132
17:46:43.165508,79949,0,0,144,0,231,0,333,132
17:46:43.168839,79959,0,0,144,0,231,0,334,133
17:46:43.170528,79969,0,0,144,0,231,0,335,134
17:46:43.172707,79979,0,0,144,0,231,0,335,135
17:46:43.172707,79989,0,0,145,0,231,0,336,136
17:46:43.234870,80000,0,0,145,0,231,0,337,137
17:46:43.237933,80009,0,0,144,0,231,0,337,137
17:46:43.240384,80019,0,0,144,0,231,0,337,138
17:46:43.244100,80029,0,0,144,0,231,0,338,140
17:46:43.246182,80039,0,0,145,0,231,0,338,140
