Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
206619;0;20;179;163;314;0;779;0
206629;0;21;177;165;314;0;782;1
206639;0;20;176;165;314;0;780;1
206649;0;21;177;165;314;0;781;1
206659;0;19;177;166;315;0;781;1
206669;0;20;178;167;316;0;775;0
206679;1;20;178;167;316;0;774;0
206689;0;20;178;167;315;0;777;1
206699;0;22;177;168;316;0;772;0
206709;0;20;178;168;316;0;775;1
206720;0;23;177;168;316;0;773;0
206729;0;23;177;168;317;0;774;0
206739;0;23;177;168;316;0;774;0
206749;0;21;176;168;316;0;774;0
206759;0;21;175;168;316;0;773;0
206769;0;20;176;167;317;0;773;0
206779;0;20;172;166;317;0;772;0
206789;0;20;170;165;316;0;772;0
206799;0;19;168;163;316;0;771;0
206809;2;20;166;161;316;0;771;0
206819;3;19;167;160;316;0;772;0
206829;3;19;164;160;315;0;773;0
206839;6;19;164;160;315;0;773;0
206849;7;18;163;159;316;0;774;0
206859;7;19;164;158;316;0;774;0
206869;8;18;162;159;316;0;774;0
206879;8;18;162;159;316;0;774;0
206889;8;18;162;158;316;0;773;0
206899;7;19;161;157;315;0;773;0
206909;4;20;164;156;315;0;774;0
206919;6;18;161;156;314;0;776;0
206929;5;18;161;157;314;0;777;0
206939;5;18;161;157;314;0;776;0
206949;4;18;161;156;314;0;777;0
206959;2;19;163;155;313;0;777;0
206969;3;18;160;156;313;0;778;0
206979;2;18;159;156;313;0;778;0
206989;1;18;159;155;312;0;777;0
206999;1;17;158;155;312;0;777;0
207009;1;19;159;154;312;0;777;0
207020;0;17;157;154;312;0;777;0
207029;0;17;157;154;312;0;775;0
207039;0;16;156;154;312;0;775;0
207049;0;16;156;154;312;0;775;0
207059;0;19;157;153;312;0;775;0
207069;0;16;156;154;312;0;775;0
207079;0;16;156;154;312;0;775;0
207089;0;15;155;154;311;0;775;0
207099;0;15;155;153;311;0;776;0
207109;0;20;155;152;311;0;776;0
207119;0;15;153;154;310;0;775;0
207129;0;15;153;154;310;0;776;0
207139;0;15;153;154;310;0;776;0
207149;0;14;153;154;310;0;776;0
207159;0;15;153;153;310;0;776;0
207169;0;14;152;154;310;0;776;0
207179;0;13;152;153;309;0;775;0
207190;0;13;151;153;309;0;775;0
207199;0;12;151;152;308;0;775;0
207209;0;12;152;153;308;0;774;0
207219;0;11;150;151;307;0;773;0
207229;0;11;149;151;306;0;772;0
207239;0;10;148;150;306;0;771;0
207249;0;10;147;150;305;0;771;0
207259;0;9;147;151;304;0;770;0
207269;0;9;144;149;304;0;769;0
207279;0;9;143;148;302;0;769;0
207289;0;9;142;146;301;0;769;0
207299;0;9;140;143;300;0;770;0
207309;0;8;139;144;299;0;771;0
207319;0;8;136;139;299;0;771;0
207329;0;8;134;138;298;0;772;0
207339;0;8;133;136;296;0;772;0
207349;0;8;132;134;296;0;773;0
207360;0;7;132;132;295;0;773;0
207369;0;8;131;131;294;0;774;0
207379;0;8;130;129;294;0;774;0
207389;0;8;130;128;294;0;775;0
207399;0;8;131;126;294;0;776;0
207409;0;3;132;127;293;0;778;0
207419;0;8;131;126;294;0;779;0
207429;0;8;132;126;295;0;780;0
207439;0;8;133;126;296;0;779;0
207449;0;8;133;128;296;0;778;0
207459;2;5;136;130;297;0;776;0
207469;0;8;136;131;298;0;778;0
207479;0;8;137;133;300;0;783;0
207489;0;8;138;134;301;0;792;0
207499;0;8;140;137;303;0;802;0
207509;2;8;144;141;305;0;810;0
207519;0;8;144;141;306;0;816;0
207529;0;8;146;143;309;0;822;0
207539;0;8;148;144;311;0;828;0
207549;0;7;149;144;312;0;834;1
207559;2;6;154;147;313;0;840;3
207569;0;6;153;148;316;0;845;4
207579;0;5;153;150;319;0;848;7
207589;0;5;154;152;321;0;851;9
207599;0;4;155;154;324;3;855;13
207609;3;3;157;157;325;16;858;17
207619;0;3;155;158;327;36;861;24
207629;0;2;156;160;329;58;864;34
207639;0;2;157;162;331;84;867;48
207649;0;2;158;164;334;112;870;64
207660;2;1;161;168;334;141;873;83
207669;0;2;161;169;337;171;877;109
207679;0;2;162;172;339;198;882;137
207689;0;3;165;174;340;224;884;168
207699;0;4;167;175;340;248;886;200
207709;0;4;169;177;343;272;889;228
207719;0;6;172;177;344;294;890;254
207729;0;8;174;179;344;312;893;274
207739;0;9;177;180;344;328;894;290
207749;0;11;179;181;344;343;895;304
207759;4;14;182;183;346;359;898;320
207769;6;14;184;182;345;369;897;330
207779;11;15;186;184;345;381;897;338
207789;13;18;189;184;344;391;898;345
207799;16;20;191;185;344;400;900;353
207809;18;22;195;186;344;408;901;359
207819;21;24;197;188;344;416;900;364
207830;23;26;200;188;343;421;902;366
207839;25;27;202;189;342;427;903;369
207849;27;29;205;190;342;431;904;371
207859;30;31;210;193;343;436;907;375
207869;30;30;210;193;341;438;906;376
207879;32;32;213;194;342;441;907;379
207889;33;33;215;196;342;443;907;381
207899;35;33;217;195;341;446;909;386
207909;38;35;221;197;342;451;911;392
207919;39;32;221;197;338;451;909;392
207929;41;32;223;198;341;452;910;394
207939;40;35;225;197;340;454;910;394
207949;43;36;227;199;342;456;911;394
207959;43;36;228;199;342;457;911;394
207969;42;35;228;199;342;456;911;393
207979;43;35;229;200;343;457;912;395
207989;43;34;229;202;344;458;912;396
208000;43;34;229;203;345;459;913;396
208009;41;34;228;204;346;461;913;396
208019;41;34;228;204;347;463;913;395
208029;40;34;228;205;348;464;913;393
208039;40;34;228;207;350;465;913;393
208049;40;35;228;206;349;466;915;393
208059;42;37;230;208;352;469;916;397
208069;41;36;229;207;351;469;915;396
208079;42;37;229;208;351;470;915;400
208089;42;38;229;208;351;470;916;402
208099;44;41;228;210;352;470;915;404
208109;44;40;229;210;353;473;917;408
208119;45;42;227;210;352;470;916;409
208129;44;38;227;208;351;471;916;410
208139;44;38;225;208;351;471;917;412
208149;44;38;224;208;351;471;917;413
