Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
17:49:38.322106,113259,102,113,430,343,320,249,891,618
17:49:38.326285,113269,106,115,431,343,320,249,891,617
17:49:38.328898,113280,109,118,431,344,322,248,890,616
17:49:38.331010,113289,110,119,432,344,321,246,892,618
17:49:38.332365,113299,112,123,433,343,322,245,892,618
17:49:38.335586,113309,112,126,433,344,322,244,891,618
17:49:38.338578,113319,114,125,433,344,322,243,891,617
17:49:38.342077,113329,116,126,433,343,322,242,891,617
17:49:38.344657,113339,117,128,433,343,322,242,891,616
17:49:38.347551,113349,118,129,434,343,322,241,891,617
17:49:38.349844,113359,119,130,434,343,322,241,891,617
17:49:38.352047,113369,120,131,435,343,322,242,890,617
17:49:38.354858,113379,120,132,435,343,322,243,890,618
17:49:38.356658,113389,121,133,435,343,322,245,890,619
17:49:38.359972,113399,122,134,436,344,322,247,892,620
17:49:38.363541,113409,123,137,436,344,322,249,892,620
17:49:38.365269,113419,124,139,437,344,322,251,892,621
17:49:38.368580,113429,124,140,438,344,322,252,893,618
17:49:38.372048,113439,124,142,439,344,323,252,892,618
17:49:38.374647,113449,124,143,439,345,323,251,891,618
17:49:38.377452,113459,124,144,439,345,324,250,892,618
17:49:38.380751,113469,124,144,440,345,324,248,891,621
17:49:38.384288,113479,124,145,441,345,324,247,891,618
17:49:38.384288,113489,125,146,441,345,325,246,891,617
17:49:38.389195,113499,125,147,443,346,325,246,891,617
17:49:38.392564,113509,126,149,444,346,325,246,891,617
17:49:38.396985,113519,128,151,445,346,326,246,891,618
17:49:38.398704,113529,130,154,446,347,326,247,891,617
17:49:38.402331,113539,132,156,447,347,327,248,891,617
17:49:38.404920,113549,135,158,448,347,327,249,891,617
17:49:38.405981,113559,135,160,449,347,328,250,891,618
17:49:38.410055,113569,137,162,450,348,328,251,892,620
17:49:38.413345,113580,138,162,451,348,329,252,893,619
17:49:38.415834,113589,138,163,451,348,330,253,893,619
17:49:38.418868,113599,139,164,452,349,330,254,892,619
17:49:38.420705,113609,139,165,453,350,331,254,893,620
17:49:38.423221,113619,138,165,453,350,332,255,893,621
17:49:38.424270,113629,137,165,453,351,333,254,893,621
17:49:38.427299,113639,135,165,454,351,334,254,894,621
17:49:38.430840,113649,132,166,454,351,335,252,894,621
17:49:38.432991,113659,130,166,454,352,336,251,893,621
17:49:38.432991,113669,128,166,454,352,336,249,894,622
17:49:38.437672,113679,126,166,454,352,337,248,894,622
17:49:38.437672,113689,125,166,455,352,338,246,894,622
17:49:38.441949,113699,124,167,455,352,338,245,894,622
17:49:38.444555,113709,124,168,455,352,338,243,894,622
17:49:38.447529,113719,124,168,455,352,338,242,894,622
17:49:38.449778,113729,125,168,455,351,337,240,893,622
17:49:38.451867,113739,125,168,455,351,337,239,894,622
17:49:38.453915,113750,126,168,456,352,338,239,893,622
17:49:38.454923,113759,127,169,456,352,337,238,893,622
17:49:38.457503,113769,128,169,456,352,338,237,893,622
17:49:38.460825,113779,128,169,456,352,338,236,893,622
17:49:38.464013,113789,128,168,456,353,338,234,893,622
17:49:38.466309,113799,126,168,455,353,338,232,892,622
17:49:38.467900,113809,125,167,455,353,338,230,892,622
17:49:38.470088,113819,124,166,454,353,338,228,892,622
17:49:38.472513,113829,124,166,454,353,337,226,891,621
17:49:38.474204,113839,123,164,453,353,337,225,892,621
17:49:38.476551,113849,123,162,452,353,336,223,891,620
17:49:38.478647,113859,123,161,451,352,336,222,891,620
17:49:38.478647,113869,122,159,450,352,335,220,891,619
17:49:38.482941,113879,122,158,450,352,335,218,890,618
17:49:38.485047,113889,122,157,449,352,335,216,890,617
17:49:38.486174,113899,123,157,449,352,334,215,889,617
17:49:38.489336,113909,123,156,449,352,333,214,889,616
17:49:38.491442,113920,124,156,449,351,332,214,888,615
17:49:38.492493,113929,126,152,449,352,329,215,888,614
17:49:38.496196,113939,125,157,448,351,330,216,888,614
17:49:38.497246,113949,126,157,448,350,330,217,888,614
17:49:38.499426,113959,126,158,448,350,329,219,888,614
17:49:38.502044,113969,126,159,449,349,328,220,889,614
17:49:38.502044,113979,127,159,448,349,326,222,889,614
17:49:38.505365,113989,128,160,448,348,326,224,888,613
17:49:38.507224,113999,128,161,448,348,324,225,888,614
17:49:38.510040,114009,128,162,448,348,323,227,889,614
17:49:38.513388,114019,129,163,448,347,322,230,889,614
17:49:38.515585,114029,129,164,448,347,321,233,890,614
17:49:38.517647,114039,130,165,448,347,320,236,890,614
17:49:38.517647,114049,131,166,449,347,319,239,890,615
17:49:38.520996,114059,131,167,449,347,319,242,890,615
17:49:38.523158,114069,132,167,449,347,319,244,890,615
17:49:38.525508,114079,132,167,449,347,318,246,890,615
17:49:38.527270,114089,132,168,449,347,319,247,891,615
17:49:38.530203,114099,132,168,450,347,319,248,890,615
17:49:38.532913,114109,132,168,450,347,320,249,890,615
17:49:38.532913,114119,132,168,450,348,320,251,891,615
17:49:38.532913,114129,132,168,451,349,320,252,891,615
17:49:38.537491,114139,132,168,451,349,321,253,891,615
17:49:38.537491,114149,132,168,452,349,321,255,891,616
17:49:38.543442,114159,132,169,453,350,322,256,891,615
