Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
18:32:23.237284,170999,204,283,462,403,253,499,893,618
18:32:23.237284,171009,204,282,462,403,254,498,893,618
18:32:23.243826,171019,204,282,463,404,253,498,893,618
18:32:23.243826,171029,202,280,462,403,253,497,895,618
18:32:23.243826,171039,200,283,464,405,255,496,894,618
18:32:23.251776,171049,202,280,461,403,254,496,895,618
18:32:23.255520,171059,201,279,462,404,254,496,895,618
18:32:23.258725,171069,202,279,461,404,254,496,895,618
18:32:23.261934,171079,200,281,463,406,256,496,896,618
18:32:23.263707,171089,202,278,461,404,254,497,897,618
18:32:23.263707,171099,202,278,461,404,254,497,897,619
18:32:23.263707,171109,202,281,464,406,257,497,896,618
18:32:23.263707,171119,203,279,462,404,254,499,895,619
18:32:23.273680,171129,204,280,462,403,254,500,894,619
18:32:23.275869,171139,205,280,462,404,254,501,896,619
18:32:23.275869,171149,205,280,461,404,254,502,896,619
18:32:23.275869,171159,205,285,464,406,259,502,896,619
18:32:23.283695,171169,206,282,462,405,254,504,896,620
18:32:23.283695,171180,207,283,462,405,254,505,896,620
18:32:23.288980,171189,208,283,462,405,254,505,895,620
18:32:23.291424,171199,208,284,463,405,253,506,896,620
18:32:23.294999,171209,209,285,463,404,253,507,897,620
18:32:23.297927,171219,209,286,463,405,253,507,897,621
18:32:23.300087,171229,209,287,462,404,253,508,897,621
18:32:23.302511,171239,209,288,463,404,253,508,897,621
18:32:23.305643,171249,210,289,463,405,253,509,898,621
18:32:23.308023,171259,210,289,463,405,253,508,898,621
18:32:23.309691,171269,210,291,463,404,253,509,898,622
18:32:23.314950,171279,210,291,463,405,253,509,898,621
18:32:23.317379,171289,210,292,464,404,253,509,900,622
18:32:23.318593,171299,211,292,464,404,253,509,899,621
18:32:23.322250,171309,211,293,464,404,252,509,898,622
18:32:23.326235,171319,211,293,464,403,252,509,899,622
18:32:23.326235,171329,211,293,464,403,252,509,899,622
18:32:23.331504,171339,211,293,464,403,251,509,897,622
18:32:23.333524,171350,211,293,464,402,251,508,899,623
18:32:23.336314,171359,210,293,464,402,251,509,898,623
18:32:23.338402,171369,210,292,463,401,251,508,898,623
18:32:23.339398,171379,209,293,463,400,250,508,898,623
18:32:23.344399,171389,208,292,462,399,248,507,898,623
18:32:23.346512,171399,208,292,462,398,246,507,898,623
18:32:23.348567,171409,206,291,461,398,245,506,898,623
18:32:23.349591,171419,206,291,460,397,244,506,897,623
18:32:23.353445,171429,205,291,460,395,242,505,897,624
18:32:23.355939,171439,203,290,459,395,242,505,897,624
18:32:23.357681,171449,202,289,458,394,241,504,897,624
18:32:23.361951,171459,201,287,458,393,240,503,896,622
18:32:23.364658,171469,200,285,457,392,240,502,896,620
18:32:23.366127,171479,198,283,456,392,239,500,896,620
