Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:49:20.691659,286429,263,308,558,481,436,333,872,621
16:49:20.695744,286439,264,309,558,481,436,333,872,621
16:49:20.695744,286449,263,309,558,481,436,333,872,621
16:49:20.701673,286459,264,310,558,480,436,333,872,621
16:49:20.704220,286469,264,310,553,480,436,333,873,622
16:49:20.705436,286479,264,309,558,480,436,334,872,622
16:49:20.713367,286489,258,309,559,481,436,333,873,621
16:49:20.716670,286499,260,309,558,480,436,334,872,622
16:49:20.718506,286509,260,309,558,481,436,332,872,621
16:49:20.720675,286519,264,309,558,481,436,334,874,622
16:49:20.724364,286529,262,309,558,481,436,334,872,621
16:49:20.728157,286539,264,309,558,481,436,333,872,621
16:49:20.731492,286550,264,308,558,481,436,333,873,621
16:49:20.733755,286559,264,308,558,481,437,333,873,622
16:49:20.737255,286569,264,307,559,481,436,333,873,622
16:49:20.738318,286579,265,308,558,481,437,334,873,622
16:49:20.744065,286589,265,307,559,482,437,334,873,622
16:49:20.746706,286599,265,307,558,481,437,334,873,623
16:49:20.749004,286609,265,304,558,482,437,334,873,623
16:49:20.752172,286619,265,307,558,482,437,335,873,623
16:49:20.752172,286629,265,306,558,481,437,335,873,623
16:49:20.757731,286639,265,306,558,482,437,335,873,623
16:49:20.761818,286649,265,306,559,482,437,335,873,623
16:49:20.765386,286659,264,307,558,482,437,335,873,624
16:49:20.767381,286669,264,307,558,482,437,335,873,623
16:49:20.767381,286679,264,307,558,482,437,336,873,623
16:49:20.773405,286689,265,307,558,482,437,335,873,623
16:49:20.777040,286699,264,304,559,482,437,335,873,623
16:49:20.777040,286709,264,308,558,482,437,335,873,623
16:49:20.783577,286720,265,308,558,482,437,335,873,623
16:49:20.787003,286729,264,308,558,482,437,336,873,623
16:49:20.787003,286739,264,309,558,482,437,336,873,624
16:49:20.792902,286749,265,306,558,482,437,336,874,624
16:49:20.795149,286759,265,309,558,482,437,336,873,624
16:49:20.798206,286769,264,310,559,482,437,336,873,624
16:49:20.800548,286779,264,310,558,482,437,337,873,625
16:49:20.801594,286789,264,310,559,482,437,337,873,625
16:49:20.804904,286799,265,312,558,482,437,338,874,625
16:49:20.807253,286809,265,311,558,482,437,338,873,625
16:49:20.810530,286819,265,311,558,482,437,338,873,625
16:49:20.810530,286829,264,310,557,481,435,337,872,623
16:49:20.814366,286839,265,312,560,483,438,339,875,626
16:49:20.817123,286849,265,313,558,483,438,339,874,625
16:49:20.818200,286859,265,311,559,483,437,338,873,625
16:49:20.819288,286869,265,311,559,483,437,338,873,625
16:49:20.822013,286879,265,311,559,483,437,338,873,625
16:49:20.824963,286889,265,311,559,482,437,338,873,625
16:49:20.826026,286899,266,313,557,483,437,338,873,624
16:49:20.829663,286909,265,311,559,482,437,338,873,624
16:49:20.831928,286919,265,312,559,482,437,338,873,624
16:49:20.834298,286929,266,312,559,483,437,338,873,624
16:49:20.834298,286939,266,312,559,483,437,338,873,624
16:49:20.837758,286949,267,314,557,483,437,338,873,624
16:49:20.840153,286959,266,313,559,483,437,338,873,624
16:49:20.844377,286969,266,313,559,483,437,338,873,624
16:49:20.846430,286979,266,313,559,483,437,338,873,625
16:49:20.847439,286989,267,313,559,483,437,338,873,624
16:49:20.849504,286999,269,315,556,483,437,338,873,625
16:49:20.849504,287009,267,313,559,483,437,338,873,624
16:49:20.853408,287020,267,313,559,483,437,338,873,624
16:49:20.855811,287029,267,313,560,483,438,338,873,624
16:49:20.857597,287039,267,313,560,483,437,338,873,624
16:49:20.857597,287049,270,314,559,483,437,338,873,624
16:49:20.862948,287059,268,313,559,483,437,338,873,624
16:49:20.865769,287069,268,314,559,483,437,338,873,625
16:49:20.866830,287079,268,314,560,483,438,338,874,624
16:49:20.868228,287089,268,314,560,483,438,338,873,625
16:49:20.870922,287099,272,315,555,483,438,338,873,624
16:49:20.873558,287109,268,314,560,483,438,338,873,624
16:49:20.878296,287119,268,314,560,484,438,338,873,624
16:49:20.880487,287129,268,314,560,483,438,339,873,624
16:49:20.881492,287139,269,315,560,483,438,339,873,624
16:49:20.884086,287149,275,315,555,483,438,339,873,624
