Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
115869;48;32;243;186;311;0;836;329
115879;46;31;244;186;312;0;832;330
115889;45;32;243;184;311;0;838;333
115899;43;32;241;183;310;0;839;335
115909;41;31;243;184;311;1;840;337
115919;40;31;241;182;310;1;841;340
115929;38;31;241;181;310;1;842;341
115939;37;31;239;181;309;0;842;345
115949;35;31;239;180;310;2;843;348
115959;32;32;239;178;310;1;843;352
115969;29;32;239;178;310;1;843;355
115979;27;32;240;177;309;1;843;357
115989;25;31;240;178;310;2;843;359
115999;23;31;239;177;309;2;843;361
116009;22;31;238;176;309;1;843;362
116019;21;30;238;176;309;2;843;363
116029;20;30;237;177;309;2;841;364
116039;19;30;237;176;309;1;840;364
116049;19;29;237;176;309;2;839;364
116059;19;29;237;177;309;1;839;365
116069;18;29;239;175;307;0;839;365
116079;18;29;239;175;308;0;840;366
116089;18;29;240;175;308;0;839;366
116099;18;29;240;176;308;0;839;367
116109;17;28;240;177;309;0;839;367
116119;17;28;240;178;309;0;839;367
116129;17;28;240;178;309;0;839;366
116140;17;28;240;179;309;0;838;366
116149;17;28;241;180;310;0;838;365
116159;17;28;241;181;310;0;838;364
116169;18;28;242;181;310;0;837;364
116179;18;28;242;182;310;0;837;364
116189;19;28;244;183;311;0;836;362
116199;20;29;244;183;311;0;836;361
116209;22;29;245;184;311;0;834;358
116219;23;30;246;186;312;0;832;354
116229;25;30;247;186;312;0;830;351
116239;27;30;248;187;312;0;828;347
116249;31;30;249;188;313;0;828;345
116259;33;30;249;189;313;0;829;343
116269;36;31;250;190;314;0;830;341
116279;38;32;251;191;314;0;831;340
116289;40;32;252;192;314;0;831;339
116299;41;32;252;193;314;0;833;338
116310;42;33;252;195;314;0;834;338
116319;43;32;253;195;315;0;834;338
116329;43;32;254;196;315;0;836;338
116339;43;32;254;197;315;0;836;339
116349;43;32;254;198;316;0;838;339
