Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
13:29:50.977411,308140,6,0,601,272,266,566,942,0
13:29:50.977411,308149,10,0,602,271,268,566,941,1
13:29:50.998649,308159,11,0,604,274,267,567,942,1
13:29:50.998649,308169,10,0,603,274,268,567,941,0
13:29:51.006718,308179,14,2,604,277,269,565,942,0
13:29:51.009707,308189,16,4,604,278,270,563,941,1
13:29:51.009707,308199,18,4,605,277,270,564,941,0
13:29:51.009707,308209,20,4,605,277,271,564,941,0
13:29:51.009707,308219,20,0,606,275,270,564,940,0
13:29:51.022370,308229,24,4,606,275,276,564,940,0
13:29:51.025972,308239,26,4,607,275,274,563,940,0
13:29:51.029037,308249,28,4,608,275,274,563,941,0
13:29:51.030053,308259,30,3,609,275,276,563,940,0
13:29:51.030053,308269,32,3,610,276,277,562,940,0
13:29:51.030053,308279,33,3,610,276,276,562,941,0
13:29:51.040271,308289,35,3,611,276,277,561,940,0
13:29:51.045018,308299,36,1,611,277,281,561,940,0
13:29:51.048881,308310,37,1,611,277,279,559,940,0
13:29:51.048881,308319,39,1,611,277,282,559,940,0
13:29:51.056335,308329,42,1,610,277,283,563,940,0
13:29:51.059370,308339,46,1,611,277,281,559,939,0
13:29:51.064203,308349,48,0,614,279,279,561,940,0
13:29:51.067254,308359,55,0,614,279,280,562,940,0
13:29:51.069516,308369,64,1,611,278,283,561,939,0
13:29:51.072352,308379,70,0,615,280,281,560,940,0
13:29:51.075825,308389,78,0,614,279,282,560,940,0
13:29:51.080147,308399,86,0,615,278,282,560,940,0
13:29:51.083228,308409,95,0,615,278,283,560,939,0
13:29:51.085252,308419,104,1,610,275,287,558,938,0
13:29:51.089061,308429,111,0,615,276,283,558,939,0
13:29:51.092373,308439,117,0,615,275,283,558,940,0
13:29:51.096952,308449,123,0,615,275,283,558,940,0
13:29:51.100020,308459,130,0,615,274,283,557,939,0
13:29:51.102046,308469,137,1,616,272,287,556,938,0
13:29:51.105695,308480,142,0,615,272,281,556,939,0
13:29:51.110535,308489,148,0,615,271,281,556,939,0
13:29:51.114214,308499,155,0,616,270,281,555,939,0
13:29:51.115246,308509,163,0,616,269,280,554,939,0
13:29:51.115246,308519,171,1,617,267,285,553,937,0
13:29:51.123396,308529,175,0,616,267,280,553,939,0
13:29:51.127377,308539,181,0,617,267,280,552,940,0
13:29:51.130450,308549,189,1,618,265,284,551,938,0
13:29:51.133827,308559,193,0,617,265,278,549,938,0
13:29:51.136910,308569,199,1,618,265,281,548,935,0
13:29:51.140043,308579,203,0,617,264,276,546,938,0
13:29:51.144582,308589,206,0,618,264,276,544,939,0
13:29:51.148608,308599,211,0,618,263,274,543,939,0
13:29:51.149641,308609,215,0,618,261,273,542,940,0
13:29:51.157806,308619,219,1,619,261,275,541,935,0
13:29:51.160514,308629,220,0,619,260,271,540,939,0
13:29:51.164648,308639,224,0,618,259,270,539,939,0
13:29:51.165670,308649,226,0,618,259,268,538,938,0
13:29:51.165670,308659,228,0,618,258,267,537,939,0
13:29:51.173470,308669,233,1,618,256,264,536,938,0
13:29:51.177473,308679,234,0,617,257,264,534,939,0
13:29:51.181598,308689,236,0,617,256,262,533,938,0
13:29:51.185016,308699,239,0,616,255,260,532,939,0
13:29:51.187038,308709,240,0,615,255,258,531,938,0
13:29:51.190093,308719,244,1,616,251,256,532,937,0
13:29:51.194117,308729,244,0,614,253,254,530,938,0
13:29:51.199279,308739,246,0,612,252,252,528,938,0
13:29:51.199279,308749,246,0,610,252,250,525,937,0
13:29:51.208947,308759,246,0,609,251,248,521,937,0
13:29:51.212411,308769,248,1,608,247,244,520,935,0
13:29:51.216038,308780,246,0,604,247,243,507,935,0
13:29:51.218265,308789,245,0,602,244,239,499,934,0
13:29:51.221332,308799,246,0,599,240,235,489,933,0
13:29:51.224387,308809,244,0,597,236,230,478,933,0
13:29:51.229189,308819,244,1,596,228,224,472,929,0
13:29:51.232253,308829,241,0,592,228,220,458,931,0
13:29:51.235511,308839,240,0,589,224,215,448,930,0
13:29:51.237534,308849,239,0,587,220,209,439,929,0
13:29:51.241022,308859,236,0,583,217,205,430,927,0
13:29:51.244076,308869,235,2,582,214,200,424,925,0
13:29:51.248205,308879,230,0,578,210,194,408,925,0
13:29:51.248205,308889,226,0,575,206,190,397,923,0
13:29:51.248205,308899,222,0,570,202,184,385,920,0
