Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:16:22.891269,741359,0,91,4,91,114,4,513,246
16:16:22.893942,741420,0,74,1,80,105,0,234,113
16:16:22.897246,741429,0,65,4,79,103,6,177,90
16:16:22.900403,741439,0,61,1,79,100,0,136,69
16:16:22.902477,741449,0,54,0,78,97,0,104,53
16:16:22.904784,741459,0,44,5,78,94,3,76,39
16:16:22.907334,741469,0,38,0,75,87,0,60,30
16:16:22.910935,741479,0,28,5,75,82,3,43,23
16:16:22.914876,741489,0,24,6,72,76,1,31,15
16:16:22.918030,741499,0,17,0,69,70,0,27,13
16:16:22.920447,741509,0,12,8,68,66,1,16,7
16:16:22.922449,741519,0,8,8,67,62,1,12,5
16:16:22.923956,741529,0,8,7,65,57,1,8,3
16:16:22.926565,741539,0,5,0,61,51,0,10,4
16:16:22.928912,741549,0,3,0,57,45,0,8,3
16:16:22.934525,741559,0,3,0,53,40,0,6,2
16:16:22.937973,741569,0,2,0,46,34,0,5,2
16:16:22.941349,741579,0,1,0,40,27,0,4,1
16:16:22.943500,741590,0,1,0,34,24,0,2,1
16:16:22.949511,741599,0,0,0,28,21,0,2,1
16:16:22.951649,741609,0,0,0,24,21,0,2,1
16:16:22.956259,741619,0,0,0,21,20,0,2,0
16:16:22.958354,741629,0,0,0,18,20,0,1,0
16:16:22.960691,741639,0,0,0,16,20,0,3,0
16:16:22.962738,741649,0,0,0,14,21,0,7,0
16:16:22.967242,741659,0,0,0,13,21,0,14,0
16:16:22.970474,741669,0,0,0,12,22,0,24,0
16:16:22.972481,741679,0,0,0,11,23,0,38,0
16:16:22.974442,741689,0,0,0,10,24,0,52,0
16:16:22.976536,741699,0,0,0,9,25,0,64,0
16:16:22.977554,741709,0,0,0,8,25,0,78,1
16:16:22.981563,741719,0,0,0,8,26,0,95,2
16:16:22.985795,741729,0,0,0,7,27,0,111,2
16:16:22.987807,741739,0,0,0,6,28,0,123,3
16:16:22.989820,741749,0,0,0,5,29,0,134,4
16:16:22.990824,741760,0,0,0,5,30,0,146,5
16:16:22.992332,741769,0,0,0,4,30,0,158,6
16:16:22.995391,741779,0,0,0,4,30,0,170,7
