Hora;Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
18:38:35.393150;53139;0;0;0;0;0;0;0;0
18:38:35.400667;53149;1;1;0;3;0;0;0;0
18:38:35.412981;53159;2;0;0;0;0;0;0;0
18:38:35.417144;53169;0;0;0;0;0;0;0;0
18:38:35.423502;53179;0;0;0;0;0;0;0;0
18:38:35.430311;53189;0;0;0;0;0;0;0;0
18:38:35.457332;53199;0;0;0;0;0;0;0;0
18:38:35.461287;53209;2;0;0;0;0;0;0;0
18:38:35.461287;53219;1;0;1;4;0;0;0;0
18:38:35.477081;53229;0;0;0;0;0;0;0;0
18:38:35.477081;53239;2;0;0;0;0;0;0;0
18:38:35.485971;53249;3;0;0;0;0;0;0;0
18:38:35.487836;53259;1;0;0;0;0;0;0;0
18:38:35.528096;53269;0;0;0;0;0;0;0;0
18:38:35.543403;53279;0;0;0;0;0;0;0;0
18:38:35.551468;53289;1;1;0;1;0;0;0;0
18:38:35.551468;53299;0;0;0;0;0;0;0;0
18:38:35.561525;53309;0;0;0;0;0;0;0;0
18:38:35.569949;53319;0;0;0;0;0;0;0;0
18:38:35.573126;53329;0;0;0;0;0;0;0;0
18:38:35.579441;53339;0;0;0;0;0;0;0;0
18:38:35.597160;53349;0;0;0;0;0;0;0;0
18:38:35.603146;53359;1;0;0;1;0;0;0;0
18:38:35.608592;53369;1;1;0;1;0;0;0;0
18:38:35.611835;53379;0;0;0;0;0;0;0;0
18:38:35.621206;53389;0;0;0;0;0;0;0;0
18:38:35.627117;53399;1;0;0;0;0;0;0;0
18:38:35.631130;53409;0;0;0;0;0;0;0;0
18:38:35.690677;53420;0;0;0;0;0;0;0;0
18:38:35.693632;53429;1;1;1;1;0;0;0;0
18:38:35.693632;53439;0;0;0;0;0;0;0;0
18:38:35.702642;53449;0;0;0;0;0;3;0;1
18:38:35.715796;53459;0;0;0;0;0;0;0;0
18:38:35.715796;53469;0;0;0;0;0;0;0;0
18:38:35.727512;53479;0;0;0;0;0;0;0;0
18:38:35.727834;53489;0;0;0;0;0;0;0;0
18:38:35.761148;53499;0;0;0;0;0;0;1;1
18:38:35.765168;53509;0;0;0;0;0;0;0;0
18:38:35.772363;53519;0;0;0;0;0;0;0;0
18:38:35.777248;53529;0;0;0;0;0;0;1;1
18:38:35.777248;53539;0;0;0;0;0;1;1;0
18:38:35.784279;53549;0;0;0;0;0;1;1;1
18:38:35.787187;53559;0;0;0;0;0;0;0;0
18:38:35.829212;53569;0;0;0;0;0;0;0;0
18:38:35.831221;53579;0;0;0;0;0;0;1;1
18:38:35.837033;53590;0;0;0;0;0;0;0;0
18:38:35.843570;53599;0;0;0;0;0;0;0;0
18:38:35.846812;53609;0;0;0;0;0;0;0;0
18:38:35.846812;53619;0;0;0;0;0;0;0;0
18:38:35.850567;53629;0;0;0;0;0;0;0;0
18:38:35.902935;53639;0;0;0;0;0;0;0;0
18:38:35.909480;53649;0;0;0;0;0;0;0;0
18:38:35.918807;53659;0;0;0;0;0;0;1;1
18:38:35.922347;53669;0;0;0;0;0;0;0;0
18:38:35.928391;53679;2;0;0;0;0;0;0;0
18:38:35.932570;53689;13;0;0;0;0;0;0;0
18:38:35.937435;53699;33;0;0;0;0;0;0;0
18:38:35.940898;53709;49;0;0;0;0;0;0;0
18:38:35.962359;53719;55;0;0;0;0;0;0;0
18:38:35.968811;53729;52;0;0;0;0;0;2;1
18:38:35.974024;53739;51;0;0;0;0;0;2;0
18:38:35.975998;53749;45;0;0;0;0;0;0;0
18:38:35.981838;53760;46;0;0;0;0;0;0;0
18:38:35.986340;53769;50;0;0;0;0;0;0;0
18:38:35.989667;53779;56;0;0;0;0;0;0;0
18:38:36.026872;53789;62;0;0;0;0;0;2;1
18:38:36.042207;53799;65;1;1;1;1;0;0;0
18:38:36.046039;53809;64;0;0;0;0;0;0;0
18:38:36.047420;53819;64;0;0;0;0;0;4;1
18:38:36.053776;53829;64;0;0;0;0;0;4;0
18:38:36.055515;53839;65;0;0;0;0;0;4;1
18:38:36.059354;53849;67;0;0;0;0;0;0;0
18:38:36.107755;53859;66;0;0;0;0;0;0;0
18:38:36.111149;53869;67;1;1;1;1;2;0;0
18:38:36.114856;53879;63;0;0;0;0;0;0;0
18:38:36.114856;53889;62;0;0;0;0;0;0;0
18:38:36.122870;53899;62;0;1;0;0;0;0;0
18:38:36.126006;53909;65;0;0;0;0;0;0;1
18:38:36.131081;53919;68;0;0;0;0;0;0;0
18:38:36.197722;53929;72;0;0;0;0;0;0;0
18:38:36.197722;53939;75;1;0;0;1;4;0;0
18:38:36.206951;53949;75;0;0;0;0;0;1;0
18:38:36.206951;53959;76;0;0;0;0;0;0;0
18:38:36.209931;53969;77;0;0;0;0;0;0;0
18:38:36.213826;53979;78;0;0;0;0;0;0;0
18:38:36.218692;53989;78;0;0;0;0;0;0;0
18:38:36.264989;53999;79;0;0;0;0;0;0;1
18:38:36.275327;54009;80;0;0;0;0;0;0;0
18:38:36.278184;54019;83;0;0;0;0;0;0;0
18:38:36.281177;54029;85;0;0;0;0;0;0;0
18:38:36.285729;54039;88;0;0;0;0;0;0;0
18:38:36.291119;54049;91;0;0;0;0;0;0;0
18:38:36.295475;54060;93;0;0;0;0;0;0;0
18:38:36.300338;54069;94;0;0;0;0;0;0;0
18:38:36.340058;54079;97;0;0;0;0;0;0;0
18:38:36.345235;54089;98;0;0;0;0;0;0;0
18:38:36.347239;54099;99;0;0;0;0;0;0;0
18:38:36.349441;54109;99;0;0;0;0;0;0;2
18:38:36.351494;54119;100;0;0;0;0;0;0;2
18:38:36.355731;54129;100;0;0;0;0;0;0;2
18:38:36.359043;54139;101;0;0;0;0;0;0;2
18:38:36.409724;54149;103;0;0;0;0;0;0;0
18:38:36.414298;54159;104;0;0;0;0;0;0;0
18:38:36.416304;54169;105;0;0;0;0;0;0;0
18:38:36.418814;54179;106;0;0;0;0;0;0;0
18:38:36.423582;54189;105;0;0;0;0;0;0;0
18:38:36.425269;54199;104;0;0;0;0;0;0;0
18:38:36.430001;54209;106;0;0;0;0;0;0;0
18:38:36.500598;54219;107;0;0;0;0;0;0;0
18:38:36.500598;54230;107;0;0;0;0;0;0;0
18:38:36.511880;54239;107;0;0;0;0;0;0;0
18:38:36.517324;54249;108;0;0;0;0;0;0;2
18:38:36.527980;54259;107;0;0;0;0;0;0;0
18:38:36.535046;54269;108;0;0;0;0;0;0;0
18:38:36.539542;54279;108;0;0;0;0;0;0;0
18:38:36.560783;54289;108;0;0;0;0;0;0;0
18:38:36.571444;54299;107;0;0;0;0;0;0;0
18:38:36.578870;54309;108;0;0;0;0;0;0;0
