Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
14:23:07.937655,205459,47,1,570,350,288,659,943,1
14:23:07.943245,205469,44,0,571,346,286,659,944,2
14:23:07.950763,205479,44,1,570,341,284,659,944,2
14:23:07.955266,205489,41,1,570,338,283,661,945,1
14:23:07.959664,205499,40,0,569,336,280,661,947,2
14:23:07.963830,205509,37,3,569,333,278,661,947,2
14:23:07.966671,205519,37,1,569,330,278,661,946,2
14:23:07.971164,205529,36,0,569,331,278,662,946,2
14:23:07.975329,205539,36,3,569,328,277,662,946,4
14:23:07.978158,205549,36,3,569,327,279,662,944,0
14:23:07.981277,205559,37,3,569,327,280,662,944,0
14:23:07.984417,205569,39,0,570,324,281,662,944,0
14:23:07.987509,205579,40,1,569,327,282,662,944,0
14:23:07.991330,205589,41,0,570,326,284,661,943,0
14:23:07.995435,205599,43,0,570,325,284,660,944,0
14:23:07.999088,205609,44,0,572,324,286,661,944,0
14:23:08.002097,205619,45,0,574,326,287,660,943,0
14:23:08.004105,205629,48,0,574,327,289,661,944,0
14:23:08.008789,205639,51,0,574,327,289,661,943,0
14:23:08.013070,205649,53,0,575,327,290,660,943,0
14:23:08.016587,205659,54,0,576,326,292,659,943,0
14:23:08.017610,205669,59,0,576,329,291,659,944,0
14:23:08.022927,205679,59,0,576,328,291,658,944,0
14:23:08.027471,205689,64,0,576,326,289,656,943,0
14:23:08.030484,205699,67,0,576,324,287,654,943,0
14:23:08.032496,205709,66,0,576,322,285,650,943,0
14:23:08.035617,205719,70,0,575,321,282,648,943,0
14:23:08.038161,205729,72,1,574,320,279,643,944,0
14:23:08.042849,205740,74,1,572,317,276,640,942,0
14:23:08.046362,205749,73,0,571,316,273,634,941,0
14:23:08.049392,205759,68,0,573,317,268,627,940,1
14:23:08.052762,205769,71,0,565,312,264,617,938,0
14:23:08.054788,205779,68,0,560,309,257,604,935,0
14:23:08.061784,205789,62,0,554,305,250,588,931,0
14:23:08.064799,205799,55,0,547,298,240,570,926,0
14:23:08.067343,205809,49,0,544,292,226,548,921,0
14:23:08.070371,205819,41,0,529,286,215,524,914,0
14:23:08.073396,205829,35,0,520,278,201,497,904,0
14:23:08.078182,205839,30,1,508,272,186,466,891,0
14:23:08.082363,205849,23,0,496,265,171,429,871,0
