Hora;Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
17:59:36.941692;468889;197;113;71;163;355;23;373;126
17:59:36.951707;468899;178;103;64;149;348;21;375;129
17:59:36.958345;468909;161;93;58;134;340;19;376;131
17:59:36.962816;468919;146;84;53;121;335;17;378;133
17:59:36.963860;468929;132;76;48;110;330;16;380;135
17:59:37.025238;468939;120;69;43;99;326;14;383;138
17:59:37.027387;468950;109;63;39;90;324;12;386;140
17:59:37.029736;468959;98;57;36;82;322;12;389;141
17:59:37.032872;468969;89;51;32;74;322;10;392;142
17:59:37.042167;468979;80;47;29;67;322;9;395;143
17:59:37.047650;468989;73;42;26;60;322;8;398;144
17:59:37.053287;468999;66;38;24;55;323;8;400;145
17:59:37.055878;469009;60;34;22;50;324;7;402;146
17:59:37.059813;469019;54;32;20;45;326;6;403;147
17:59:37.061969;469029;49;28;18;41;328;5;405;148
17:59:37.124968;469039;44;25;16;37;330;5;406;148
17:59:37.129198;469049;40;23;14;33;332;5;408;149
17:59:37.131001;469059;36;20;13;30;334;4;410;150
17:59:37.132197;469069;33;19;12;27;336;3;411;151
17:59:37.136646;469079;31;17;11;25;338;3;412;151
17:59:37.138883;469089;28;15;9;22;340;3;413;151
17:59:37.142818;469099;26;14;8;20;342;2;414;150
17:59:37.145586;469109;23;12;8;18;343;2;415;150
17:59:37.148131;469120;21;11;7;16;343;2;415;150
17:59:37.155492;469129;19;10;6;15;344;1;416;150
17:59:37.207180;469139;17;9;5;13;345;1;416;150
17:59:37.211111;469149;15;8;4;12;345;1;417;149
17:59:37.214481;469159;13;7;4;11;345;1;418;149
17:59:37.217502;469169;12;7;4;10;345;1;418;149
17:59:37.220103;469179;11;7;3;9;344;0;418;148
17:59:37.220103;469189;10;6;2;8;342;0;418;147
17:59:37.228534;469199;9;6;2;7;341;0;418;147
17:59:37.232786;469209;8;5;2;6;340;0;419;146
17:59:37.235818;469219;7;4;1;5;339;0;419;146
17:59:37.241851;469229;6;3;1;5;338;0;419;147
17:59:37.262494;469239;6;3;1;4;337;0;417;147
17:59:37.264734;469249;5;2;2;3;337;0;415;147
17:59:37.266369;469259;4;3;1;2;338;0;413;149
17:59:37.267412;469269;4;2;2;2;337;0;409;147
17:59:37.269685;469279;3;1;2;2;337;0;403;145
17:59:37.296932;469289;3;1;1;2;345;0;394;140
17:59:37.296932;469299;4;1;1;1;362;0;382;133
17:59:37.304392;469309;30;1;0;2;387;0;368;123
17:59:37.306589;469319;112;9;0;1;424;0;352;111
17:59:37.308324;469329;209;52;0;7;483;0;339;104
17:59:37.360020;469339;294;122;0;36;550;0;331;103
17:59:37.362504;469349;361;203;9;91;615;0;322;106
17:59:37.364824;469359;409;282;39;163;673;0;317;108
17:59:37.364824;469369;450;358;93;245;719;0;314;112
17:59:37.369396;469379;488;432;172;322;754;25;324;122
17:59:37.371766;469389;524;504;259;387;781;169;414;175
17:59:37.441279;469399;550;567;338;436;799;364;559;280
17:59:37.444902;469409;567;616;401;474;813;502;679;389
17:59:37.447154;469420;578;649;452;507;822;583;750;473
17:59:37.447154;469429;582;668;499;543;828;624;785;532
17:59:37.447154;469439;578;674;543;577;833;639;801;574
17:59:37.508742;469449;566;674;581;610;836;643;811;609
17:59:37.511324;469459;552;671;617;641;839;647;821;641
17:59:37.513334;469469;537;668;647;667;841;651;833;670
17:59:37.514475;469479;525;667;671;688;843;660;845;694
17:59:37.520131;469489;517;668;689;705;845;672;856;716
17:59:37.522396;469499;512;672;701;717;847;684;865;734
17:59:37.527137;469509;508;676;711;726;850;696;873;750
17:59:37.528724;469519;506;680;717;732;852;706;878;762
17:59:37.530993;469529;502;683;723;736;852;714;882;771
17:59:37.530993;469539;498;686;727;740;854;721;885;778
17:59:37.597470;469549;496;689;729;743;854;726;888;785
17:59:37.604634;469559;493;690;730;744;854;731;890;789
17:59:37.608550;469569;492;693;730;745;855;734;892;793
17:59:37.608550;469579;493;696;728;743;855;738;893;795
17:59:37.612800;469590;496;699;725;739;855;741;894;797
17:59:37.675248;469599;500;702;721;735;855;744;896;798
17:59:37.677619;469609;505;706;717;730;854;747;897;799
17:59:37.681014;469619;506;707;711;724;853;749;897;799
17:59:37.683809;469629;508;708;706;719;852;751;897;799
17:59:37.686100;469639;509;710;702;713;851;753;898;799
17:59:37.690105;469649;507;709;696;708;849;754;898;800
17:59:37.693530;469659;503;708;692;702;848;756;899;801
