Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
102539;268;474;719;548;285;0;624;402
102549;267;474;720;548;285;0;627;402
102559;267;474;720;548;285;0;629;402
102569;268;473;720;547;285;0;633;402
102579;268;474;720;548;284;0;637;403
102589;267;474;720;546;285;0;642;403
102599;269;473;719;547;285;0;645;403
102609;269;473;719;548;286;0;650;403
102619;270;473;719;548;285;0;654;403
102629;270;473;720;547;285;0;658;404
102639;270;472;720;548;285;0;661;404
102649;270;473;720;548;285;0;665;405
102659;271;473;720;546;286;0;667;406
102669;272;473;720;547;286;0;669;407
102679;273;473;719;548;286;0;672;407
102689;275;474;719;547;286;0;675;409
102700;275;474;720;547;287;0;677;408
102709;275;474;720;546;286;0;680;409
102719;276;474;719;547;286;0;683;412
102729;277;475;720;547;286;0;687;414
102739;278;474;719;547;286;0;690;416
102749;278;474;721;547;286;0;692;418
102759;278;474;719;546;286;0;695;420
102769;279;474;719;546;285;0;697;423
102779;278;474;720;547;285;0;699;425
102789;279;475;720;547;284;0;701;427
102799;280;475;721;546;283;0;703;429
102809;280;475;720;546;282;0;706;432
102819;280;476;721;546;281;0;707;434
102829;280;476;720;546;280;0;709;436
102839;282;475;720;547;280;0;710;437
102849;281;475;720;547;278;0;710;439
102859;280;475;721;548;278;0;710;439
102870;281;477;720;546;279;0;709;440
102879;281;477;722;547;277;0;706;440
102889;280;477;721;547;277;0;703;439
102899;281;477;722;547;277;0;699;438
102909;281;479;722;548;276;0;694;438
102919;281;479;723;549;276;0;690;437
102929;280;479;724;548;276;0;684;435
102939;280;480;723;547;275;0;676;433
102949;280;480;724;549;275;0;669;431
102959;281;481;724;549;274;0;662;428
102969;280;482;726;550;275;0;656;427
102979;280;482;726;550;275;0;652;424
102989;280;483;726;550;274;0;647;423
102999;279;484;726;550;275;0;644;421
103009;279;484;726;551;277;0;644;420
103019;277;484;727;550;276;0;641;419
103029;277;484;726;551;277;0;641;419
103040;275;486;727;550;277;0;640;419
103049;276;486;728;550;277;0;640;418
103059;276;486;727;550;277;0;643;419
103069;276;486;727;551;278;0;645;419
103079;277;486;727;551;278;0;651;421
103089;277;487;728;549;278;0;657;422
103099;279;488;727;549;279;0;663;424
103109;278;487;727;550;280;0;670;426
103119;278;488;728;550;281;0;676;427
103129;280;488;727;550;281;0;681;429
103139;279;488;727;550;282;0;687;431
103149;280;487;727;550;282;0;692;433
103159;280;487;727;550;283;0;695;435
103169;280;487;727;550;283;0;699;438
103179;281;488;727;550;284;0;703;440
103189;281;487;726;549;284;0;707;442
103199;282;487;726;550;285;0;709;444
103209;281;487;726;549;285;0;713;445
103219;281;486;725;550;285;0;714;447
103229;282;487;726;549;285;0;717;448
103239;283;486;725;549;285;0;719;449
103249;282;486;725;549;286;0;722;452
103259;284;487;725;549;285;0;723;453
103269;285;487;725;549;286;0;725;455
103279;286;486;724;547;286;0;727;457
103289;285;486;724;547;286;0;729;458
103299;286;485;724;549;286;0;730;460
103309;287;486;724;548;287;0;731;460
103319;287;485;724;548;286;0;732;461
103329;287;485;724;548;287;0;733;462
103340;287;486;724;548;286;0;734;463
103349;287;486;724;547;286;0;735;464
103359;287;486;722;547;286;0;735;464
103369;286;486;723;547;286;0;736;465
103379;286;485;723;547;286;0;737;465
103389;286;485;721;547;285;0;738;466
103399;286;485;722;548;285;0;740;467
103409;286;486;721;548;284;0;741;467
103419;286;486;721;548;283;0;743;468
103429;286;485;722;547;283;0;743;469
103439;286;485;722;548;282;0;745;470
103449;286;484;722;547;282;0;747;470
103459;285;484;720;547;281;0;747;469
103469;284;483;721;548;281;0;748;469
103479;285;484;720;547;280;0;748;470
103489;284;483;721;548;280;0;749;470
103499;284;484;720;547;280;0;749;470
103510;285;482;720;548;279;0;749;471
103519;285;482;721;547;280;0;749;470
103529;285;481;720;549;279;0;750;470
103539;285;482;720;549;279;0;750;471
103549;285;481;719;549;279;0;750;471
103559;285;481;720;548;279;0;750;471
103569;285;480;720;548;278;0;749;470
103579;286;480;720;548;278;0;750;471
103589;286;479;720;548;279;0;749;471
103599;286;479;720;548;278;0;750;470
103609;287;479;720;549;278;0;749;471
103619;288;478;720;548;278;0;749;470
103629;288;478;721;548;279;0;750;470
103639;289;478;720;548;279;0;749;470
103649;289;477;720;548;279;0;749;471
103659;289;477;720;548;280;0;750;471
103669;289;478;720;547;280;0;752;471
