Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
17:49:39.497430,66209,194,583,613,564,777,779,889,522
17:49:39.502234,66220,199,583,615,566,778,778,890,521
17:49:39.507842,66229,205,584,616,568,779,777,887,520
17:49:39.511413,66239,211,585,617,570,780,775,886,520
17:49:39.513957,66249,217,585,619,573,781,774,885,521
17:49:39.515867,66259,222,586,621,575,781,772,884,521
17:49:39.517375,66269,227,587,622,577,784,772,886,523
17:49:39.519737,66279,231,587,622,577,782,770,883,522
17:49:39.520735,66289,236,588,623,579,783,768,882,523
17:49:39.523527,66299,242,588,623,579,783,767,882,524
17:49:39.578924,66309,247,589,623,580,783,766,882,524
17:49:39.578924,66319,252,589,623,581,784,766,882,524
17:49:39.591525,66329,256,590,623,582,784,765,882,526
17:49:39.595887,66339,260,590,623,582,784,765,882,527
17:49:39.599480,66349,264,591,623,583,784,765,882,530
17:49:39.658192,66359,267,592,623,583,784,764,882,531
17:49:39.660455,66369,271,593,623,583,784,765,882,531
17:49:39.663839,66379,274,593,623,583,784,765,882,533
17:49:39.666483,66390,276,593,623,584,785,765,882,533
17:49:39.668627,66399,279,593,623,584,784,764,882,534
17:49:39.671323,66409,281,593,624,585,785,764,881,535
17:49:39.673481,66419,282,593,623,585,785,764,882,537
17:49:39.675560,66429,284,593,623,586,785,763,882,538
17:49:39.682552,66439,286,594,623,586,785,763,881,538
17:49:39.689198,66449,289,594,622,586,786,762,881,538
17:49:39.734255,66459,291,595,621,587,786,760,881,539
17:49:39.740112,66469,294,596,621,587,786,758,880,539
17:49:39.742430,66479,298,597,620,587,787,758,878,539
17:49:39.747414,66489,301,598,619,587,787,755,877,539
17:49:39.749565,66499,304,600,619,587,787,754,876,538
17:49:39.818316,66509,307,602,619,587,789,752,874,537
17:49:39.818316,66519,310,603,618,587,789,750,873,536
17:49:39.831958,66529,314,606,618,587,789,748,872,535
17:49:39.836041,66539,317,607,618,587,790,747,872,535
17:49:39.839967,66549,322,609,617,588,791,745,870,533
17:49:39.847815,66560,326,610,617,587,791,743,870,530
17:49:39.847815,66569,330,612,617,587,792,741,868,528
17:49:39.847815,66579,334,613,617,587,792,738,867,527
17:49:39.847815,66589,338,615,618,588,793,738,868,525
17:49:39.847815,66599,340,615,616,587,792,734,865,522
17:49:39.858371,66609,343,615,616,587,792,733,865,520
17:49:39.860930,66619,344,616,615,587,792,731,864,518
17:49:39.861880,66629,346,616,614,587,792,730,863,517
17:49:39.865359,66639,347,616,613,587,792,730,862,515
17:49:39.867795,66649,347,615,612,587,791,729,862,514
17:49:39.869827,66659,347,614,612,587,790,729,862,512
17:49:39.929214,66669,345,612,611,587,790,729,862,511
17:49:39.932255,66679,344,611,611,587,789,729,862,510
17:49:39.935335,66689,341,609,610,587,789,729,863,509
17:49:39.942001,66699,339,607,610,587,788,729,863,509
17:49:39.947425,66709,336,605,609,587,788,729,863,508
17:49:40.063052,66719,333,603,609,586,787,729,864,508
17:49:40.065506,66729,329,601,608,586,786,730,864,507
17:49:40.068642,66739,326,598,607,585,785,730,864,508
17:49:40.071560,66749,322,596,606,584,784,730,865,508
17:49:40.073265,66759,319,594,605,583,784,731,865,507
17:49:40.076564,66769,316,593,605,583,783,731,866,507
17:49:40.080581,66779,313,591,605,582,783,732,866,507
17:49:40.088406,66789,310,591,604,581,783,731,866,507
17:49:40.092465,66799,307,590,604,581,782,731,866,507
17:49:40.098315,66809,304,589,603,581,782,732,866,507
17:49:40.102570,66819,302,589,603,580,781,732,866,507
17:49:40.106199,66829,300,588,603,579,781,732,866,507
17:49:40.108762,66839,298,587,603,580,781,733,867,508
17:49:40.111915,66849,296,588,603,578,780,734,868,509
17:49:40.114392,66860,294,586,601,578,781,734,868,510
17:49:40.115455,66869,293,586,601,578,780,736,868,511
17:49:40.118200,66879,291,586,601,577,780,736,869,512
17:49:40.118200,66889,289,585,600,577,780,737,869,513
17:49:40.122089,66899,287,586,600,577,779,738,870,514
17:49:40.124116,66909,286,586,600,576,779,739,870,515
17:49:40.188363,66919,284,585,600,577,779,741,871,517
17:49:40.194414,66929,284,585,600,576,779,741,871,518
17:49:40.196372,66939,283,586,600,577,779,742,872,521
17:49:40.198915,66949,282,586,601,576,779,743,873,522
17:49:40.200802,66959,281,586,603,577,780,743,874,524
17:49:40.262575,66969,280,586,602,576,780,744,874,525
17:49:40.265260,66979,280,586,602,577,780,745,873,526
17:49:40.267257,66989,279,586,602,577,780,745,874,527
17:49:40.268557,66999,279,586,603,577,781,746,874,528
17:49:40.273447,67009,279,587,603,578,780,745,874,529
17:49:40.275801,67019,279,587,604,578,781,746,874,530
17:49:40.278992,67030,280,587,604,579,782,746,873,529
17:49:40.284485,67039,280,588,605,580,781,746,873,529
17:49:40.289309,67049,282,588,606,581,782,746,872,529
17:49:40.294540,67059,283,589,606,582,783,746,873,528
17:49:40.358696,67069,285,589,607,582,783,746,872,528
17:49:40.362071,67079,287,590,608,583,783,746,872,528
17:49:40.365580,67089,289,590,608,584,784,745,872,528
17:49:40.371540,67099,290,590,608,584,784,746,872,528
17:49:40.377441,67109,291,591,609,584,784,746,873,529
17:49:40.410278,67119,293,591,610,585,784,746,872,530
17:49:40.416739,67129,294,592,610,585,784,746,873,531
17:49:40.419273,67139,296,593,611,586,787,748,873,531
17:49:40.428714,67149,296,592,610,586,787,748,874,532
17:49:40.432129,67159,296,592,611,585,785,747,873,532
17:49:40.502459,67169,296,592,610,585,786,748,873,533
17:49:40.510181,67179,297,593,611,585,785,748,874,533
17:49:40.514964,67189,297,592,611,585,785,748,874,534
17:49:40.517155,67200,297,593,611,585,785,749,876,534
17:49:40.518194,67209,298,593,611,586,785,751,876,535
17:49:40.520302,67219,298,593,612,586,786,749,875,536
17:49:40.522430,67229,298,593,612,586,785,749,876,536
17:49:40.524351,67239,299,594,612,586,786,750,876,536
17:49:40.525382,67249,300,595,613,586,786,750,876,536
17:49:40.528643,67259,301,596,615,588,788,752,877,536
17:49:40.531650,67269,302,596,615,587,787,751,876,537
17:49:40.533707,67279,303,597,615,587,787,750,874,537
17:49:40.534715,67289,304,599,616,587,787,750,875,537
17:49:40.537266,67299,305,599,617,587,788,750,876,537
17:49:40.539291,67309,306,600,618,588,788,749,873,536
17:49:40.557413,67319,307,601,618,589,789,749,872,536
17:49:40.561690,67329,310,603,619,590,790,748,872,535
17:49:40.566166,67339,311,604,620,589,790,747,870,533
17:49:40.572395,67349,314,606,622,591,792,747,871,533
17:49:40.577110,67359,316,606,622,591,791,745,869,530
17:49:40.619352,67369,319,608,623,591,793,743,867,528
17:49:40.621376,67379,322,609,625,591,793,742,867,525
17:49:40.623459,67389,324,610,626,592,794,740,865,522
