Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
18:32:24.609611,153339,349,634,530,643,832,767,876,537
18:32:24.612666,153349,348,633,530,642,832,766,875,537
18:32:24.615090,153359,349,634,531,642,832,767,876,538
18:32:24.615090,153369,349,634,530,642,832,767,876,539
18:32:24.675479,153379,350,635,531,643,832,768,877,539
18:32:24.680825,153389,351,634,532,642,832,767,876,539
18:32:24.683573,153399,353,635,532,643,832,768,876,540
18:32:24.688419,153409,353,635,534,643,833,767,876,540
18:32:24.692729,153419,354,635,534,643,833,767,876,541
18:32:24.763627,153430,355,636,536,643,832,768,876,541
18:32:24.763627,153439,356,637,538,644,832,768,876,542
18:32:24.775756,153449,357,637,539,644,833,768,876,541
18:32:24.781221,153459,358,638,540,644,833,769,876,542
18:32:24.782259,153469,361,639,540,645,833,769,876,542
18:32:24.784992,153479,362,640,541,645,834,769,876,542
18:32:24.791609,153489,365,641,542,645,834,769,877,542
18:32:24.796709,153499,368,643,544,646,834,769,876,542
18:32:24.801518,153509,370,644,544,646,834,769,876,541
18:32:24.805206,153519,373,644,545,646,834,768,875,541
18:32:24.807221,153529,375,646,546,646,835,768,875,541
18:32:24.811449,153539,377,647,548,648,836,767,875,541
18:32:24.813441,153549,380,649,549,648,836,768,875,540
18:32:24.815180,153559,383,649,550,648,836,767,874,540
18:32:24.817025,153569,385,651,551,649,837,767,874,539
18:32:24.877167,153579,387,652,552,649,838,768,874,538
18:32:24.880321,153589,390,654,553,650,838,766,874,538
18:32:24.882665,153600,392,656,553,650,838,766,873,536
18:32:24.888097,153609,393,659,554,650,838,766,873,536
18:32:24.894363,153619,395,658,554,651,839,766,872,536
18:32:24.899835,153629,397,660,554,652,839,766,872,535
18:32:24.903616,153639,398,662,555,652,839,766,872,535
18:32:24.907046,153649,401,664,555,652,840,766,871,535
18:32:24.910694,153659,402,665,555,652,840,765,871,535
18:32:24.916423,153669,404,667,555,652,841,765,871,535
18:32:24.977987,153679,405,667,555,652,841,765,871,535
18:32:24.977987,153689,406,668,556,652,841,764,870,535
18:32:24.983387,153699,409,669,556,652,842,764,871,534
18:32:24.985844,153709,409,670,557,653,841,764,870,533
18:32:24.987983,153719,411,670,557,653,841,764,870,533
18:32:25.042180,153729,411,671,558,653,841,764,870,532
18:32:25.043459,153739,413,671,558,654,842,764,870,532
18:32:25.043459,153749,413,672,559,653,842,764,870,532
18:32:25.052816,153759,414,671,559,654,842,764,870,532
18:32:25.054344,153769,414,672,560,654,843,764,870,532
18:32:25.058870,153779,415,672,560,654,842,764,870,531
18:32:25.061540,153789,416,672,560,655,842,764,870,531
18:32:25.063916,153799,416,672,560,654,842,764,869,532
18:32:25.064579,153809,417,673,559,654,842,765,871,532
18:32:25.064579,153819,417,673,559,656,843,763,869,531
18:32:25.095435,153829,418,673,560,654,842,764,869,531
18:32:25.105643,153839,419,674,559,654,842,764,869,530
18:32:25.107791,153849,420,674,559,654,842,764,869,530
18:32:25.111005,153859,420,674,560,654,843,764,869,530
18:32:25.113633,153869,421,674,560,654,842,764,870,530
18:32:25.153905,153879,422,675,560,655,842,764,869,530
18:32:25.157396,153889,422,675,560,655,843,763,870,530
18:32:25.159796,153900,423,675,561,654,843,764,869,529
18:32:25.162161,153909,423,674,560,655,842,764,870,530
18:32:25.163664,153919,423,675,561,655,843,763,869,530
18:32:25.209902,153929,424,674,560,655,842,764,870,530
18:32:25.213501,153939,424,675,560,654,842,764,869,531
18:32:25.216350,153949,424,674,560,654,843,764,872,532
18:32:25.219645,153959,423,674,561,654,842,764,870,532
18:32:25.222543,153969,423,674,560,654,841,764,871,532
18:32:25.259923,153979,423,673,560,654,842,765,871,532
18:32:25.262139,153989,423,673,560,654,843,764,870,532
18:32:25.264704,153999,423,675,561,655,843,766,871,532
18:32:25.268833,154009,422,673,559,653,841,764,870,532
18:32:25.278609,154019,422,673,558,653,841,764,871,532
18:32:25.303607,154029,422,673,558,653,842,766,872,533
18:32:25.309843,154039,422,673,558,653,842,764,871,533
18:32:25.313629,154049,422,673,557,653,841,765,871,533
18:32:25.315980,154059,422,673,557,653,842,764,871,534
18:32:25.318233,154070,422,673,557,653,841,764,870,533
18:32:25.373171,154099,422,673,557,653,841,765,871,534
18:32:25.376201,154109,422,673,557,653,842,765,871,534
18:32:25.379643,154119,422,673,557,654,841,764,870,534
18:32:25.381680,154129,422,673,557,653,842,765,870,534
