Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:49:21.908764,269059,59,613,660,758,840,830,882,577
16:49:21.911101,269069,59,613,660,758,840,831,882,578
16:49:21.913703,269079,59,613,660,758,840,830,882,578
16:49:21.913703,269089,59,614,660,758,840,830,882,578
16:49:21.921985,269100,59,614,660,759,841,830,882,579
16:49:21.926043,269109,59,614,660,758,840,830,882,579
16:49:21.930391,269119,59,614,660,758,841,832,883,579
16:49:21.933689,269129,59,614,660,758,840,830,882,580
16:49:21.938328,269139,58,614,660,758,840,830,882,580
16:49:21.943155,269149,58,614,660,758,840,830,882,580
16:49:22.007717,269159,58,615,660,759,841,830,882,580
16:49:22.011420,269169,58,615,660,759,840,830,882,581
16:49:22.012417,269179,58,615,660,758,840,830,882,581
16:49:22.015757,269189,59,615,660,758,841,830,882,581
16:49:22.017791,269199,59,616,660,759,841,830,883,581
16:49:22.019772,269209,59,616,660,759,841,830,883,581
16:49:22.022926,269219,60,616,660,759,840,830,883,581
16:49:22.029043,269229,60,616,660,759,841,831,883,581
16:49:22.033585,269239,60,616,660,759,841,831,885,582
16:49:22.035618,269249,60,617,660,759,840,830,882,581
16:49:22.091164,269259,60,617,661,759,841,831,882,581
16:49:22.094792,269270,60,617,661,759,840,830,882,581
16:49:22.097120,269279,59,617,661,759,841,830,882,581
16:49:22.099925,269289,59,618,661,759,841,830,882,581
16:49:22.101910,269299,59,618,661,759,841,831,882,580
16:49:22.159630,269309,59,618,662,759,841,830,882,580
16:49:22.161687,269319,60,618,662,759,841,831,882,580
16:49:22.164718,269329,60,618,662,759,841,830,882,580
16:49:22.170718,269339,61,618,662,759,841,830,882,580
16:49:22.177936,269349,61,618,663,759,841,831,882,579
16:49:22.182990,269359,62,618,663,760,841,831,882,579
16:49:22.186462,269369,63,618,664,760,841,831,882,579
16:49:22.188491,269379,63,618,664,760,842,831,882,580
16:49:22.191105,269389,64,618,664,760,842,831,882,579
16:49:22.194487,269399,65,618,664,760,842,831,882,579
16:49:22.258107,269409,65,618,664,761,842,831,882,579
16:49:22.261956,269419,66,618,664,761,842,831,882,579
16:49:22.264396,269429,66,618,664,761,842,831,882,579
