Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
57549;175;302;196;355;247;602;805;264
57559;174;302;188;354;246;601;804;264
57569;174;302;181;352;246;601;804;263
57579;174;301;174;351;245;600;804;263
57589;174;300;168;349;245;599;804;263
57600;174;300;162;348;244;600;805;263
57609;174;301;158;347;245;600;806;264
57619;173;300;154;345;245;600;806;263
57629;173;300;152;344;244;600;806;263
57639;173;300;152;344;245;600;805;264
57649;173;300;152;344;245;601;805;264
57659;172;300;153;343;246;601;806;264
57669;172;300;155;343;246;601;805;265
57679;171;300;159;344;248;602;806;265
57689;171;301;163;343;248;602;805;265
57699;171;300;168;344;250;602;805;265
57709;171;300;173;344;251;601;804;266
57719;171;300;179;345;252;602;803;266
57729;171;301;185;345;254;602;803;266
57739;171;301;192;345;256;601;803;267
57749;171;301;198;346;258;602;803;267
57759;171;301;205;346;259;602;803;267
57769;171;302;211;346;260;603;803;268
57779;171;302;216;347;262;603;803;268
57789;171;302;221;347;264;604;803;268
57799;172;302;226;347;265;605;802;269
57809;172;303;230;348;267;605;803;269
57819;172;303;234;348;269;605;803;269
57829;172;303;238;348;270;606;803;269
57839;172;303;241;349;271;607;803;270
57849;173;303;245;349;273;607;803;270
57859;172;303;248;350;274;607;803;271
57869;172;303;251;351;275;608;803;271
57879;172;304;254;352;277;608;803;272
57889;172;304;258;353;278;608;803;272
57900;173;304;263;355;279;608;803;272
57909;173;304;267;356;281;608;803;272
57919;174;304;272;358;282;609;803;273
57929;173;305;276;358;283;609;802;274
57939;173;305;280;360;284;609;802;274
57949;173;305;284;360;285;609;802;275
57959;173;306;288;361;286;610;801;275
57969;173;306;292;362;287;610;801;275
57979;174;306;297;363;288;610;801;275
57989;174;307;302;364;289;610;801;275
57999;175;307;308;365;290;611;801;276
58009;176;307;313;365;290;611;800;276
58019;176;308;318;366;291;611;800;276
58029;177;309;322;366;292;611;800;276
58039;177;309;328;367;293;613;801;276
58049;178;309;332;367;293;612;799;277
58059;178;310;337;368;294;611;800;277
58070;178;311;340;369;294;612;799;277
58079;179;312;344;370;295;612;799;278
58089;179;312;348;370;296;612;800;278
58099;180;312;352;371;296;612;799;279
58109;180;314;356;372;297;612;799;280
58119;180;314;360;372;298;612;798;280
