Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:16:23.992804,333299,0,77,13,54,252,40,299,139
16:16:23.995041,333309,0,70,12,49,244,36,296,135
16:16:23.999172,333319,0,63,10,44,238,32,295,131
16:16:24.004825,333329,0,57,9,40,233,29,294,127
16:16:24.008291,333339,0,52,8,36,230,27,292,124
16:16:24.069696,333349,0,47,7,32,227,24,292,122
16:16:24.070817,333359,0,42,6,29,226,21,292,120
16:16:24.073344,333369,0,38,6,26,225,19,292,118
16:16:24.075355,333379,0,34,5,24,226,17,292,117
16:16:24.077373,333389,0,31,4,21,226,15,292,116
16:16:24.079385,333399,0,28,4,19,226,14,292,115
16:16:24.083922,333409,0,25,3,17,226,12,293,114
16:16:24.086708,333419,0,22,3,15,226,12,294,114
16:16:24.088733,333429,0,20,2,14,227,10,293,113
16:16:24.089797,333440,0,18,2,12,228,9,294,112
16:16:24.129900,333449,0,16,1,11,229,8,295,112
16:16:24.134693,333459,0,15,1,10,229,7,295,112
16:16:24.136754,333469,0,13,0,9,230,6,295,111
16:16:24.138841,333479,0,12,0,8,231,5,295,111
16:16:24.139862,333489,0,11,0,7,232,5,296,111
16:16:24.217667,333499,0,11,0,6,234,4,296,111
16:16:24.220860,333509,0,10,0,5,235,4,296,110
16:16:24.224511,333519,0,8,0,5,236,3,296,111
16:16:24.227564,333529,0,8,0,4,237,3,295,110
16:16:24.234501,333539,0,8,0,3,238,2,293,109
16:16:24.237899,333549,0,6,0,3,239,2,291,108
16:16:24.238949,333559,0,6,0,2,239,2,288,107
16:16:24.241014,333569,0,5,0,2,240,1,286,105
16:16:24.242533,333579,0,4,0,1,240,1,283,104
16:16:24.244699,333589,0,3,0,1,240,1,280,103
16:16:24.271340,333599,0,3,0,1,240,1,277,102
16:16:24.272388,333609,0,3,0,0,240,0,275,102
16:16:24.274562,333619,0,2,0,0,240,0,273,101
16:16:24.276694,333629,0,2,0,0,239,0,271,100
16:16:24.277742,333639,0,1,0,0,238,0,269,99
16:16:24.328647,333649,0,1,0,0,236,0,267,98
16:16:24.332414,333659,0,1,0,0,234,0,269,100
16:16:24.336604,333669,0,1,0,0,229,0,281,110
16:16:24.341036,333679,0,1,0,0,222,3,305,128
16:16:24.346086,333689,0,0,0,0,216,8,331,148
16:16:24.353522,333699,0,0,0,1,212,13,355,164
16:16:24.407807,333709,0,0,0,1,209,16,373,178
16:16:24.410283,333719,0,0,0,0,207,17,383,185
16:16:24.411290,333729,0,0,0,0,205,17,389,190
16:16:24.413766,333740,0,0,0,0,204,17,393,193
16:16:24.418293,333749,0,0,0,0,201,18,398,198
16:16:24.472620,333759,0,0,0,0,199,19,404,204
16:16:24.485170,333769,0,0,0,0,198,22,410,211
16:16:24.489565,333779,0,0,0,0,198,25,415,219
16:16:24.493904,333789,0,0,0,0,199,29,420,227
16:16:24.502591,333799,0,0,0,0,200,32,423,234
16:16:24.506951,333809,0,0,0,0,201,36,425,239
16:16:24.507957,333819,0,0,0,0,203,40,427,245
16:16:24.509994,333829,0,0,0,0,205,44,428,249
16:16:24.511020,333839,0,2,0,0,209,47,429,253
16:16:24.518008,333849,0,6,1,0,214,51,429,257
16:16:24.585000,333859,0,11,2,0,220,54,429,260
16:16:24.588347,333869,0,15,3,0,227,56,429,262
16:16:24.591390,333879,0,21,4,0,231,57,427,264
16:16:24.601688,333889,0,26,5,0,236,58,426,265
16:16:24.605206,333899,0,32,5,0,241,58,425,265
16:16:24.609234,333910,0,37,5,0,245,58,424,265
16:16:24.617267,333919,0,41,6,0,249,58,423,266
16:16:24.621408,333929,0,45,5,0,253,58,424,268
16:16:24.623520,333939,0,49,5,0,257,58,425,270
16:16:24.625553,333949,0,52,5,0,260,58,427,272
16:16:24.681616,333959,0,55,4,0,262,59,428,274
16:16:24.687110,333969,0,58,3,0,263,58,430,275
16:16:24.691133,333979,0,61,3,0,264,58,431,276
16:16:24.692641,333989,0,63,2,0,265,58,433,276
16:16:24.694999,333999,0,66,2,0,265,59,434,276
16:16:24.699264,334009,0,68,2,0,266,59,434,277
16:16:24.702347,334019,0,70,1,0,267,60,435,277
16:16:24.704768,334029,0,72,1,0,268,60,435,277
16:16:24.705780,334039,0,74,1,0,270,60,435,275
16:16:24.707806,334049,0,76,0,0,271,58,434,271
16:16:24.772454,334059,0,78,0,0,273,56,431,267
16:16:24.777882,334069,0,81,0,0,274,52,428,262
16:16:24.779891,334080,0,84,0,0,276,49,423,256
16:16:24.784958,334089,0,88,0,0,278,46,417,251
16:16:24.787023,334099,0,92,0,0,281,42,411,243
16:16:24.789052,334109,0,95,0,0,282,38,403,235
16:16:24.790064,334119,0,99,0,0,283,34,391,225
16:16:24.791102,334129,0,101,0,0,284,31,379,214
16:16:24.793638,334139,0,101,0,0,284,28,366,203
