Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
14:23:09.018369,127479,132,22,577,70,107,608,828,533
14:23:09.018369,127489,120,21,552,63,96,575,805,501
14:23:09.023223,127499,110,19,524,57,87,537,778,468
14:23:09.029552,127509,100,18,493,51,79,498,748,435
14:23:09.033641,127519,91,17,464,46,72,458,719,403
14:23:09.074741,127529,83,16,440,42,65,418,691,375
14:23:09.077291,127539,77,15,420,38,59,380,663,349
14:23:09.082693,127549,70,14,401,34,53,343,639,323
14:23:09.088430,127559,64,13,386,31,48,310,619,302
14:23:09.096213,127569,59,12,372,28,43,280,602,283
14:23:09.133696,127579,54,12,362,25,39,253,588,267
14:23:09.136398,127589,50,11,354,23,36,229,576,253
14:23:09.138443,127599,46,11,348,20,32,207,567,242
14:23:09.141677,127609,42,10,344,18,29,187,559,231
14:23:09.144117,127619,39,9,341,17,26,169,553,223
14:23:09.187635,127629,36,9,338,15,24,153,550,215
14:23:09.192259,127639,34,9,336,13,22,138,547,208
14:23:09.197654,127649,32,8,334,12,19,125,545,202
14:23:09.200780,127660,29,8,332,11,18,113,545,197
14:23:09.205185,127669,27,8,332,10,16,102,546,193
14:23:09.229838,127679,26,8,332,9,14,93,547,190
14:23:09.232986,127689,24,7,332,8,13,84,549,188
14:23:09.238154,127699,22,7,331,7,12,76,550,187
14:23:09.243704,127709,21,7,332,6,10,69,552,187
14:23:09.247260,127719,20,7,330,5,9,62,554,185
14:23:09.266141,127729,19,6,329,5,8,56,556,186
14:23:09.266141,127739,18,6,329,4,7,51,559,186
14:23:09.271513,127749,17,6,330,4,6,46,561,186
14:23:09.274850,127759,16,6,330,4,5,42,563,186
14:23:09.277439,127769,16,6,330,3,5,38,566,187
14:23:09.346369,127779,15,6,333,2,5,34,568,187
14:23:09.351078,127789,14,6,339,2,4,31,572,186
14:23:09.357575,127799,14,6,348,2,4,28,572,184
14:23:09.363946,127809,13,5,359,1,3,26,574,182
14:23:09.370281,127819,13,5,373,1,3,23,576,180
14:23:09.381299,127830,13,5,388,1,2,21,578,180
14:23:09.383421,127839,15,5,404,1,2,19,580,181
14:23:09.384764,127849,19,5,421,0,2,17,581,182
14:23:09.387307,127859,25,5,435,0,2,16,583,182
14:23:09.389486,127869,33,5,448,0,1,14,584,183
14:23:09.393548,127879,42,5,459,0,1,13,586,184
14:23:09.435327,127889,53,5,467,0,1,12,588,185
14:23:09.436871,127899,63,5,474,0,1,11,590,185
14:23:09.440319,127909,71,5,480,0,0,9,591,186
14:23:09.443416,127919,79,5,484,0,0,9,592,186
14:23:09.446235,127929,89,5,488,0,0,8,593,186
14:23:09.488600,127939,102,5,492,0,0,7,593,188
14:23:09.492898,127949,118,4,496,0,0,6,594,189
14:23:09.497215,127959,143,4,501,0,0,7,595,190
14:23:09.500918,127969,176,4,508,0,0,5,595,191
14:23:09.505416,127979,220,4,517,0,0,4,595,192
14:23:09.541291,127989,274,4,530,0,0,4,593,190
14:23:09.543291,128000,342,4,547,0,0,4,591,188
14:23:09.547153,128009,417,5,572,0,0,3,588,183
