Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:37:37.462727,147699,0,0,0,3,1,1,1,0
16:37:37.467338,147749,0,0,0,0,0,0,0,0
16:37:37.470628,147759,0,0,1,0,0,1,1,0
16:37:37.472957,147769,0,0,0,0,0,0,0,0
16:37:37.474996,147779,0,0,0,0,2,1,1,2
16:37:37.477562,147789,0,0,0,0,1,1,0,4
16:37:37.479581,147799,0,0,0,0,1,1,1,2
16:37:37.481602,147809,0,0,0,0,1,1,1,4
16:37:37.484612,147819,0,0,0,0,0,0,0,0
16:37:37.488780,147829,0,0,0,0,0,0,0,0
16:37:37.490914,147840,0,0,0,0,2,0,1,4
16:37:37.492973,147849,0,0,0,0,2,1,1,4
16:37:37.495012,147859,0,0,0,0,0,0,0,0
16:37:37.497033,147869,0,0,0,0,0,0,0,0
16:37:37.499209,147879,0,0,0,0,0,0,0,0
16:37:37.502229,147889,0,0,0,0,0,0,0,0
16:37:37.505379,147899,0,0,0,0,0,0,0,0
16:37:37.507406,147909,0,0,0,0,0,0,0,0
16:37:37.509436,147919,0,0,0,0,0,0,0,0
16:37:37.511473,147929,0,0,0,0,0,0,0,0
16:37:37.514192,147939,0,0,0,0,0,0,0,0
16:37:37.516337,147949,0,0,0,0,0,0,0,0
16:37:37.519370,147959,0,0,0,0,0,0,0,0
16:37:37.521468,147969,0,0,0,0,0,0,0,0
16:37:37.524991,147979,0,0,0,0,0,0,0,0
16:37:37.527591,147989,0,0,0,0,0,0,0,0
16:37:37.529600,147999,0,0,0,0,0,0,0,0
16:37:37.531776,148009,0,0,0,0,0,0,0,0
16:37:37.534312,148019,0,0,0,0,0,0,0,0
16:37:37.537319,148029,0,0,0,0,0,0,0,0
16:37:37.539332,148039,0,0,0,0,0,0,0,0
16:37:37.541342,148049,0,0,0,0,0,0,0,0
16:37:37.543351,148059,0,0,0,0,0,0,0,0
16:37:37.545387,148069,0,0,0,0,0,0,0,0
16:37:37.547968,148079,0,0,0,0,0,0,0,0
16:37:37.550113,148089,0,0,0,0,0,0,0,0
16:37:37.554271,148099,0,0,0,0,0,0,0,0
16:37:37.556517,148109,0,0,0,0,0,0,0,0
16:37:37.559532,148119,0,0,0,0,0,0,0,0
16:37:37.561562,148129,0,0,0,0,0,0,0,0
16:37:37.564296,148140,0,0,0,0,0,0,0,0
16:37:37.566294,148149,0,0,0,0,0,0,0,0
16:37:37.570559,148159,0,0,0,0,0,0,0,0
16:37:37.572589,148169,0,0,0,0,0,0,0,0
16:37:37.575825,148179,0,0,0,0,0,0,0,0
16:37:37.577834,148189,0,0,0,0,0,0,0,0
16:37:37.580047,148199,0,0,0,0,0,0,0,0
16:37:37.582194,148209,0,0,0,0,0,0,0,0
16:37:37.586750,148219,0,0,0,0,0,0,0,0
16:37:37.589180,148229,0,0,0,0,0,0,0,0
16:37:37.591414,148239,0,0,0,0,0,0,0,0
16:37:37.594438,148249,0,0,0,0,0,0,0,0
16:37:37.596654,148259,0,0,0,0,0,0,0,0
16:37:37.598850,148269,0,0,0,0,0,0,0,0
16:37:37.601889,148279,0,0,0,0,0,0,0,0
16:37:37.605449,148289,0,0,0,0,0,0,0,0
16:37:37.607414,148299,0,0,0,0,0,0,0,0
16:37:37.609424,148310,0,0,0,0,0,0,0,0
16:37:37.611437,148319,0,0,0,0,0,0,0,0
16:37:37.614248,148329,2,0,0,0,0,4,1,1
16:37:37.616794,148339,2,0,0,0,0,4,1,1
16:37:37.619823,148349,0,0,0,0,0,0,0,0
16:37:37.623030,148359,0,0,0,0,0,0,0,0
16:37:37.625050,148369,0,0,0,0,0,0,0,0
16:37:37.627051,148379,0,0,0,0,0,0,0,0
16:37:37.629712,148389,0,0,0,0,0,0,0,0
16:37:37.631924,148399,0,0,0,0,0,0,0,0
16:37:37.634987,148409,0,0,0,0,0,0,0,0
16:37:37.637925,148419,0,0,0,0,0,0,0,0
16:37:37.640940,148429,0,0,0,0,0,0,0,0
16:37:37.642977,148439,0,0,0,0,0,0,0,0
16:37:37.644995,148449,0,0,0,0,0,0,0,0
16:37:37.647016,148459,0,0,0,0,0,0,0,0
16:37:37.650200,148469,0,0,0,0,0,0,0,0
16:37:37.653448,148480,0,0,0,0,0,0,0,0
16:37:37.655944,148489,0,0,0,0,0,0,0,0
16:37:37.659203,148499,0,0,0,0,0,0,0,0
16:37:37.661232,148509,0,0,0,0,0,0,0,0
16:37:37.664278,148519,0,0,0,0,0,0,0,0
16:37:37.667317,148529,0,0,0,0,0,0,0,0
16:37:37.670681,148539,0,0,0,0,0,0,0,0
16:37:37.672712,148549,0,0,0,0,0,0,0,0
16:37:37.675332,148559,0,0,0,0,0,0,0,0
16:37:37.677335,148569,0,0,0,0,0,0,0,0
16:37:37.679558,148579,0,0,0,0,0,0,0,0
16:37:37.682603,148589,0,0,0,0,0,0,0,0
16:37:37.685238,148599,0,0,0,0,0,0,0,0
16:37:37.688041,148609,0,0,0,0,0,0,0,0
16:37:37.690180,148619,0,0,0,0,0,0,0,0
16:37:37.692211,148629,0,0,0,0,0,0,0,0
16:37:37.695512,148639,0,0,0,0,0,0,0,0
16:37:37.697491,148649,0,0,0,0,0,0,0,0
16:37:37.699602,148659,0,0,0,0,0,0,0,0
16:37:37.703032,148669,0,0,0,0,0,0,0,0
16:37:37.706074,148679,0,0,0,0,0,0,0,0
16:37:37.708082,148689,0,0,0,0,0,0,0,0
16:37:37.711290,148699,0,0,0,0,0,0,0,0
16:37:37.713300,148709,0,0,0,0,0,0,0,0
16:37:37.715473,148719,0,0,0,0,0,0,0,0
16:37:37.718683,148729,0,0,0,0,0,0,0,0
16:37:37.721703,148739,0,0,0,0,0,0,0,0
16:37:37.722706,148749,0,0,0,0,0,0,0,0
16:37:37.726269,148759,0,0,0,0,0,0,0,0
16:37:37.728279,148769,0,0,0,0,0,0,0,0
16:37:37.730309,148780,0,0,0,0,0,0,0,0
16:37:37.732534,148789,0,0,0,0,0,0,0,0
16:37:37.736747,148799,0,0,0,0,0,0,0,0
16:37:37.738789,148809,0,0,0,0,0,0,0,0
16:37:37.740825,148819,0,4,0,0,0,0,0,0
16:37:37.742839,148829,0,0,0,0,0,0,0,0
16:37:37.745370,148839,1,1,1,1,0,0,0,0
16:37:37.747673,148849,0,3,0,0,0,0,0,0
16:37:37.750791,148859,0,3,0,0,0,0,0,0
16:37:37.754391,148869,1,1,1,1,1,2,0,0
16:37:37.756333,148879,0,1,0,0,0,0,0,0
16:37:37.758410,148889,0,1,0,0,0,0,3,1
16:37:37.761423,148899,0,1,0,0,0,0,3,1
16:37:37.763546,148909,0,0,0,0,0,0,2,1
16:37:37.766087,148919,0,1,0,0,0,0,3,1
16:37:37.769268,148929,0,1,0,0,0,0,3,1
16:37:37.772316,148939,0,1,0,0,0,0,0,0
16:37:37.774322,148950,0,1,0,0,0,0,0,0
16:37:37.776318,148959,1,1,1,1,1,4,0,0
16:37:37.778363,148969,0,1,0,0,0,0,0,0
16:37:37.780656,148979,0,2,0,0,0,0,0,0
16:37:37.782803,148989,0,2,0,0,0,0,0,1
16:37:37.786504,148999,0,0,0,0,0,0,0,1
16:37:37.789070,149009,0,2,0,0,0,0,0,2
16:37:37.792085,149019,0,2,0,0,0,0,0,2
16:37:37.793090,149029,0,3,0,0,0,0,0,1
16:37:37.796664,149039,0,0,0,0,0,0,0,1
16:37:37.798687,149049,0,0,0,0,0,0,0,0
16:37:37.801720,149059,0,0,1,0,0,0,0,0
16:37:37.804239,149069,0,4,0,0,0,0,0,0
16:37:37.807452,149079,0,4,1,0,0,0,0,2
16:37:37.809482,149089,0,0,0,0,0,0,0,2
16:37:37.811729,149099,0,0,0,0,0,0,0,2
16:37:37.814255,149109,0,6,0,1,0,0,0,2
16:37:37.816803,149120,0,0,0,0,0,0,0,2
16:37:37.820098,149129,1,1,1,1,1,1,0,0
16:37:37.823298,149139,0,5,1,0,0,0,0,0
16:37:37.825404,149149,1,1,1,1,1,1,0,0
16:37:37.827389,149159,1,1,1,1,1,1,0,0
16:37:37.829871,149169,0,5,4,0,0,0,0,0
16:37:37.832886,149179,0,5,2,0,0,0,0,5
16:37:37.835406,149189,0,5,0,0,0,0,0,5
16:37:37.838235,149199,1,1,1,1,1,1,0,0
16:37:37.840265,149209,1,1,1,1,1,1,0,0
16:37:37.843557,149219,0,0,0,0,0,0,0,6
16:37:37.845090,149229,0,0,4,0,0,0,0,0
16:37:37.847664,149239,0,0,4,0,0,0,0,0
16:37:37.849840,149249,1,1,1,1,1,1,1,0
16:37:37.852964,149259,0,0,3,0,0,0,0,0
16:37:37.856031,149269,1,1,1,1,1,1,2,0
16:37:37.858084,149279,1,1,1,1,1,1,2,0
16:37:37.860313,149289,0,0,3,0,0,0,0,0
16:37:37.862348,149299,0,0,1,0,0,0,0,3
16:37:37.865371,149309,0,0,1,0,0,0,0,3
