Hora;Tiempo;Derecha_S1;Derecha_S2;Derecha_S3;Derecha_S4;Derecha_S5;Derecha_S6;Derecha_S7;Derecha_S8
17:09:28.468302;32619;0;0;0;0;0;0;7;1
17:09:28.469160;32619;1;0;0;1;0;0;2;0
17:09:28.472815;32679;0;3;0;0;0;0;3;1
17:09:28.475924;32689;0;0;0;0;0;0;0;0
17:09:28.479033;32699;1;0;0;0;0;0;0;0
17:09:28.481079;32709;1;0;0;0;0;1;1;1
17:09:28.483106;32719;0;0;0;0;0;0;0;0
17:09:28.484142;32729;0;0;0;0;0;0;0;0
17:09:28.487688;32739;0;1;0;0;0;0;2;1
17:09:28.489758;32749;0;1;0;0;0;0;2;1
17:09:28.490788;32759;0;0;0;0;0;0;2;1
17:09:28.495135;32769;0;1;0;0;0;0;1;1
17:09:28.497188;32779;0;2;2;0;0;0;0;1
17:09:28.499262;32789;0;2;0;0;0;0;0;1
17:09:28.500274;32799;0;2;0;0;0;0;0;1
17:09:28.503336;32809;0;2;2;0;0;0;0;0
17:09:28.505363;32819;0;2;0;0;0;0;0;0
17:09:28.507549;32829;0;2;0;0;0;0;0;0
17:09:28.510494;32839;0;3;0;0;0;0;0;0
17:09:28.513027;32849;0;3;0;0;0;0;0;0
17:09:28.515163;32859;0;3;3;0;0;0;0;0
17:09:28.516191;32869;0;3;0;0;0;0;0;0
17:09:28.519217;32879;0;4;0;0;0;0;0;0
17:09:28.521279;32889;0;4;3;0;0;0;0;0
17:09:28.522806;32899;0;4;0;0;0;0;0;0
17:09:28.524869;32909;0;5;0;0;0;0;0;0
17:09:28.528540;32919;0;5;1;0;0;0;0;0
17:09:28.529857;32929;0;0;0;0;0;0;0;0
17:09:28.532430;32940;0;0;0;0;0;0;0;0
17:09:28.533962;32949;0;0;0;0;0;0;0;0
17:09:28.536502;32959;0;0;0;0;0;0;0;0
17:09:28.538556;32969;0;5;0;0;0;0;0;0
17:09:28.540621;32979;0;0;0;0;0;0;0;0
17:09:28.543035;32989;0;0;0;0;0;0;0;0
17:09:28.545593;32999;0;0;0;0;0;0;0;0
17:09:28.547739;33009;0;0;0;0;0;0;0;0
17:09:28.549797;33019;0;4;0;0;0;0;0;0
17:09:28.552445;33029;0;0;0;0;0;0;0;0
17:09:28.555168;33039;0;0;0;0;0;0;0;0
17:09:28.557211;33049;0;0;0;0;0;0;0;0
17:09:28.560128;33059;0;0;0;0;0;0;0;0
17:09:28.563210;33069;0;0;0;0;0;0;0;0
17:09:28.565264;33079;0;0;0;0;0;0;0;0
17:09:28.568150;33089;0;0;0;0;0;0;0;0
17:09:28.570195;33099;0;0;0;0;0;0;0;0
17:09:28.572208;33110;0;0;0;0;0;0;0;0
17:09:28.574412;33119;0;0;0;0;0;0;0;0
17:09:28.577919;33129;0;0;0;0;0;0;0;0
17:09:28.581011;33139;0;0;0;0;0;0;0;0
17:09:28.583007;33149;0;0;0;0;0;0;0;0
17:09:28.585052;33159;0;0;0;0;0;0;0;0
17:09:28.587106;33169;0;0;1;0;0;0;0;0
17:09:28.588138;33179;0;0;0;0;0;0;0;0
17:09:28.591107;33189;0;0;0;0;0;0;0;0
17:09:28.594369;33199;0;0;0;0;0;0;0;0
17:09:28.596453;33209;0;0;0;0;0;0;0;0
17:09:28.598965;33219;0;0;1;0;0;0;0;0
17:09:28.601013;33229;0;0;0;0;0;0;0;0
17:09:28.603076;33239;0;0;0;0;0;0;0;0
17:09:28.604700;33249;0;0;0;0;0;0;0;0
17:09:28.607255;33259;0;0;0;0;0;0;0;0
17:09:28.610496;33269;0;0;3;0;0;0;0;0
17:09:28.613170;33280;0;0;0;0;0;0;0;0
17:09:28.615477;33289;0;0;0;0;0;0;0;0
17:09:28.617521;33299;0;0;0;0;0;0;0;0
17:09:28.618533;33309;0;0;0;0;0;0;0;0
17:09:28.621608;33319;2;0;4;3;0;0;0;0
17:09:28.623151;33329;0;0;0;0;0;0;0;0
17:09:28.626151;33339;0;0;0;0;0;0;0;0
17:09:28.629175;33349;0;0;0;0;0;0;0;0
17:09:28.631221;33359;0;0;0;0;0;0;0;0
17:09:28.632740;33369;4;0;6;1;0;0;0;0
