Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:37:38.530373,16509,0,0,0,0,0,0,0,0
16:37:38.532467,16519,0,0,0,0,0,0,0,0
16:37:38.534990,16529,0,0,0,0,0,0,0,0
16:37:38.537516,16539,0,0,0,0,0,0,0,0
16:37:38.540615,16549,0,0,0,0,0,0,0,0
16:37:38.625496,16559,0,0,0,0,0,0,0,0
16:37:38.627578,16569,0,0,0,0,0,0,0,0
16:37:38.628619,16579,0,0,0,0,0,0,0,0
16:37:38.630637,16589,0,0,0,0,0,0,0,0
16:37:38.631764,16599,0,0,0,0,0,0,0,0
16:37:38.636963,16609,0,0,0,0,0,0,0,0
16:37:38.641177,16619,0,0,0,0,0,0,0,0
16:37:38.644212,16629,0,0,0,0,0,0,0,0
16:37:38.646306,16640,0,0,0,0,0,0,0,0
16:37:38.653692,16649,0,0,0,0,0,0,0,0
16:37:38.656215,16659,0,0,0,0,0,0,0,0
16:37:38.671818,16669,0,0,0,0,0,0,0,0
16:37:38.672829,16679,0,0,0,0,0,0,0,0
16:37:38.675352,16689,0,0,0,0,0,0,0,0
16:37:38.676860,16699,0,0,0,0,0,0,0,0
16:37:38.678207,16709,0,0,0,0,0,0,0,0
16:37:38.713333,16719,0,0,0,0,0,0,0,0
16:37:38.718123,16729,0,0,0,0,0,0,0,0
16:37:38.722371,16739,0,0,0,0,0,0,0,0
16:37:38.725442,16749,0,0,0,0,0,0,0,0
16:37:38.726457,16759,0,0,0,0,0,0,0,0
16:37:38.756479,16769,0,0,0,0,0,0,0,0
16:37:38.758658,16779,0,0,0,0,0,0,0,0
16:37:38.759667,16789,0,0,0,0,0,0,0,0
16:37:38.761456,16799,0,0,0,0,0,0,0,0
16:37:38.762584,16809,0,0,0,0,0,0,0,0
16:37:38.824458,16819,0,0,0,0,0,0,0,0
16:37:38.827162,16829,0,0,0,0,0,0,0,0
16:37:38.828246,16839,0,0,0,0,0,0,0,0
16:37:38.829323,16849,0,0,0,0,0,0,0,0
16:37:38.830385,16859,0,0,0,0,0,0,0,0
16:37:38.862285,16869,0,0,0,0,0,0,0,0
16:37:38.864295,16879,0,0,0,0,0,0,0,0
16:37:38.866675,16889,0,0,0,0,0,0,0,0
16:37:38.867690,16899,0,0,0,0,0,0,0,0
16:37:38.870219,16909,0,0,0,0,0,0,0,0
16:37:38.905124,16919,0,0,0,0,0,0,0,0
16:37:38.907311,16929,0,0,0,0,0,0,0,0
16:37:38.908377,16940,0,0,0,0,0,0,0,0
16:37:38.910456,16949,0,0,0,0,0,0,0,0
16:37:38.915236,16959,0,0,0,0,0,0,0,0
16:37:38.966081,16969,0,0,0,0,0,0,0,0
16:37:38.969538,16979,0,0,0,0,0,0,0,0
16:37:38.971542,16989,0,0,0,0,0,0,0,0
16:37:38.972633,16999,0,0,0,0,0,0,0,0
16:37:38.974440,17009,0,0,0,0,0,0,0,0
16:37:39.022944,17019,0,0,0,0,0,0,0,0
16:37:39.024695,17029,0,0,0,0,0,0,0,0
16:37:39.026260,17039,0,0,0,0,0,0,0,0
16:37:39.027286,17049,0,0,0,0,0,0,0,0
16:37:39.029312,17059,0,0,0,0,0,0,0,0
16:37:39.104481,17069,0,0,0,0,0,0,0,0
16:37:39.106479,17079,0,0,0,0,0,0,0,0
16:37:39.108548,17089,0,0,0,0,0,0,0,0
16:37:39.110782,17099,0,0,0,0,0,0,0,0
16:37:39.112795,17110,0,0,0,0,0,0,0,0
16:37:39.133484,17119,0,0,0,0,0,0,0,0
16:37:39.138491,17129,0,0,0,0,0,0,0,0
16:37:39.141556,17139,0,0,0,0,0,0,0,0
16:37:39.142598,17149,0,0,0,0,0,0,0,0
16:37:39.144130,17159,0,0,0,0,0,0,0,0
16:37:39.188027,17169,0,0,0,0,0,0,0,0
16:37:39.189597,17179,0,0,0,0,0,0,0,0
16:37:39.192697,17189,0,0,0,0,0,0,0,0
16:37:39.196456,17199,0,0,0,0,0,0,0,0
16:37:39.199778,17209,0,0,0,0,0,0,0,0
16:37:39.241704,17219,0,0,0,0,0,0,0,0
16:37:39.242771,17229,0,0,0,0,0,0,0,0
16:37:39.245385,17239,0,0,0,0,0,0,0,0
16:37:39.246504,17249,0,0,0,0,0,0,0,0
16:37:39.247560,17259,0,0,0,0,0,0,0,0
16:37:39.312990,17269,0,0,0,0,0,0,0,0
16:37:39.315120,17280,0,0,0,0,0,0,0,0
16:37:39.316944,17289,0,0,0,0,0,0,0,0
16:37:39.320039,17299,0,0,0,0,0,0,0,0
16:37:39.322090,17309,0,0,0,0,0,0,0,0
16:37:39.323096,17319,0,0,0,0,0,0,0,0
16:37:39.326151,17329,0,0,0,0,0,0,0,0
16:37:39.328374,17339,0,0,0,0,0,0,0,0
16:37:39.329445,17349,0,0,0,0,0,0,0,0
16:37:39.331486,17359,0,0,0,0,0,0,0,0
16:37:39.370024,17369,0,0,0,0,0,0,0,0
16:37:39.372145,17379,0,0,0,0,0,0,0,0
16:37:39.374148,17389,0,0,0,0,0,0,0,0
16:37:39.375306,17399,0,0,0,0,0,0,0,0
16:37:39.377647,17409,0,0,0,0,0,0,0,0
16:37:39.379735,17419,0,0,0,0,0,0,0,0
16:37:39.419446,17429,0,0,0,0,0,0,0,0
16:37:39.424251,17439,0,0,0,0,0,0,0,0
16:37:39.427735,17449,0,0,0,0,0,0,0,0
16:37:39.430776,17459,0,0,0,0,0,0,0,0
16:37:39.435826,17469,0,0,0,0,0,0,0,0
16:37:39.484576,17479,0,0,0,0,0,0,0,0
16:37:39.488175,17489,0,0,0,0,0,0,0,0
16:37:39.489231,17499,0,0,0,0,0,0,0,0
16:37:39.491666,17509,0,0,0,0,0,0,0,0
16:37:39.492738,17519,0,0,0,0,0,0,0,0
16:37:39.526176,17529,0,0,0,0,0,0,0,0
16:37:39.528266,17539,0,0,0,0,0,0,0,0
16:37:39.530310,17549,0,0,0,0,0,0,0,0
16:37:39.531324,17559,0,0,0,0,0,0,0,0
16:37:39.533455,17569,0,0,0,0,0,0,0,0
16:37:39.569748,17580,0,0,0,0,0,0,0,0
16:37:39.574511,17589,0,0,0,0,0,0,0,0
16:37:39.578143,17599,0,0,0,0,0,0,0,0
16:37:39.581257,17609,0,0,0,0,0,0,0,0
16:37:39.583503,17619,0,0,0,0,0,0,0,0
16:37:39.615506,17629,0,0,0,0,0,0,0,0
16:37:39.616948,17639,0,0,0,0,0,0,0,0
16:37:39.619987,17649,0,0,0,0,0,0,0,0
16:37:39.622043,17659,0,0,0,0,0,0,0,0
16:37:39.623058,17669,0,0,0,0,0,0,0,0
16:37:39.669502,17679,0,0,0,0,0,0,0,0
16:37:39.672572,17689,0,0,0,0,0,0,0,0
16:37:39.675098,17699,0,0,0,0,0,0,0,0
16:37:39.677884,17709,0,0,0,0,0,0,0,0
16:37:39.680128,17719,0,0,0,0,0,0,0,0
16:37:39.769928,17729,0,0,0,0,0,0,0,0
16:37:39.772095,17739,0,0,0,0,0,0,0,0
16:37:39.775539,17750,0,0,0,0,0,0,0,0
16:37:39.779749,17759,0,0,0,0,0,0,0,0
16:37:39.785364,17769,0,0,0,0,0,0,0,0
16:37:39.789629,17779,0,0,0,0,0,0,0,0
16:37:39.792763,17789,0,0,0,0,0,0,0,0
16:37:39.795845,17799,0,0,0,0,0,0,0,0
16:37:39.797873,17809,0,0,0,0,0,0,0,0
16:37:39.799032,17819,0,0,0,0,0,0,0,0
16:37:39.847702,17829,0,0,0,0,0,0,0,0
16:37:39.853251,17839,0,0,0,0,0,0,0,0
16:37:39.855298,17849,0,0,0,0,0,0,0,0
16:37:39.858379,17859,0,0,0,0,0,0,0,0
16:37:39.861443,17869,0,0,0,0,0,0,0,0
16:37:39.884513,17879,0,0,0,0,0,0,0,0
16:37:39.887081,17889,0,0,0,0,0,0,0,0
