Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
17:36:17.163872,236219,0,0,0,0,0,0,0,0
17:36:17.166009,236229,0,0,0,0,0,0,0,0
17:36:17.168154,236239,0,0,0,0,0,0,0,0
17:36:17.168154,236249,0,0,0,0,0,0,0,0
17:36:17.172869,236259,0,0,0,0,0,0,0,0
17:36:17.176029,236269,0,0,0,0,0,0,0,0
17:36:17.208069,236279,0,0,0,0,0,0,0,0
17:36:17.213755,236289,0,0,0,0,0,0,0,0
17:36:17.217403,236299,0,0,0,0,0,0,0,0
17:36:17.219415,236309,0,0,0,0,0,0,0,0
17:36:17.220443,236319,0,0,0,0,0,0,0,0
17:36:17.285079,236329,0,0,0,0,0,0,0,0
17:36:17.287390,236339,0,0,0,0,0,0,0,0
17:36:17.293525,236349,0,0,0,0,0,0,0,0
17:36:17.298352,236359,0,0,0,0,0,0,0,0
17:36:17.302244,236369,0,0,0,0,0,0,0,0
17:36:17.359428,236379,0,0,0,0,0,0,0,0
17:36:17.362158,236389,0,0,0,0,0,0,0,0
17:36:17.365428,236399,0,0,0,0,0,0,0,0
17:36:17.368158,236409,0,0,0,0,0,0,0,0
17:36:17.368158,236419,0,0,0,0,0,0,0,0
17:36:17.374613,236429,0,0,0,0,0,0,0,0
17:36:17.376900,236439,0,0,0,0,0,0,0,0
17:36:17.379473,236449,0,0,0,0,0,0,0,0
17:36:17.383075,236460,0,0,0,0,0,0,0,0
17:36:17.385624,236469,0,0,0,0,0,0,0,0
17:36:17.446313,236479,0,0,0,0,0,0,0,0
17:36:17.455316,236489,0,0,0,0,0,0,0,0
17:36:17.457437,236499,0,0,0,0,0,0,0,0
17:36:17.460185,236509,0,0,0,0,0,0,0,0
17:36:17.463270,236519,0,0,0,0,0,0,0,0
17:36:17.476914,236529,0,0,0,0,0,0,0,0
17:36:17.482223,236539,0,0,0,0,0,0,0,0
17:36:17.486215,236549,0,0,0,0,0,0,0,0
17:36:17.487233,236559,0,0,0,0,0,0,0,0
17:36:17.487233,236569,0,0,0,0,0,0,0,0
17:36:17.491646,236579,0,0,0,0,0,0,0,0
17:36:17.531783,236589,0,0,0,0,0,0,0,0
17:36:17.536166,236599,0,0,0,0,0,0,0,0
17:36:17.536166,236609,0,0,0,0,0,0,0,0
17:36:17.536166,236619,0,0,0,0,0,0,0,0
17:36:17.536166,236630,0,0,0,0,0,0,0,0
17:36:17.575154,236639,0,0,0,0,0,0,0,0
17:36:17.578621,236649,0,0,0,0,0,0,0,0
17:36:17.582225,236659,0,0,0,0,0,0,0,0
17:36:17.584262,236669,0,0,0,0,0,0,0,0
17:36:17.586343,236679,0,0,0,0,0,0,0,0
17:36:17.612224,236689,0,0,0,0,0,0,0,0
17:36:17.616025,236699,0,0,0,0,0,0,0,0
17:36:17.616025,236709,0,0,0,0,0,0,0,0
17:36:17.624447,236719,0,0,0,0,0,0,0,0
17:36:17.629033,236729,0,0,0,0,0,0,0,0
17:36:17.687947,236739,0,0,0,0,0,0,0,0
