Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:52:35.322799,482369,180,330,526,448,376,391,878,647
16:52:35.326802,482379,180,328,526,448,376,391,877,647
16:52:35.330666,482390,180,327,526,448,377,390,877,646
16:52:35.333767,482399,179,326,525,448,377,391,877,646
16:52:35.337055,482409,179,325,525,446,375,390,879,648
16:52:35.340419,482419,179,323,524,446,375,390,879,648
16:52:35.343265,482429,178,321,524,446,373,390,880,649
16:52:35.345109,482439,178,318,523,448,376,391,877,646
16:52:35.348640,482449,177,315,523,448,376,391,880,646
16:52:35.352353,482459,176,313,523,448,376,391,880,646
16:52:35.356792,482469,176,311,522,447,376,392,880,646
16:52:35.358700,482479,175,308,521,447,375,393,880,647
16:52:35.361235,482489,174,305,519,447,375,393,880,647
16:52:35.363699,482499,174,304,521,446,375,394,880,647
16:52:35.366596,482509,174,302,520,447,375,395,880,647
16:52:35.371185,482519,174,299,520,447,375,396,880,647
16:52:35.373273,482529,172,296,519,447,374,397,880,648
16:52:35.373273,482539,172,294,518,446,374,397,880,648
16:52:35.379292,482549,171,293,518,446,374,397,880,648
16:52:35.382464,482560,171,291,517,446,374,398,880,648
16:52:35.385290,482569,170,289,517,446,374,398,882,648
16:52:35.388147,482579,169,288,516,447,373,398,882,648
16:52:35.391150,482589,169,287,516,447,373,398,882,647
16:52:35.393679,482599,167,285,515,441,371,396,881,652
16:52:35.396174,482609,168,286,517,442,373,398,883,654
16:52:35.399943,482619,168,286,516,442,372,398,881,654
16:52:35.404020,482629,168,286,516,442,372,398,882,654
16:52:35.407958,482639,168,287,516,444,374,399,882,648
16:52:35.410038,482649,169,288,517,442,374,399,884,655
16:52:35.413425,482659,169,289,517,442,373,399,882,655
16:52:35.414490,482669,169,290,517,442,373,399,881,654
16:52:35.419086,482679,170,291,517,442,374,399,882,653
16:52:35.421326,482689,171,292,517,446,375,399,882,647
16:52:35.424673,482699,171,293,517,443,374,398,881,653
16:52:35.426861,482709,172,294,518,443,374,398,881,654
16:52:35.430248,482719,172,295,518,443,375,398,881,653
16:52:35.432381,482729,173,296,519,443,374,398,881,653
16:52:35.435233,482739,173,298,519,447,376,398,881,651
16:52:35.435233,482749,173,299,519,444,375,396,881,652
16:52:35.439110,482759,174,300,520,444,375,396,881,653
16:52:35.441765,482769,174,300,520,445,375,396,881,652
16:52:35.442832,482779,174,301,520,445,376,397,881,652
16:52:35.444193,482789,175,302,520,445,377,397,881,652
16:52:35.447844,482799,175,303,520,445,376,396,881,652
16:52:35.448916,482809,175,304,520,446,376,396,881,653
16:52:35.451666,482819,174,304,521,446,376,396,881,652
16:52:35.454360,482829,175,304,520,446,376,397,881,652
16:52:35.455861,482839,175,304,521,446,378,397,881,652
16:52:35.458337,482849,175,304,521,446,376,396,881,652
16:52:35.458337,482860,175,304,521,446,377,396,881,653
16:52:35.462642,482869,175,304,521,446,377,396,881,652
16:52:35.465333,482879,174,304,521,446,377,396,881,653
16:52:35.470694,482889,175,303,521,446,379,397,881,652
16:52:35.471847,482899,174,302,519,445,376,394,880,652
16:52:35.474641,482909,174,303,520,446,376,395,881,653
