Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
13:32:07.785038,452259,78,0,557,290,243,40,904,0
13:32:07.785038,452310,49,0,547,287,239,422,904,0
13:32:07.785038,452319,43,1,545,287,236,426,908,0
13:32:07.785038,452329,37,1,542,286,234,429,908,0
13:32:07.785038,452339,34,1,540,284,232,435,904,0
13:32:07.806903,452349,31,0,537,283,231,439,906,2
13:32:07.806903,452359,26,0,533,282,226,442,907,0
13:32:07.817828,452369,21,2,530,282,225,444,912,1
13:32:07.823472,452379,17,1,528,281,224,446,912,0
13:32:07.824476,452389,17,0,523,280,219,449,908,0
13:32:07.837574,452399,15,0,521,277,217,450,908,0
13:32:07.842623,452409,12,0,518,276,215,451,908,0
13:32:07.842623,452419,11,0,515,274,213,452,908,0
13:32:07.850016,452429,10,0,513,272,209,453,909,0
13:32:07.853044,452439,8,0,510,272,206,453,909,0
13:32:07.856125,452449,8,0,509,270,204,452,910,0
13:32:07.861850,452459,9,0,508,268,201,451,909,0
13:32:07.865636,452469,8,0,506,268,198,447,909,0
13:32:07.868364,452480,10,0,506,267,195,443,908,0
13:32:07.871922,452489,12,0,506,265,192,438,908,0
13:32:07.876033,452499,16,0,505,264,189,431,908,0
13:32:07.885387,452509,18,0,506,264,186,424,907,0
13:32:07.890600,452519,22,0,506,263,184,416,907,0
13:32:07.893625,452529,27,0,507,262,182,409,907,0
13:32:07.896012,452539,31,0,508,262,179,404,906,0
13:32:07.899440,452549,37,0,509,261,177,398,906,0
13:32:07.905184,452559,43,0,510,260,176,393,906,0
13:32:07.914621,452569,48,0,511,261,174,388,905,0
13:32:07.918227,452579,53,0,512,261,173,383,905,0
13:32:07.920399,452589,57,0,513,261,173,380,905,0
13:32:07.925385,452599,61,0,514,262,173,376,904,0
13:32:07.928880,452609,64,0,514,262,172,373,904,0
13:32:07.950062,452619,67,0,515,264,172,371,904,0
13:32:07.956129,452629,69,0,516,264,173,369,904,0
13:32:07.958272,452639,71,0,516,264,173,368,905,0
13:32:07.963601,452649,71,0,517,264,173,367,904,0
13:32:07.966087,452659,70,0,516,265,173,367,903,0
13:32:07.971442,452669,69,0,517,265,173,366,903,0
13:32:07.975103,452679,68,0,516,266,174,366,903,0
13:32:07.981023,452689,65,0,517,266,174,365,903,0
13:32:07.983424,452699,64,0,516,265,174,365,903,0
13:32:07.985284,452709,60,0,516,266,174,364,902,0
13:32:07.990885,452719,59,0,516,265,175,363,902,0
13:32:07.995210,452729,57,0,516,265,175,362,902,0
13:32:08.000054,452739,55,0,516,265,175,360,902,0
13:32:08.003496,452749,55,0,515,264,175,359,901,0
13:32:08.007347,452759,53,0,516,265,176,358,901,0
13:32:08.011966,452769,54,0,516,264,176,357,901,0
13:32:08.016690,452780,55,0,516,265,176,356,901,0
13:32:08.021298,452789,55,0,516,265,176,354,901,0
13:32:08.024659,452799,55,0,516,266,177,353,901,0
13:32:08.029595,452809,56,0,517,266,179,352,900,0
13:32:08.030598,452819,57,0,517,267,180,352,901,0
13:32:08.040619,452829,58,0,518,267,181,352,901,0
13:32:08.044729,452839,59,0,518,267,182,351,901,0
13:32:08.048983,452849,60,0,519,268,183,352,901,0
13:32:08.051924,452859,62,0,520,270,184,352,901,0
13:32:08.057419,452869,62,0,521,269,185,352,901,0
13:32:08.068341,452879,64,0,522,270,185,353,901,0
13:32:08.073055,452889,64,0,524,272,188,356,900,3
13:32:08.076878,452899,66,0,521,271,187,355,901,0
13:32:08.080102,452909,66,0,522,271,188,356,902,0
13:32:08.083372,452919,66,0,522,272,188,358,902,0
13:32:08.088891,452929,67,0,522,272,188,359,902,0
13:32:08.096768,452939,67,0,522,272,189,360,903,0
13:32:08.101065,452950,67,0,522,272,189,360,902,0
