Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:43:35.720545,788029,2,79,242,109,22,566,885,310
16:43:35.732816,788039,2,81,244,109,23,568,887,311
16:43:35.744978,788049,2,81,244,109,23,568,887,312
16:43:35.756590,788059,3,82,247,108,24,567,884,312
16:43:35.761539,788069,3,83,246,108,24,568,886,314
16:43:35.781725,788079,2,84,248,108,24,568,886,314
16:43:35.805497,788089,3,85,248,108,25,569,889,314
16:43:35.811450,788099,3,85,248,107,24,569,886,316
16:43:35.813322,788109,1,84,244,108,21,567,887,317
16:43:35.826778,788119,1,85,244,107,21,568,888,318
16:43:35.826778,788129,1,86,244,106,21,568,888,318
16:43:35.835327,788140,1,86,244,106,21,568,888,318
16:43:35.835327,788149,2,87,244,106,20,568,887,318
16:43:35.835327,788159,1,88,244,106,20,568,888,317
16:43:35.844624,788169,1,88,244,106,21,568,888,317
16:43:35.852265,788179,2,89,244,105,21,569,888,316
16:43:35.852265,788189,1,88,244,105,21,569,888,315
16:43:35.852265,788199,2,87,244,105,22,569,888,315
16:43:35.860567,788209,1,86,244,105,22,569,888,315
16:43:35.865774,788219,2,85,244,105,22,569,888,315
16:43:35.868736,788229,2,84,244,105,22,569,889,315
16:43:35.868736,788239,1,83,245,105,23,569,889,314
16:43:35.874467,788249,1,83,245,106,23,569,889,314
16:43:35.876813,788259,1,82,245,106,23,569,889,313
16:43:35.876813,788269,2,82,245,106,23,569,890,313
16:43:35.885068,788279,1,81,246,106,23,569,889,314
16:43:35.889930,788289,1,82,246,106,23,569,889,315
16:43:35.893199,788299,2,82,247,107,23,569,889,315
16:43:35.893199,788310,1,83,247,107,23,569,889,316
16:43:35.901445,788319,1,84,247,107,23,569,889,316
16:43:35.905294,788329,2,85,248,108,23,569,889,316
16:43:35.905294,788339,2,85,248,108,23,569,888,317
16:43:35.909542,788349,2,86,249,108,22,569,888,317
