Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
16:18:25.274717,864839,2,162,28,136,244,0,488,153
16:18:25.279041,864849,2,163,27,133,245,0,490,154
16:18:25.281193,864859,1,165,27,133,247,0,490,154
16:18:25.291905,864869,3,166,26,132,247,0,491,154
16:18:25.296459,864879,3,164,24,132,249,0,487,152
16:18:25.298457,864889,3,167,24,133,251,0,484,152
16:18:25.300457,864899,3,168,24,135,252,0,480,148
16:18:25.302457,864909,3,170,24,136,254,0,475,145
16:18:25.318319,864919,4,170,23,138,256,0,469,143
16:18:25.320545,864929,4,171,21,140,258,0,462,139
16:18:25.322640,864940,4,170,24,142,260,0,458,137
16:18:25.323649,864949,5,170,23,143,261,0,457,136
16:18:25.328201,864959,5,169,21,143,261,0,455,136
16:18:25.330445,864969,6,168,24,144,260,0,453,136
16:18:25.342553,864979,6,168,24,145,260,0,452,136
16:18:25.346163,864989,6,168,24,146,259,0,453,138
16:18:25.348223,864999,6,168,24,148,259,0,452,140
16:18:25.350275,865009,6,168,24,149,259,0,450,141
16:18:25.352607,865019,0,165,24,150,258,0,451,142
16:18:25.368592,865029,0,165,24,150,258,0,450,143
16:18:25.370702,865039,0,165,24,150,258,0,449,144
16:18:25.372766,865049,0,163,24,149,258,0,447,143
16:18:25.377747,865059,0,162,24,148,258,0,441,142
16:18:25.381861,865069,0,162,25,148,258,0,436,140
16:18:25.384479,865079,0,159,25,149,258,0,430,139
16:18:25.438724,865089,0,157,26,150,259,0,425,136
16:18:25.440884,865099,0,157,26,152,260,0,415,132
16:18:25.446566,865110,0,155,26,154,262,0,404,126
16:18:25.447760,865119,0,155,26,156,264,0,392,120
16:18:25.449800,865129,0,155,27,159,267,0,379,114
16:18:25.451842,865139,0,154,28,161,269,0,360,107
16:18:25.453357,865149,0,154,29,164,272,0,338,102
16:18:25.456674,865159,0,153,29,168,273,0,320,96
16:18:25.460068,865169,0,152,31,170,274,0,302,90
16:18:25.467168,865179,0,150,32,173,274,0,282,85
16:18:25.469238,865189,0,148,33,176,274,0,260,78
16:18:25.471311,865199,0,145,33,178,272,0,240,73
16:18:25.472330,865209,0,142,34,181,270,0,224,67
16:18:25.476165,865219,0,139,34,183,267,0,206,63
16:18:25.480630,865229,0,138,34,186,265,0,187,59
16:18:25.481659,865239,0,137,34,188,263,0,167,57
16:18:25.483743,865249,0,136,32,190,262,0,153,55
16:18:25.486983,865259,0,136,30,191,260,0,141,53
16:18:25.489031,865269,0,137,28,193,258,0,132,51
16:18:25.490034,865280,0,137,26,193,257,0,127,49
16:18:25.497105,865289,0,137,24,195,256,0,123,48
16:18:25.515109,865299,0,138,22,195,254,0,121,47
16:18:25.517326,865309,0,138,21,195,254,0,119,46
16:18:25.519358,865319,0,137,20,194,254,0,118,46
16:18:25.521359,865329,0,137,20,194,254,0,118,45
16:18:25.522359,865339,0,137,19,195,254,0,117,45
16:18:25.525898,865349,0,136,19,196,253,0,118,45
16:18:25.529985,865359,0,136,18,197,252,0,122,45
16:18:25.531984,865369,0,135,18,198,252,0,126,45
16:18:25.534578,865379,0,134,17,200,251,0,127,45
16:18:25.536614,865389,0,134,18,201,251,0,128,46
16:18:25.538651,865399,0,132,18,202,250,0,130,48
16:18:25.545223,865409,0,133,18,204,250,0,130,50
16:18:25.547226,865419,0,132,19,205,250,0,132,51
16:18:25.549226,865429,0,132,19,205,249,0,135,52
16:18:25.551226,865439,0,132,19,206,248,0,140,54
16:18:25.552226,865449,0,131,20,206,248,0,144,55
16:18:25.554771,865459,0,130,20,207,248,0,148,56
16:18:25.568009,865469,0,129,20,207,248,0,156,57
16:18:25.568009,865479,0,128,21,208,248,0,163,58
16:18:25.572255,865489,0,126,21,208,247,0,173,59
16:18:25.574339,865499,0,125,21,208,246,0,183,60
16:18:25.581951,865509,0,123,21,207,246,0,196,61
16:18:25.595344,865519,0,122,22,206,245,0,211,62
16:18:25.597736,865529,0,121,22,204,244,0,222,64
16:18:25.599930,865539,0,120,23,204,243,0,233,66
16:18:25.600932,865549,0,118,24,203,242,0,242,69
16:18:25.602083,865559,0,117,24,202,241,0,249,71
16:18:25.604603,865569,0,116,25,201,241,0,257,73
16:18:25.628972,865580,0,114,25,200,240,0,265,76
16:18:25.631002,865589,0,113,26,199,240,0,271,78
16:18:25.632013,865599,0,112,26,198,239,0,274,80
16:18:25.633526,865609,0,110,27,198,238,0,276,81
16:18:25.636804,865619,0,109,27,198,237,0,278,82
16:18:25.645831,865629,0,108,28,198,237,0,284,83
16:18:25.648177,865639,0,106,28,198,237,0,288,84
16:18:25.650474,865649,0,105,28,198,236,0,291,85
16:18:25.652474,865659,0,105,29,198,236,0,293,86
16:18:25.653982,865669,0,104,29,198,235,0,296,88
16:18:25.655711,865679,0,103,31,199,235,0,300,89
16:18:25.663628,865689,0,102,31,199,235,0,303,89
16:18:25.665147,865699,0,102,32,200,236,0,306,88
16:18:25.667157,865709,0,101,33,200,236,0,312,89
16:18:25.669613,865719,0,100,35,200,236,0,317,89
16:18:25.670621,865729,0,100,35,201,236,0,321,90
16:18:25.688821,865739,0,100,36,201,237,0,325,92
16:18:25.691139,865750,0,99,37,202,237,0,328,92
16:18:25.699272,865759,0,99,38,203,238,0,330,93
16:18:25.701292,865769,0,99,39,204,238,0,332,94
16:18:25.703292,865779,0,99,40,204,239,0,333,94
16:18:25.704899,865789,0,99,40,205,239,0,333,96
