Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
18:05:11.157998,586929,1,95,138,130,56,243,617,0
18:05:11.157998,586939,1,95,138,129,57,244,617,0
18:05:11.157998,586949,0,95,138,128,56,244,617,0
18:05:11.157998,586959,1,92,138,127,54,243,618,0
18:05:11.179518,586969,3,96,140,128,48,242,618,0
18:05:11.179518,586979,0,96,138,126,54,243,617,0
18:05:11.179518,586989,0,96,139,126,54,244,617,0
18:05:11.179518,586999,0,96,139,125,54,244,618,0
18:05:11.193425,587009,0,96,139,125,54,244,618,0
18:05:11.196495,587019,0,97,139,124,53,244,618,0
18:05:11.198508,587029,0,97,139,124,53,244,618,0
18:05:11.208844,587039,0,97,139,124,54,244,618,0
18:05:11.212219,587049,0,97,139,124,53,244,619,0
18:05:11.215948,587059,0,97,139,124,53,244,619,0
18:05:11.216961,587069,0,98,139,124,53,244,619,0
18:05:11.232934,587079,0,97,140,124,53,244,620,0
18:05:11.238302,587089,0,98,140,124,54,244,620,0
18:05:11.240314,587099,0,98,140,124,53,244,620,0
18:05:11.243351,587109,0,98,140,125,53,244,620,0
18:05:11.248073,587119,0,98,140,125,53,244,620,0
18:05:11.251104,587129,0,98,140,125,53,244,620,0
18:05:11.253116,587139,0,98,140,125,53,244,620,0
18:05:11.258615,587149,0,98,140,125,53,244,620,0
18:05:11.263026,587159,0,98,140,125,53,244,620,0
18:05:11.265934,587169,0,98,140,125,53,244,620,0
18:05:11.270205,587180,0,98,140,125,53,244,620,0
18:05:11.280848,587189,0,98,141,125,53,244,620,0
18:05:11.283810,587199,0,98,141,126,53,244,620,0
18:05:11.286841,587209,0,98,141,126,53,244,620,0
18:05:11.288853,587219,0,98,141,126,52,244,620,0
18:05:11.293212,587229,0,99,141,126,53,244,620,0
18:05:11.298352,587239,0,98,141,126,53,244,620,0
18:05:11.307574,587249,0,99,141,126,52,244,620,0
18:05:11.309029,587259,0,98,141,125,52,244,621,0
18:05:11.315836,587269,0,99,141,125,52,244,621,0
18:05:11.317850,587279,0,99,142,125,52,244,620,0
18:05:11.319861,587289,0,99,142,125,52,244,620,0
18:05:11.327766,587299,0,99,142,125,52,244,621,0
18:05:11.334234,587309,0,100,142,125,52,244,621,0
18:05:11.337253,587319,0,100,142,125,52,244,621,0
18:05:11.340710,587329,0,100,142,124,52,244,621,0
18:05:11.343695,587339,0,100,142,124,51,244,621,0
18:05:11.352027,587350,0,100,142,125,52,244,621,0
18:05:11.352027,587359,0,100,142,125,52,244,621,0
18:05:11.357574,587369,0,100,142,125,52,244,622,0
18:05:11.361845,587379,0,100,142,125,52,244,621,0
18:05:11.363896,587389,0,100,142,125,52,244,622,0
18:05:11.366486,587399,0,100,142,125,52,244,622,0
18:05:11.375547,587409,0,100,142,125,52,244,622,0
18:05:11.378580,587419,0,100,142,125,53,244,621,0
18:05:11.382745,587429,0,100,142,125,52,244,621,0
18:05:11.385762,587439,0,101,142,125,52,243,621,0
18:05:11.386769,587449,0,100,142,125,52,243,621,0
18:05:11.395694,587459,0,100,142,125,52,243,621,0
18:05:11.409569,587469,0,100,142,124,52,243,621,0
18:05:11.412644,587479,0,101,142,123,52,243,621,0
18:05:11.418212,587489,0,100,142,122,51,242,621,0
18:05:11.420224,587499,0,101,141,121,51,241,621,0
18:05:11.424231,587509,0,100,141,119,50,241,621,0
18:05:11.428272,587520,0,100,140,117,48,239,620,0
18:05:11.430284,587529,0,101,139,115,46,238,617,0
18:05:11.433610,587539,0,101,138,112,44,236,614,0
18:05:11.438646,587549,0,101,136,109,41,233,610,0
18:05:11.442897,587559,0,101,133,104,37,231,605,0
18:05:11.460976,587569,0,101,131,100,34,227,600,0
18:05:11.464972,587579,0,101,129,96,32,223,596,0
18:05:11.464972,587589,0,101,127,92,29,220,592,0
18:05:11.473321,587599,0,100,125,88,27,216,589,0
18:05:11.477407,587609,0,100,124,85,26,213,586,0
18:05:11.492579,587619,0,101,122,82,24,210,583,0
18:05:11.505219,587629,0,101,122,80,23,207,581,0
18:05:11.508319,587639,0,101,122,79,23,204,579,0
18:05:11.510492,587649,0,102,121,79,22,200,576,0
18:05:11.513928,587659,0,102,122,78,22,196,571,0
18:05:11.515967,587669,0,102,122,78,21,193,567,0
18:05:11.518985,587679,0,102,123,78,21,190,562,0
18:05:11.522129,587689,0,102,124,78,21,186,557,0
18:05:11.526158,587699,0,103,126,79,21,183,550,0
18:05:11.529542,587709,0,103,128,80,22,179,543,0
18:05:11.532569,587719,0,103,129,81,22,175,535,0
18:05:11.534582,587729,0,103,131,82,22,172,527,0
18:05:11.537742,587739,0,103,133,83,23,168,520,0
18:05:11.539793,587749,0,103,134,83,24,165,514,0
18:05:11.543646,587759,0,103,136,84,24,162,509,0
18:05:11.546691,587769,0,104,137,85,24,159,507,0
18:05:11.548716,587779,0,104,138,85,24,156,503,0
18:05:11.550736,587789,0,104,139,86,25,153,495,0
