Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
12:54:22.075220,225920,1,1,7,0,0,2,656,290
12:54:22.081019,225929,1,0,4,0,0,0,665,295
12:54:22.092902,225939,0,0,4,0,0,0,668,299
12:54:22.097231,225949,1,1,7,0,0,4,671,303
12:54:22.100261,225959,1,1,7,0,0,0,675,306
12:54:22.103322,225969,1,1,9,0,0,3,675,309
12:54:22.106229,225979,0,0,7,0,0,0,677,312
12:54:22.109544,225989,0,1,11,0,0,0,676,314
12:54:22.115203,225999,1,1,11,0,0,1,671,316
12:54:22.117773,226009,0,0,10,0,0,0,670,317
12:54:22.121296,226019,0,0,11,0,0,0,668,318
12:54:22.123336,226029,0,0,12,0,0,0,668,319
12:54:22.128763,226039,0,0,13,0,0,0,669,320
12:54:22.132052,226049,0,0,15,0,0,0,673,322
12:54:22.135276,226059,0,0,17,0,0,0,676,323
12:54:22.138286,226069,0,3,21,0,0,0,679,325
12:54:22.140795,226079,0,7,25,0,0,0,682,326
12:54:22.145274,226089,0,11,29,0,0,0,683,326
12:54:22.148192,226099,0,16,34,0,0,0,683,327
12:54:22.151389,226109,0,20,37,0,0,0,683,328
12:54:22.154659,226119,0,24,41,0,0,0,683,327
12:54:22.156667,226129,0,29,44,0,0,0,684,328
12:54:22.160874,226139,0,32,46,0,0,0,685,330
12:54:22.164758,226149,0,35,48,0,0,0,689,331
12:54:22.165762,226159,0,38,50,0,0,0,695,333
12:54:22.170000,226169,0,41,51,0,0,0,699,334
12:54:22.173058,226179,0,43,53,0,0,0,701,336
12:54:22.175067,226189,0,45,55,0,0,0,702,337
12:54:22.181187,226199,0,45,59,0,0,0,703,338
12:54:22.184230,226209,0,46,62,0,0,0,704,337
12:54:22.186233,226220,0,46,64,0,0,0,703,338
12:54:22.189282,226229,0,46,66,0,0,0,700,338
12:54:22.193361,226239,0,46,68,0,0,0,695,338
12:54:22.196776,226249,0,46,71,0,0,0,689,338
12:54:22.197842,226259,0,46,74,0,0,0,677,337
12:54:22.203304,226269,0,48,79,0,0,0,669,335
12:54:22.206445,226279,0,49,85,0,0,0,663,333
12:54:22.208453,226289,0,52,90,0,0,0,656,330
12:54:22.213899,226299,0,54,95,0,1,0,648,328
12:54:22.217976,226309,0,56,99,0,3,0,642,322
12:54:22.220890,226319,0,57,104,0,5,0,632,316
12:54:22.224009,226329,0,59,108,0,6,0,620,309
12:54:22.226526,226339,0,62,111,0,8,0,612,301
12:54:22.230870,226349,0,65,113,0,9,0,604,294
12:54:22.234185,226359,0,68,116,0,11,0,595,288
12:54:22.237516,226369,0,69,118,0,12,0,586,283
12:54:22.239524,226379,0,71,119,0,12,0,579,279
12:54:22.242977,226390,0,72,120,0,13,0,573,273
12:54:22.246809,226399,0,74,120,0,14,0,563,268
12:54:22.248818,226409,0,75,120,0,15,0,548,261
12:54:22.252952,226419,0,76,121,0,15,0,534,253
12:54:22.256030,226429,0,77,122,0,15,0,524,245
12:54:22.258044,226439,0,78,122,0,14,0,515,239
12:54:22.263555,226449,0,79,121,0,13,0,509,234
12:54:22.266666,226459,1,80,121,0,12,0,507,231
12:54:22.269429,226469,4,80,121,0,12,0,508,231
12:54:22.273033,226479,7,80,121,0,11,0,514,232
12:54:22.275042,226489,11,81,123,0,10,0,522,234
12:54:22.280244,226499,14,82,125,0,10,0,526,238
12:54:22.283804,226509,17,84,126,0,10,0,529,240
12:54:22.287214,226519,20,84,128,0,11,0,529,243
12:54:22.290240,226529,22,83,129,0,12,0,528,245
12:54:22.293186,226539,23,81,129,0,13,0,526,246
12:54:22.298055,226549,25,77,129,0,14,0,523,247
12:54:22.301407,226560,28,72,131,0,16,0,521,249
12:54:22.303687,226569,30,67,131,0,17,0,518,250
12:54:22.307239,226579,32,63,132,0,18,0,514,249
12:54:22.311799,226589,34,60,130,0,19,0,505,247
12:54:22.315015,226599,35,55,130,0,20,0,497,243
12:54:22.318189,226609,37,51,129,0,21,0,489,241
12:54:22.321974,226619,37,47,127,0,22,0,481,239
12:54:22.324208,226629,38,43,126,0,24,0,470,238
12:54:22.329170,226639,38,38,124,0,25,0,460,237
12:54:22.332449,226649,38,34,122,0,27,0,447,236
12:54:22.335068,226659,37,30,119,0,28,0,431,234
12:54:22.338072,226669,36,25,115,0,29,0,420,232
12:54:22.341061,226679,35,21,111,0,30,0,403,228
12:54:22.345751,226689,32,18,107,0,30,0,384,223
12:54:22.348954,226699,28,14,103,0,30,0,364,216
12:54:22.351459,226709,26,10,98,0,28,0,344,206
12:54:22.354763,226719,22,8,92,0,25,0,321,197
12:54:22.356773,226729,20,5,87,0,23,0,302,185
12:54:22.361781,226739,17,4,82,0,21,0,283,174
12:54:22.364903,226749,15,3,76,0,19,0,268,164
12:54:22.367965,226759,11,2,71,0,17,0,253,155
12:54:22.371776,226769,8,1,65,0,15,0,242,148
12:54:22.373821,226779,6,1,60,0,13,0,231,143
12:54:22.378446,226789,4,1,54,0,11,0,222,137
12:54:22.381514,226799,3,0,49,0,8,0,212,131
12:54:22.384407,226809,2,0,44,0,6,0,199,123
12:54:22.386690,226819,2,0,38,0,4,0,187,113
12:54:22.389724,226829,0,0,34,0,3,0,170,102
12:54:22.393035,226839,0,0,30,0,2,0,158,91
12:54:22.397064,226849,0,0,28,0,1,0,148,81
12:54:22.398143,226860,0,0,26,0,1,0,144,72
12:54:22.403033,226869,0,0,24,0,0,0,148,64
12:54:22.406379,226879,0,0,21,0,0,0,156,57
12:54:22.408387,226889,0,0,17,0,0,0,175,53
12:54:22.414074,226899,0,0,12,0,0,0,196,49
12:54:22.417091,226909,0,0,9,0,0,0,217,46
12:54:22.419751,226919,0,0,7,0,0,0,236,43
12:54:22.422813,226929,0,0,5,0,0,0,251,43
12:54:22.424821,226939,0,0,4,0,0,0,270,44
12:54:22.429535,226949,0,0,3,0,0,0,286,47
12:54:22.433195,226959,0,0,2,0,0,0,300,52
12:54:22.435916,226969,0,0,1,0,0,0,316,59
12:54:22.438938,226979,0,0,1,0,0,0,339,67
12:54:22.440943,226989,0,0,1,0,0,0,378,81
12:54:22.446524,226999,0,0,0,0,0,0,429,100
12:54:22.449033,227009,0,0,2,0,1,1,486,126
12:54:22.452254,227019,0,0,2,1,1,4,528,155
12:54:22.455286,227030,0,0,2,1,1,4,563,176
12:54:22.457455,227039,0,0,2,1,1,4,579,190
12:54:22.462157,227049,0,0,3,1,0,4,580,197
12:54:22.465160,227059,1,0,0,0,0,0,576,201
12:54:22.468944,227069,0,0,0,0,0,0,570,201
12:54:22.472054,227079,0,0,0,0,0,0,563,199
12:54:22.474207,227089,0,0,4,1,0,0,558,196
