Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:47:09.250781,136579,255,637,649,734,845,818,839,445
16:47:09.253769,136589,255,638,649,734,845,818,839,445
16:47:09.253769,136599,255,638,649,734,845,818,839,444
16:47:09.253769,136609,255,638,650,734,846,817,839,444
16:47:09.260293,136620,255,639,650,734,846,817,839,443
16:47:09.264402,136629,256,640,650,734,845,817,839,443
16:47:09.272461,136639,256,640,650,734,846,817,839,443
16:47:09.276533,136649,257,641,650,734,846,817,839,443
16:47:09.281804,136659,258,641,650,736,846,817,839,444
16:47:09.348482,136669,259,642,650,734,846,817,839,444
16:47:09.351191,136679,259,642,650,734,846,817,839,444
16:47:09.353697,136689,260,643,650,735,847,817,840,445
16:47:09.358847,136699,260,643,650,734,846,817,840,446
16:47:09.364406,136709,261,644,649,734,846,817,841,447
16:47:09.369225,136719,261,644,649,734,846,818,841,448
16:47:09.369225,136729,261,644,648,734,845,818,841,449
16:47:09.377324,136739,261,644,648,734,845,818,842,451
16:47:09.379693,136749,261,644,647,733,845,818,841,451
16:47:09.381990,136759,261,644,647,733,845,818,841,451
16:47:09.435550,136769,260,644,647,733,845,818,842,452
16:47:09.435550,136779,259,643,647,733,845,818,842,452
16:47:09.448089,136790,258,643,646,733,845,818,842,453
16:47:09.450474,136799,257,643,646,733,845,818,842,453
16:47:09.453260,136809,256,642,646,733,845,818,842,453
16:47:09.513909,136819,256,642,646,733,845,818,842,453
16:47:09.516441,136829,254,641,646,733,845,818,842,453
16:47:09.519837,136839,254,641,645,733,845,818,842,453
16:47:09.519837,136849,253,641,645,733,844,818,842,454
16:47:09.526659,136859,253,640,645,733,844,818,843,454
16:47:09.532150,136869,252,640,645,733,844,818,843,455
16:47:09.537174,136879,252,639,645,733,844,819,844,456
16:47:09.540532,136889,252,640,646,734,846,820,847,457
16:47:09.545491,136899,251,639,644,733,844,819,845,457
16:47:09.548857,136909,251,639,644,733,844,819,846,458
16:47:09.613587,136919,250,638,644,732,844,820,846,460
16:47:09.616614,136929,249,638,643,732,844,820,847,461
16:47:09.620096,136939,247,637,643,732,843,820,847,462
16:47:09.621162,136949,246,635,642,732,843,821,848,464
16:47:09.621162,136960,244,634,642,732,843,821,850,466
16:47:09.625440,136969,242,633,641,731,843,821,850,468
16:47:09.627487,136979,241,632,640,731,842,822,851,470
16:47:09.629507,136989,239,630,640,730,842,822,852,472
16:47:09.632979,136999,237,629,639,730,842,823,853,473
16:47:09.635565,137009,234,627,638,729,841,823,854,475
16:47:09.697265,137019,231,624,637,729,840,824,854,476
16:47:09.699788,137029,227,622,636,729,840,824,855,477
16:47:09.701795,137039,224,621,635,728,839,825,856,479
16:47:09.703937,137049,221,619,635,728,839,825,856,481
16:47:09.703937,137059,218,618,635,728,839,825,857,482
16:47:09.707686,137069,216,617,634,728,838,826,857,483
16:47:09.709954,137079,214,616,634,727,838,826,858,484
16:47:09.712223,137089,213,616,634,728,838,826,858,485
16:47:09.717058,137099,211,615,633,727,838,826,858,486
16:47:09.722664,137109,210,615,633,728,839,826,858,487
16:47:09.763303,137119,209,616,632,728,839,826,858,488
16:47:09.765717,137129,209,616,632,728,839,826,858,488
16:47:09.767716,137139,208,616,632,728,839,826,858,489
16:47:09.774131,137149,208,617,633,728,839,826,858,489
16:47:09.779150,137159,208,618,633,728,839,826,858,488
16:47:09.813191,137169,209,619,633,728,840,826,857,488
16:47:09.816488,137179,210,620,633,728,840,826,857,487
16:47:09.820728,137189,211,622,634,728,841,825,857,486
16:47:09.823565,137199,212,623,634,727,841,825,856,485
16:47:09.828787,137209,214,624,634,727,842,825,855,484
16:47:09.870246,137219,216,626,634,727,842,824,854,483
16:47:09.873353,137229,218,627,634,727,842,824,853,481
16:47:09.876792,137239,221,628,635,727,842,824,853,480
16:47:09.883827,137249,223,630,635,727,842,824,852,478
16:47:09.888083,137260,225,631,636,728,842,824,851,476
16:47:09.897160,137269,227,632,637,728,843,824,851,474
16:47:09.900168,137279,228,633,638,728,842,824,851,473
16:47:09.901494,137289,230,634,639,729,842,824,851,471
16:47:09.904011,137299,232,635,640,729,843,824,850,470
16:47:09.904011,137309,233,636,641,729,842,824,850,468
16:47:09.964289,137319,235,637,642,729,843,823,850,467
16:47:09.965007,137329,237,638,642,730,843,823,849,465
16:47:09.972879,137339,237,639,643,730,843,822,849,463
16:47:09.976912,137349,238,640,643,731,843,822,849,461
16:47:09.983931,137359,240,640,644,731,844,821,848,460
16:47:10.024637,137369,241,641,644,732,844,821,848,458
16:47:10.025634,137379,242,642,645,732,844,820,848,457
16:47:10.028597,137389,244,644,646,734,846,822,847,456
16:47:10.031694,137399,244,643,645,733,844,820,847,454
16:47:10.033959,137409,246,644,646,733,844,819,847,453
16:47:10.048471,137419,247,645,646,733,845,819,846,452
16:47:10.048471,137430,249,645,648,735,846,821,846,452
16:47:10.052837,137439,250,646,647,734,845,819,845,451
