Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:33:04.991542,82639,28,239,797,707,417,424,902,830
16:33:04.996057,82649,28,239,797,708,419,425,903,830
16:33:05.000504,82659,29,239,796,708,418,424,903,830
16:33:05.008115,82669,29,239,797,707,418,424,902,830
16:33:05.012806,82679,29,239,797,707,419,425,902,830
16:33:05.043809,82689,30,239,797,708,419,425,902,830
16:33:05.050918,82699,32,239,796,708,419,425,902,829
16:33:05.058003,82709,32,238,796,708,419,426,902,830
16:33:05.065032,82719,32,238,797,707,420,426,902,830
16:33:05.065966,82729,33,239,796,707,420,426,903,830
16:33:05.124342,82739,34,239,796,707,420,426,903,830
16:33:05.128093,82749,34,238,796,707,420,426,902,830
16:33:05.131578,82759,35,239,796,707,421,426,902,830
16:33:05.145424,82769,34,239,796,707,421,426,902,830
16:33:05.152525,82779,36,239,796,707,421,426,903,830
16:33:05.160969,82789,36,240,797,707,422,426,902,830
16:33:05.167659,82799,37,240,797,707,422,425,902,830
16:33:05.176350,82809,38,240,797,707,422,426,902,829
16:33:05.181120,82819,39,241,798,707,423,426,902,830
16:33:05.187067,82829,38,241,798,707,423,426,902,831
16:33:05.201759,82839,40,242,799,707,423,426,902,830
16:33:05.212951,82849,39,242,799,707,424,426,902,830
16:33:05.212951,82860,41,241,798,708,425,426,902,829
16:33:05.221985,82869,42,242,799,708,425,426,902,829
16:33:05.226001,82879,43,242,799,709,426,426,902,828
16:33:05.257055,82889,44,242,800,709,427,426,902,829
16:33:05.264873,82899,44,242,800,709,429,427,902,829
16:33:05.269988,82909,45,243,800,709,430,426,902,829
16:33:05.279599,82919,46,243,799,709,430,426,901,829
16:33:05.284782,82929,46,244,799,709,431,427,902,828
16:33:05.319437,82939,47,243,800,709,432,427,901,829
16:33:05.329755,82949,47,243,800,710,433,427,902,829
16:33:05.340469,82959,48,243,800,710,433,427,902,829
16:33:05.345210,82969,49,244,799,710,433,427,902,829
16:33:05.353663,82979,50,243,799,710,433,427,902,830
16:33:05.360721,82989,51,244,800,710,434,427,902,830
16:33:05.365260,82999,52,244,799,710,434,427,902,829
16:33:05.372883,83009,53,244,800,710,434,428,902,829
16:33:05.376700,83019,53,245,799,710,435,427,902,829
16:33:05.385116,83030,54,245,799,710,434,428,902,829
16:33:05.410218,83039,54,245,799,710,435,428,903,829
16:33:05.413360,83049,55,245,799,710,435,428,902,829
16:33:05.420379,83059,55,245,800,710,435,427,902,830
16:33:05.426846,83069,56,246,799,709,436,427,902,830
16:33:05.426846,83079,56,245,800,710,436,428,902,830
16:33:05.441695,83089,56,246,800,709,437,428,902,830
16:33:05.443425,83099,57,247,800,709,437,427,902,830
16:33:05.448498,83109,57,247,799,710,438,428,903,830
16:33:05.457432,83119,57,248,800,709,438,428,903,830
16:33:05.459957,83129,58,248,800,709,437,428,902,830
16:33:05.510250,83139,57,248,800,709,437,428,902,831
16:33:05.512420,83149,58,248,799,710,438,429,902,830
16:33:05.522940,83159,57,249,799,709,438,428,903,830
16:33:05.529965,83169,58,249,799,709,438,429,903,831
16:33:05.529965,83179,57,250,800,708,438,429,903,831
16:33:05.562862,83189,57,250,800,708,438,429,903,831
16:33:05.568105,83200,57,250,800,708,438,429,903,831
16:33:05.577720,83209,57,251,799,708,439,429,904,831
16:33:05.581204,83219,57,250,800,707,439,429,904,831
16:33:05.590778,83229,57,251,799,708,438,429,904,831
16:33:05.594460,83239,57,251,799,707,439,430,904,832
16:33:05.616994,83249,57,251,799,708,439,430,904,832
16:33:05.620175,83259,56,252,799,707,439,429,904,831
16:33:05.627899,83269,57,252,800,709,440,430,905,833
16:33:05.631319,83279,56,252,800,707,439,429,904,832
16:33:05.640300,83289,57,253,799,707,440,429,904,832
16:33:05.646457,83299,57,252,799,708,439,429,904,833
16:33:05.651707,83309,57,253,800,707,439,428,904,832
16:33:05.656484,83319,58,254,801,707,440,429,904,833
16:33:05.665170,83329,57,253,800,708,440,428,903,832
16:33:05.673013,83339,58,253,799,708,440,429,903,832
16:33:05.695390,83349,58,254,800,709,441,430,905,833
16:33:05.699584,83359,59,253,800,709,440,429,903,832
16:33:05.706921,83369,59,254,800,708,440,429,903,833
16:33:05.713423,83379,60,254,800,708,440,429,903,832
16:33:05.725028,83389,61,254,799,709,440,429,903,832
16:33:05.751705,83399,62,254,802,710,440,430,903,832
16:33:05.756300,83409,62,254,800,709,441,429,903,832
16:33:05.764869,83419,63,254,800,709,441,430,903,832
16:33:05.771314,83429,63,254,800,709,441,429,903,832
16:33:05.775995,83439,64,254,800,709,441,430,903,831
16:33:05.807190,83449,64,255,800,709,441,430,903,831
16:33:05.813518,83459,65,255,802,710,441,430,902,832
16:33:05.817839,83469,65,256,800,709,441,429,903,831
16:33:05.823842,83479,65,256,800,709,441,430,903,831
16:33:05.828395,83489,65,256,801,709,441,430,903,832
16:33:05.858559,83500,66,256,800,709,441,431,903,832
16:33:05.862570,83509,66,257,802,710,442,431,902,831
16:33:05.872555,83519,67,256,800,709,442,431,902,832
16:33:05.875613,83529,66,256,801,709,442,431,903,832
16:33:05.882979,83539,67,257,800,709,442,431,903,831
16:33:05.907866,83549,67,257,800,709,442,431,903,831
16:33:05.916249,83559,68,257,800,709,443,431,904,833
16:33:05.918033,83569,68,257,800,709,442,431,903,831
16:33:05.925317,83579,69,257,800,709,442,432,903,831
16:33:05.925317,83589,68,257,801,709,442,432,903,832
16:33:05.959685,83599,68,257,800,709,443,431,903,831
16:33:05.967960,83609,69,257,800,709,443,432,903,831
16:33:05.973053,83619,69,257,800,710,444,433,902,832
16:33:05.978664,83629,70,257,800,709,443,432,903,831
16:33:05.983071,83639,69,257,801,709,443,432,903,832
16:33:06.016006,83649,70,257,800,709,442,432,903,831
16:33:06.018443,83659,70,257,800,709,442,432,903,831
16:33:06.023515,83670,70,257,800,709,443,433,904,831
16:33:06.028395,83679,70,258,800,709,443,432,903,831
16:33:06.035257,83689,70,257,800,709,443,432,903,831
16:33:06.076773,83699,70,257,800,709,443,432,903,831
16:33:06.079204,83709,71,257,800,709,442,432,903,831
16:33:06.089689,83719,71,257,800,709,443,433,903,832
16:33:06.090895,83729,71,257,800,708,443,432,902,832
16:33:06.096260,83739,71,257,800,709,443,432,903,831
16:33:06.102265,83749,71,257,800,709,443,432,903,831
16:33:06.107046,83759,71,257,800,709,443,432,903,831
16:33:06.112321,83769,72,257,800,709,443,432,903,831
16:33:06.118347,83779,71,257,800,709,443,432,903,831
16:33:06.125373,83789,70,258,800,709,444,432,903,831
16:33:06.157195,83799,71,258,801,709,444,432,902,832
16:33:06.162035,83809,70,258,801,709,445,432,903,833
16:33:06.166020,83819,71,259,801,709,445,432,903,831
16:33:06.173023,83829,71,258,801,709,444,433,903,832
16:33:06.178562,83840,72,258,802,711,445,433,904,832
16:33:06.220412,83849,72,258,801,708,445,432,902,831
16:33:06.220412,83859,71,259,801,709,445,433,902,832
16:33:06.232052,83869,71,259,802,709,445,433,902,831
16:33:06.232052,83879,72,258,802,710,445,433,903,831
16:33:06.244844,83889,72,259,801,710,445,433,903,831
16:33:06.257695,83899,72,259,802,709,446,433,903,832
16:33:06.265688,83909,72,259,802,709,446,433,903,831
16:33:06.271931,83919,73,260,802,710,446,433,903,831
16:33:06.276191,83929,73,259,802,710,446,433,902,831
16:33:06.279960,83939,73,259,802,710,446,433,902,832
16:33:06.312291,83949,73,259,802,710,447,433,903,831
16:33:06.321336,83959,73,260,802,711,447,433,903,831
16:33:06.330682,83969,73,259,802,711,447,433,903,832
16:33:06.343003,83979,73,260,802,710,448,433,903,832
16:33:06.351231,83989,74,260,802,710,447,434,903,832
16:33:06.356655,83999,74,259,802,711,447,434,903,832
16:33:06.364360,84009,73,259,802,711,448,433,903,832
16:33:06.375656,84019,73,259,802,710,448,433,903,832
16:33:06.377608,84029,74,259,802,710,448,433,903,832
16:33:06.381264,84039,74,259,802,710,448,434,903,832
16:33:06.381264,84049,74,259,801,710,448,434,903,832
16:33:06.426847,84059,75,259,802,710,448,434,903,832
16:33:06.430353,84069,74,259,802,709,448,434,903,832
16:33:06.430353,84079,75,259,801,710,448,433,903,832
16:33:06.433996,84089,75,258,801,709,448,434,903,832
16:33:06.437045,84099,74,258,801,708,447,434,904,832
16:33:06.457972,84109,75,258,801,709,447,435,903,832
16:33:06.461909,84119,75,258,801,708,447,435,904,832
16:33:06.462957,84129,75,257,801,709,446,435,903,832
16:33:06.466951,84140,75,257,800,708,446,435,904,832
16:33:06.466951,84149,75,256,801,708,446,435,904,832
16:33:06.509057,84159,75,256,801,708,446,436,904,833
16:33:06.511389,84169,75,256,800,708,445,436,904,832
16:33:06.511389,84179,74,255,801,708,445,437,904,833
16:33:06.517526,84189,74,254,800,708,445,437,904,833
16:33:06.517526,84199,74,254,800,708,445,437,905,833
16:33:06.569626,84209,74,253,800,707,444,437,905,833
16:33:06.598568,84219,73,253,800,707,444,437,904,833
16:33:06.609504,84229,74,253,800,707,444,437,905,833
16:33:06.612817,84239,74,252,800,707,443,437,905,833
16:33:06.619253,84249,73,251,800,706,443,437,905,834
16:33:06.626415,84259,73,251,799,706,442,437,906,833
