Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:18:25.829499,454969,0,405,169,343,639,174,665,570
16:18:25.831857,454979,0,403,169,343,639,172,665,569
16:18:25.833366,454989,0,402,169,343,638,170,665,569
16:18:25.835418,454999,0,400,170,343,638,168,665,569
16:18:25.837736,455009,0,397,170,342,638,167,664,569
16:18:25.839792,455019,0,395,170,342,637,165,664,569
16:18:25.843347,455029,0,393,170,342,637,164,664,569
16:18:25.848386,455040,0,393,170,342,636,163,664,569
16:18:25.850408,455049,0,390,171,342,636,162,664,569
16:18:25.897974,455059,0,388,171,342,635,160,663,569
16:18:25.902479,455069,0,387,172,342,636,159,663,569
16:18:25.911973,455079,0,386,171,342,635,157,662,569
16:18:25.916733,455089,0,385,172,342,635,155,661,569
16:18:25.922733,455099,0,384,172,342,635,152,660,569
16:18:25.947270,455109,0,382,172,342,635,150,659,569
16:18:25.951768,455119,0,380,173,342,635,148,658,569
16:18:25.956336,455129,0,378,174,343,636,145,659,569
16:18:25.963703,455139,0,376,175,341,635,142,657,569
16:18:25.968199,455149,0,374,176,341,635,139,657,568
16:18:25.971769,455159,0,372,179,340,635,136,656,568
16:18:26.031554,455169,0,369,179,340,635,132,656,567
16:18:26.033715,455179,0,368,181,340,635,129,656,567
16:18:26.035864,455189,0,366,183,340,635,125,656,566
16:18:26.037906,455199,0,364,184,340,635,122,656,566
16:18:26.039949,455209,0,362,185,341,635,119,655,566
16:18:26.048934,455219,0,360,187,340,635,117,655,566
16:18:26.051935,455229,0,358,189,341,635,114,655,565
16:18:26.057273,455239,0,356,190,341,634,112,655,565
16:18:26.065777,455249,0,354,192,341,634,109,655,565
16:18:26.070783,455259,0,352,194,342,635,107,654,565
16:18:26.190811,455269,0,350,196,342,634,104,654,564
16:18:26.197020,455279,0,348,197,343,634,102,654,564
16:18:26.199038,455289,0,346,199,343,634,99,653,564
16:18:26.201038,455299,0,344,200,343,634,97,653,564
16:18:26.202039,455309,0,342,202,343,634,95,653,564
