Hora;Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
18:05:11.614094;697260;0;32;317;158;13;30;125;103
18:05:11.617215;697269;0;29;300;149;11;27;113;93
18:05:11.619255;697279;0;26;282;140;10;24;103;84
18:05:11.622309;697289;0;23;262;130;9;22;93;76
18:05:11.628522;697299;0;21;241;119;8;20;84;69
18:05:11.660183;697309;0;19;218;107;7;18;76;62
18:05:11.660183;697319;0;17;197;97;5;16;69;57
18:05:11.669120;697329;0;15;178;87;5;14;62;51
18:05:11.671185;697339;0;13;161;79;5;13;56;46
18:05:11.673215;697349;0;12;146;72;4;12;51;42
18:05:11.748735;697359;0;11;132;65;4;10;46;38
18:05:11.760849;697369;0;10;119;58;3;9;42;34
18:05:11.771941;697379;0;9;108;54;3;8;38;31
18:05:11.778643;697389;0;8;98;47;2;7;34;28
18:05:11.783054;697399;0;7;89;43;2;7;31;26
18:05:11.789631;697409;0;6;80;39;1;6;28;23
18:05:11.792901;697419;0;5;73;35;1;5;25;21
18:05:11.797945;697430;0;5;65;32;1;5;23;19
18:05:11.802608;697439;0;4;59;29;1;4;21;17
18:05:11.804650;697449;0;3;54;25;0;4;19;16
18:05:11.813052;697459;0;3;49;23;0;3;17;14
18:05:11.818343;697469;0;2;44;21;1;3;15;13
18:05:11.822388;697479;0;2;40;19;0;2;14;12
18:05:11.827363;697489;0;1;36;16;0;2;12;11
18:05:11.830002;697499;0;1;33;15;0;2;11;10
18:05:11.831255;697509;0;1;30;14;0;1;10;9
18:05:11.880411;697519;0;0;27;12;0;1;9;8
18:05:11.884039;697529;0;0;24;11;0;1;8;7
18:05:11.888081;697539;0;0;22;10;0;1;7;6
18:05:11.894891;697549;0;0;20;9;0;0;7;6
18:05:11.899184;697559;0;0;18;8;0;0;6;5
18:05:11.938094;697569;0;0;16;7;0;0;5;5
18:05:11.941215;697579;0;0;14;6;0;0;5;4
18:05:11.943881;697589;0;0;13;6;0;0;5;2
18:05:11.946029;697600;0;0;12;5;0;0;4;3
18:05:11.948045;697609;0;0;10;4;0;0;3;3
18:05:11.965133;697619;0;0;9;4;0;0;3;3
18:05:11.965133;697629;0;0;8;3;0;0;3;2
18:05:11.970536;697639;0;0;8;2;0;0;2;3
18:05:11.972579;697649;0;0;7;2;0;0;2;2
18:05:11.973604;697659;0;0;6;2;0;0;2;2
18:05:12.009254;697669;0;0;5;1;0;0;1;1
18:05:12.025350;697679;0;0;4;1;0;0;1;1
18:05:12.028156;697689;0;0;4;1;0;0;1;1
18:05:12.030369;697699;0;0;3;0;0;0;1;1
18:05:12.032315;697709;0;0;3;0;0;0;1;1
18:05:12.076022;697719;0;0;3;0;0;0;1;1
18:05:12.076022;697729;0;0;3;0;0;0;0;0
18:05:12.088627;697739;0;0;3;0;0;0;0;0
18:05:12.089640;697749;0;0;3;0;0;0;0;0
18:05:12.092596;697759;0;0;2;0;0;0;0;0
18:05:12.134664;697769;0;0;2;0;0;0;0;0
18:05:12.139272;697779;0;0;2;0;0;0;0;0
18:05:12.141423;697789;0;0;2;0;0;0;0;0
18:05:12.143753;697799;0;0;1;0;0;0;0;0
18:05:12.145881;697809;0;0;1;0;0;0;0;0
18:05:12.180504;697819;0;0;0;0;0;0;0;0
18:05:12.181570;697829;0;0;0;0;0;0;0;0
18:05:12.181570;697839;0;0;0;0;0;0;0;0
18:05:12.181570;697849;0;0;0;0;0;0;0;0
18:05:12.181570;697859;0;0;0;0;0;0;0;0
18:05:12.227028;697869;0;0;0;0;0;0;0;0
18:05:12.232397;697879;0;0;0;0;0;0;0;0
18:05:12.235428;697889;0;0;0;0;0;0;0;0
18:05:12.238166;697900;0;0;0;0;0;0;0;0
18:05:12.240194;697909;0;0;0;0;0;0;0;0
18:05:12.278288;697919;0;0;0;0;0;0;0;0
18:05:12.280287;697929;0;0;0;0;0;0;0;0
18:05:12.282287;697939;0;0;0;0;0;0;0;0
18:05:12.284288;697949;0;0;0;0;0;0;0;0
18:05:12.290721;697959;0;0;0;0;0;0;0;0
18:05:12.315649;697969;0;0;0;0;0;0;0;0
18:05:12.315649;697979;0;0;0;0;0;0;0;0
18:05:12.321878;697989;0;0;0;0;0;0;0;0
18:05:12.323936;697999;0;0;0;0;0;0;0;0
18:05:12.326049;698009;0;0;0;0;0;0;0;0
18:05:12.384944;698019;0;0;0;0;0;0;0;0
18:05:12.386987;698029;0;0;0;0;0;0;0;0
18:05:12.386987;698039;0;0;0;0;0;0;0;0
18:05:12.390898;698049;0;0;0;0;0;0;0;0
18:05:12.393272;698059;0;0;0;0;0;0;0;0
18:05:12.432060;698070;0;0;0;0;0;0;0;0
18:05:12.432060;698079;0;0;0;0;0;0;0;0
18:05:12.442638;698089;0;0;0;0;0;0;0;0
18:05:12.447997;698099;0;0;0;0;0;0;0;0
18:05:12.450241;698109;0;0;0;0;0;0;0;0
18:05:12.465555;698119;0;0;0;0;0;0;0;0
18:05:12.465555;698129;0;0;0;0;0;0;0;0
18:05:12.474165;698139;0;0;0;0;0;0;0;0
18:05:12.476239;698149;0;0;0;0;0;0;0;0
18:05:12.478525;698159;0;0;0;0;0;0;0;0
18:05:12.529315;698169;0;0;0;0;0;0;0;0
18:05:12.530602;698179;0;0;0;0;0;0;0;0
