Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
16:46:28.810158,188839,550,627,855,724,453,0,852,781
16:46:28.815567,188849,552,628,856,725,454,0,852,783
16:46:28.818453,188859,554,628,856,726,455,0,851,781
16:46:28.826056,188869,555,629,856,726,456,0,851,781
16:46:28.836545,188879,557,629,857,727,457,0,851,781
16:46:28.859175,188889,558,629,857,728,458,0,851,781
16:46:28.872952,188899,559,629,857,728,459,0,851,781
16:46:28.880147,188909,560,629,857,729,460,0,851,781
16:46:28.890182,188919,560,629,857,729,460,0,851,781
16:46:28.895645,188929,561,630,858,730,461,0,852,781
16:46:28.905796,188939,561,630,858,730,462,0,852,781
16:46:28.912253,188949,562,630,858,730,463,0,852,782
16:46:28.918911,188959,562,630,857,730,464,0,852,782
16:46:28.927358,188969,562,631,858,731,464,0,852,782
16:46:28.938024,188979,562,630,857,731,465,0,852,783
16:46:28.980479,188989,562,631,857,731,465,0,853,783
16:46:28.986026,188999,561,631,856,731,466,0,853,783
16:46:28.988342,189009,561,631,856,731,466,0,853,784
16:46:29.003309,189019,560,631,856,732,466,0,854,785
16:46:29.011422,189029,558,631,856,731,466,0,854,785
16:46:29.015525,189039,557,631,856,731,466,0,855,785
16:46:29.025849,189049,555,631,856,730,466,0,856,786
16:46:29.033451,189059,553,631,855,730,466,0,856,786
16:46:29.041862,189069,552,631,855,730,466,0,857,787
16:46:29.050127,189079,550,631,855,729,466,0,858,788
16:46:29.056209,189089,548,631,855,727,465,0,858,789
16:46:29.063193,189100,547,630,855,726,465,0,859,789
16:46:29.074432,189109,545,630,855,726,465,0,860,790
16:46:29.079778,189119,543,630,854,724,464,0,860,790
16:46:29.082749,189129,541,630,854,724,464,0,861,791
16:46:29.104495,189139,539,629,854,723,463,0,861,791
16:46:29.113354,189149,537,629,854,722,462,0,862,792
16:46:29.120406,189159,536,629,853,721,461,0,862,792
16:46:29.127542,189169,534,628,853,720,460,0,863,792
16:46:29.132344,189179,533,628,853,719,459,0,864,793
16:46:29.158454,189189,531,627,852,718,457,0,864,793
16:46:29.164592,189199,530,626,852,717,457,0,865,794
16:46:29.169263,189209,529,625,852,716,455,0,865,794
16:46:29.175670,189219,528,625,852,715,454,0,866,794
16:46:29.183413,189229,526,624,851,714,454,0,866,795
16:46:29.207886,189239,525,623,851,714,453,0,867,795
16:46:29.212103,189249,524,623,852,714,453,0,868,797
16:46:29.216479,189259,523,622,851,712,452,0,867,796
16:46:29.225655,189270,522,622,850,711,451,0,868,796
16:46:29.231486,189279,521,622,850,710,451,0,868,796
16:46:29.269543,189289,520,621,850,709,451,0,869,797
16:46:29.277927,189299,519,621,849,708,450,0,870,797
