Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
11:12:01.151960,59559,278,340,491,364,705,1,744,734
11:12:01.156286,59569,280,339,490,363,706,1,743,734
11:12:01.159453,59579,280,338,489,360,706,1,742,735
11:12:01.164378,59589,280,337,487,359,705,0,742,736
11:12:01.168557,59599,280,333,485,359,709,1,741,733
11:12:01.172195,59609,280,329,482,357,709,1,741,734
11:12:01.176282,59619,281,323,479,355,710,1,740,733
11:12:01.179314,59629,280,316,476,352,710,1,740,732
11:12:01.184297,59639,280,310,473,350,711,1,740,731
11:12:01.188451,59649,280,303,471,348,711,2,740,732
11:12:01.191997,59659,280,297,467,346,711,1,739,733
11:12:01.195327,59669,281,289,464,344,711,1,738,735
11:12:01.198802,59679,281,282,462,342,711,1,737,737
11:12:01.202559,59689,280,272,458,338,712,1,736,738
11:12:01.205974,59699,279,261,454,334,712,1,735,738
11:12:01.209001,59709,278,247,448,329,712,2,733,738
11:12:01.213020,59719,276,230,441,323,711,1,731,737
11:12:01.217073,59729,272,213,435,317,711,1,725,735
11:12:01.220957,59739,267,197,428,309,710,1,719,735
11:12:01.224401,59749,262,180,419,301,709,2,712,734
11:12:01.227925,59759,257,163,410,292,706,0,700,731
11:12:01.232392,59769,252,146,402,281,705,0,688,730
11:12:01.235556,59779,247,129,393,270,703,0,676,727
11:12:01.238951,59789,241,112,385,258,702,0,658,725
11:12:01.242553,59799,235,96,376,246,699,0,639,723
11:12:01.245891,59809,227,82,366,233,697,0,616,721
11:12:01.250233,59820,217,68,355,220,694,0,594,717
11:12:01.252800,59829,207,53,341,207,689,0,572,714
11:12:01.255978,59839,193,38,326,193,685,0,543,708
11:12:01.258355,59849,174,28,307,180,679,0,514,703
11:12:01.262044,59859,154,21,287,166,673,0,485,698
11:12:01.267165,59869,134,16,267,150,666,0,460,692
11:12:01.270850,59879,114,12,245,134,658,0,431,685
11:12:01.275205,59889,95,8,225,118,650,0,397,678
11:12:01.277570,59899,76,6,204,101,640,0,357,669
11:12:01.281105,59909,59,5,180,84,628,0,311,659
11:12:01.284150,59919,43,4,158,68,615,0,259,647
11:12:01.287309,59929,32,3,136,54,600,0,210,634
11:12:01.290864,59939,23,3,115,42,582,0,168,618
11:12:01.293919,59949,17,2,98,31,560,0,138,600
11:12:01.297559,59959,13,1,82,23,534,0,113,578
11:12:01.299609,59969,9,1,69,17,505,0,85,552
11:12:01.303164,59979,7,1,56,13,475,0,66,523
11:12:01.306598,59990,6,0,46,10,441,0,50,488
11:12:01.309816,59999,4,0,40,7,402,0,39,450
11:12:01.312042,60009,4,0,34,6,358,0,29,405
11:12:01.316291,60019,2,0,31,4,311,0,22,352
