Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
13:29:52.195868,230179,621,558,858,609,620,577,938,869
13:29:52.199311,230189,623,559,859,614,621,578,937,869
13:29:52.203369,230199,625,561,859,618,622,579,937,869
13:29:52.207777,230209,627,563,860,620,623,580,937,869
13:29:52.210852,230219,628,565,860,623,624,580,937,869
13:29:52.267080,230230,629,567,861,624,625,579,937,870
13:29:52.271450,230239,630,568,861,626,626,579,937,870
13:29:52.276770,230249,630,570,861,627,627,579,937,870
13:29:52.283521,230259,631,571,861,627,628,579,937,869
13:29:52.285974,230269,631,572,861,627,629,578,937,870
13:29:52.291419,230279,631,573,861,628,629,577,937,870
13:29:52.294547,230289,631,573,861,628,630,576,937,870
13:29:52.321209,230299,631,573,861,629,630,576,937,870
13:29:52.342153,230309,631,573,861,630,630,575,937,870
13:29:52.344323,230319,631,573,861,631,629,575,937,870
13:29:52.344323,230329,630,573,861,631,629,576,938,870
13:29:52.364831,230339,629,573,861,631,629,575,938,870
13:29:52.368232,230349,628,572,861,631,630,576,938,870
13:29:52.374411,230359,626,572,861,630,630,576,938,871
13:29:52.379528,230369,625,572,861,629,630,576,939,872
13:29:52.387785,230379,622,572,861,628,630,577,939,872
13:29:52.394363,230389,619,571,861,627,630,577,939,872
13:29:52.399130,230400,617,570,860,624,630,578,939,873
13:29:52.400177,230409,614,569,860,621,630,577,939,873
13:29:52.409427,230419,610,568,860,616,629,576,940,873
13:29:52.436351,230429,607,566,859,613,628,575,940,873
13:29:52.443818,230439,603,565,858,608,628,575,940,874
13:29:52.445845,230449,600,563,857,603,627,574,940,874
13:29:52.445845,230459,596,562,857,597,626,573,940,874
13:29:52.456793,230469,592,560,856,592,625,571,940,875
13:29:52.509335,230479,588,558,855,586,624,570,940,875
13:29:52.513820,230489,584,555,854,581,622,569,940,875
13:29:52.518922,230499,580,552,853,574,621,567,940,876
13:29:52.524915,230509,575,549,852,569,619,566,940,876
13:29:52.528385,230519,572,546,851,563,617,566,940,876
13:29:52.533600,230529,567,542,849,556,616,565,940,876
13:29:52.542544,230539,561,538,848,549,615,565,942,877
13:29:52.546537,230549,555,534,847,539,612,564,940,877
13:29:52.548557,230559,548,530,846,526,609,563,941,877
13:29:52.558438,230569,542,525,844,510,607,562,941,877
13:29:52.582026,230579,535,521,842,491,606,561,941,877
13:29:52.584583,230589,528,517,840,472,604,560,941,877
13:29:52.592592,230599,521,512,837,452,602,558,942,877
13:29:52.597593,230609,514,507,835,433,601,556,942,877
13:29:52.600899,230619,508,501,833,414,599,555,942,877
13:29:52.632788,230629,501,496,831,395,597,553,942,878
13:29:52.638749,230639,495,491,829,377,595,549,942,878
13:29:52.641815,230649,490,485,827,362,593,546,942,878
13:29:52.651307,230659,484,479,825,349,590,543,942,878
13:29:52.653552,230669,478,473,824,336,588,540,942,878
13:29:52.704930,230679,472,467,822,325,586,536,942,878
13:29:52.708044,230689,467,461,821,316,583,533,942,878
13:29:52.717341,230700,462,454,820,309,580,529,942,878
