Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
13:32:08.715560,366539,596,409,835,645,525,523,920,839
13:32:08.721579,366550,597,410,835,645,526,523,920,839
13:32:08.725972,366559,598,410,835,645,526,523,920,839
13:32:08.729994,366569,598,410,835,646,526,523,920,839
13:32:08.778738,366579,599,411,836,646,527,523,920,839
13:32:08.781806,366589,600,411,836,647,527,523,920,839
13:32:08.783300,366599,600,411,836,649,527,523,920,839
13:32:08.785492,366609,600,411,836,648,527,524,920,839
13:32:08.790417,366619,601,411,836,648,527,524,920,839
13:32:08.810476,366629,601,411,836,648,528,524,920,839
13:32:08.814924,366639,602,411,836,649,528,525,920,840
13:32:08.823792,366649,602,411,836,650,528,525,920,839
13:32:08.824846,366659,602,411,836,650,528,526,920,839
13:32:08.824846,366669,603,410,836,650,528,526,920,839
13:32:08.863752,366679,603,410,836,651,527,527,920,839
13:32:08.868886,366689,603,409,836,651,527,528,920,839
13:32:08.871534,366699,603,409,836,652,526,528,920,839
13:32:08.874347,366709,604,409,836,652,525,528,920,839
13:32:08.876067,366720,604,408,836,653,524,529,920,839
13:32:08.921261,366729,604,407,836,653,523,530,920,839
13:32:08.924513,366739,605,407,836,653,522,530,920,839
13:32:08.925555,366749,605,406,836,653,522,530,920,838
13:32:08.927998,366759,605,406,835,653,521,530,920,838
13:32:08.930183,366769,606,406,836,653,520,531,920,838
13:32:08.953070,366779,606,405,836,653,520,532,921,838
13:32:08.955419,366789,606,405,835,653,519,531,920,837
13:32:08.956885,366799,606,404,835,653,518,531,920,837
13:32:08.957958,366809,607,404,835,652,517,532,921,837
13:32:08.962192,366819,606,404,835,652,516,531,920,837
13:32:09.020678,366829,607,404,835,651,516,530,920,837
13:32:09.024940,366839,606,404,834,651,515,531,922,837
13:32:09.028944,366849,606,404,834,651,514,530,920,837
13:32:09.034334,366859,606,403,834,650,514,529,920,837
13:32:09.040818,366869,605,402,834,650,513,529,920,837
13:32:09.052186,366879,604,402,834,649,513,528,920,837
13:32:09.052186,366889,604,401,834,649,512,529,920,837
13:32:09.057840,366899,603,401,834,648,511,529,920,837
13:32:09.060025,366909,603,400,834,648,510,528,919,836
13:32:09.061050,366919,602,400,833,648,509,528,920,836
13:32:09.106857,366929,602,399,833,647,508,528,920,836
13:32:09.107867,366939,602,399,833,647,507,529,919,836
13:32:09.107867,366949,601,398,834,646,507,529,920,835
13:32:09.107867,366959,601,397,834,646,506,529,919,835
13:32:09.115494,366969,601,396,833,646,505,529,920,835
13:32:09.161113,366979,601,395,833,646,505,529,920,835
13:32:09.174456,366989,601,395,834,645,505,529,919,835
13:32:09.178468,366999,601,393,833,645,504,529,919,834
13:32:09.189706,367009,602,393,834,645,504,529,919,834
13:32:09.199998,367020,602,392,833,645,503,528,919,834
13:32:09.212173,367029,602,392,833,645,502,528,919,834
13:32:09.222052,367039,603,392,833,645,501,528,919,833
13:32:09.226574,367049,602,390,832,644,500,528,919,833
13:32:09.228899,367059,602,389,832,644,499,528,919,833
13:32:09.230942,367069,603,388,832,644,498,527,919,832
13:32:09.268832,367079,603,387,831,644,497,527,919,832
13:32:09.268832,367089,602,386,831,644,495,528,919,832
13:32:09.288539,367099,602,385,832,644,493,528,919,832
13:32:09.291741,367109,601,383,830,644,491,528,918,832
13:32:09.298250,367119,600,382,830,644,490,527,919,832
13:32:09.307851,367129,600,381,830,643,488,528,919,831
13:32:09.307851,367139,599,379,830,643,487,528,919,831
13:32:09.307851,367149,598,378,830,642,485,528,919,831
13:32:09.314606,367159,598,377,830,642,485,528,919,831
13:32:09.316624,367169,598,376,830,642,484,529,919,831
13:32:09.369643,367179,598,376,830,642,484,529,919,831
13:32:09.369643,367190,598,375,830,641,485,529,919,831
13:32:09.380496,367199,598,375,830,641,485,529,919,831
13:32:09.387570,367209,598,375,830,641,486,529,919,832
13:32:09.392211,367219,598,375,830,641,486,529,919,831
13:32:09.424482,367229,598,375,830,642,487,529,919,831
