Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
11:12:02.440912,169779,280,523,868,815,524,505,916,859
11:12:02.440912,169789,280,524,868,815,524,505,917,860
11:12:02.446861,169799,278,525,868,815,524,505,917,861
11:12:02.449047,169809,276,525,867,815,524,505,917,862
11:12:02.501004,169819,273,525,867,814,524,506,918,863
11:12:02.503204,169829,270,525,867,814,524,505,919,863
11:12:02.505454,169839,267,525,867,813,523,505,919,864
11:12:02.506480,169849,262,524,866,812,522,503,919,865
11:12:02.511999,169859,258,523,866,812,520,502,919,865
11:12:02.558605,169869,253,521,865,811,518,501,920,866
11:12:02.560617,169879,248,519,865,810,516,499,920,866
11:12:02.564271,169889,244,518,865,810,513,498,920,867
11:12:02.566815,169900,238,513,863,809,511,495,920,867
11:12:02.567858,169909,233,510,863,808,507,494,920,868
11:12:02.589877,169919,227,506,862,806,503,491,919,868
11:12:02.594778,169929,221,502,861,805,499,488,919,868
11:12:02.600559,169939,216,498,860,804,494,487,919,868
11:12:02.603642,169949,212,495,859,802,489,485,920,868
11:12:02.606684,169959,208,490,858,801,484,484,919,867
11:12:02.639727,169969,203,486,858,800,479,482,919,866
11:12:02.641818,169979,198,482,859,798,474,480,918,865
11:12:02.643073,169989,193,476,855,797,468,478,918,864
11:12:02.646468,169999,187,470,854,795,461,476,917,862
11:12:02.648728,170009,182,464,853,793,453,474,916,859
11:12:02.700431,170019,176,458,852,791,444,471,916,857
11:12:02.704536,170029,169,452,850,788,436,468,916,855
11:12:02.708577,170039,161,443,848,785,425,462,914,851
11:12:02.710764,170049,152,435,846,782,414,456,913,848
11:12:02.714237,170059,143,425,845,780,403,448,911,845
11:12:02.752609,170070,135,416,843,777,389,440,910,842
11:12:02.754987,170079,127,406,841,774,374,431,908,838
11:12:02.757105,170089,119,396,839,771,359,421,907,835
11:12:02.759139,170099,112,385,836,768,344,411,905,831
11:12:02.761751,170109,105,374,834,765,328,402,903,827
11:12:02.798296,170119,99,362,832,762,311,393,902,822
11:12:02.802862,170129,93,350,829,760,293,385,900,818
11:12:02.807358,170139,88,340,828,758,276,376,898,814
11:12:02.811613,170149,83,328,824,752,259,367,895,809
11:12:02.816100,170159,78,317,821,748,243,358,893,803
11:12:02.847443,170169,72,306,819,744,227,348,890,798
11:12:02.850605,170179,66,296,816,739,213,337,887,791
11:12:02.853558,170189,60,286,813,733,198,326,884,785
11:12:02.856022,170199,54,275,810,728,184,312,881,778
11:12:02.861491,170209,49,264,806,722,170,297,875,771
11:12:02.888314,170219,44,253,803,716,157,280,869,762
11:12:02.890828,170229,40,242,800,709,144,262,863,753
11:12:02.893005,170240,36,231,796,701,131,243,856,741
11:12:02.896057,170249,32,220,793,692,118,222,848,728
11:12:02.898744,170259,29,209,789,682,107,201,838,715
11:12:02.957211,170269,26,197,785,671,96,182,826,700
11:12:02.961833,170279,23,184,780,658,87,164,812,684
11:12:02.969555,170289,21,173,774,643,79,148,795,666
11:12:02.972259,170299,19,160,768,626,71,134,776,645
11:12:02.976528,170309,17,148,761,606,65,121,752,622
11:12:03.031560,170319,15,137,753,585,58,109,724,596
11:12:03.033921,170329,14,126,744,561,53,98,692,570
11:12:03.036147,170339,13,115,734,536,48,89,661,544
11:12:03.038174,170349,12,104,724,506,43,82,632,518
11:12:03.039185,170359,11,94,712,472,39,73,602,493
11:12:03.060480,170369,10,84,699,433,35,66,581,474
11:12:03.064347,170379,9,76,683,394,32,59,565,459
11:12:03.066792,170389,8,69,665,356,29,53,553,447
11:12:03.067836,170399,7,62,644,322,26,48,542,437
11:12:03.070405,170409,6,56,622,291,23,44,534,428
11:12:03.089142,170419,6,51,602,263,21,39,528,419
11:12:03.091763,170429,4,47,582,238,19,36,524,412
11:12:03.093524,170439,4,43,563,216,17,32,520,406
11:12:03.096941,170449,3,38,548,196,16,29,517,402
11:12:03.104509,170459,3,35,529,177,14,26,514,395
11:12:03.148405,170469,2,32,509,160,13,24,511,390
11:12:03.150500,170479,2,29,490,145,11,22,508,387
11:12:03.153012,170489,2,26,474,131,10,19,505,385
11:12:03.153012,170499,1,23,460,119,9,17,502,384
11:12:03.158597,170509,1,20,447,107,8,16,500,383
11:12:03.160522,170519,1,18,436,97,7,14,499,382
11:12:03.196436,170529,1,16,425,88,6,13,498,382
11:12:03.199518,170540,0,15,415,80,5,11,496,382
11:12:03.201054,170549,0,13,407,72,5,10,494,382
11:12:03.203626,170559,0,12,399,65,4,9,493,382
11:12:03.204649,170569,0,11,393,59,4,8,491,382
11:12:03.270679,170579,0,10,389,53,3,7,490,382
11:12:03.275574,170589,0,9,390,49,2,7,490,382
11:12:03.280688,170599,0,8,399,44,2,6,506,388
11:12:03.282723,170609,0,7,411,41,2,5,543,404
11:12:03.284754,170619,0,6,424,37,1,4,589,428
11:12:03.300847,170629,0,6,440,34,1,4,633,456
11:12:03.302938,170639,0,5,460,33,0,3,673,484
11:12:03.304010,170649,0,4,487,51,0,3,710,510
11:12:03.306509,170659,0,4,518,90,0,2,742,535
11:12:03.310498,170669,0,3,549,143,0,2,768,559
11:12:03.352251,170679,0,3,579,204,0,2,789,581
11:12:03.353257,170689,0,3,608,266,0,3,806,603
11:12:03.355282,170699,0,2,631,324,1,7,817,619
11:12:03.357322,170710,0,2,655,377,0,16,829,639
11:12:03.359338,170719,0,1,675,424,1,26,837,655
11:12:03.402913,170729,0,1,693,464,1,40,847,675
11:12:03.412652,170739,0,5,711,498,1,57,857,695
11:12:03.414691,170749,0,14,727,528,11,73,865,715
11:12:03.416739,170759,0,28,741,554,27,92,872,734
11:12:03.418775,170769,0,46,754,577,47,113,879,751
11:12:03.460683,170779,0,70,766,600,70,138,885,766
11:12:03.464924,170789,0,98,776,621,96,164,890,780
11:12:03.466985,170799,0,128,786,641,126,193,894,790
11:12:03.468769,170809,0,160,794,659,155,223,897,800
11:12:03.470845,170819,0,191,801,676,184,252,901,809
11:12:03.502772,170829,0,221,808,691,212,279,904,816
11:12:03.504778,170839,7,249,814,705,240,306,906,822
11:12:03.507221,170849,15,275,821,719,266,331,909,829
11:12:03.509227,170859,26,298,824,728,289,357,910,832
11:12:03.511790,170869,40,320,828,738,311,382,912,837
11:12:03.559317,170880,54,340,831,747,331,405,914,841
11:12:03.562950,170889,68,358,834,755,349,427,916,846
11:12:03.565156,170899,84,376,836,762,364,447,918,850
11:12:03.567164,170909,98,389,838,768,379,464,919,853
11:12:03.569268,170919,114,401,840,774,391,480,920,857
11:12:03.623171,170929,128,412,842,779,403,493,921,860
11:12:03.625339,170939,140,421,843,783,412,504,921,862
11:12:03.627350,170949,152,429,844,786,420,514,921,863
11:12:03.630675,170959,162,436,845,788,427,521,922,865
11:12:03.633052,170969,171,441,846,790,433,527,922,866
11:12:03.654122,170979,179,445,847,791,437,531,922,867
11:12:03.656130,170989,185,449,846,792,441,535,922,867
11:12:03.658147,170999,191,452,847,792,444,537,922,868
