Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
20:30:57.965322,171009,400,345,784,0,481,631,922,813
20:30:57.971522,171019,400,345,785,0,481,630,922,813
20:30:57.979119,171029,398,344,784,0,481,630,923,813
20:30:57.985517,171039,399,344,785,0,480,630,923,814
20:30:57.992208,171049,398,344,784,0,480,630,923,814
20:30:57.997984,171059,397,343,785,0,480,630,923,814
20:30:58.003090,171069,398,343,785,0,479,631,923,815
20:30:58.011908,171079,399,343,786,0,478,631,923,815
20:30:58.017428,171089,399,342,786,0,478,632,924,815
20:30:58.027747,171099,399,341,786,0,478,632,924,815
20:30:58.048262,171109,401,339,785,0,477,633,924,816
20:30:58.060604,171119,402,340,786,0,478,634,925,816
20:30:58.069678,171129,404,340,787,0,478,635,924,817
20:30:58.077219,171139,406,340,787,0,480,635,925,816
20:30:58.081946,171149,408,341,788,0,481,636,925,817
20:30:58.086044,171159,411,341,788,0,482,637,926,817
20:30:58.093319,171169,413,342,789,0,484,638,925,818
20:30:58.098810,171180,416,343,790,0,486,640,928,820
20:30:58.105041,171189,418,344,790,0,486,640,926,818
20:30:58.111950,171199,421,344,791,0,487,640,926,819
20:30:58.131653,171209,423,346,791,0,488,641,926,819
20:30:58.136441,171219,426,347,791,0,488,642,926,819
20:30:58.142012,171229,429,347,793,0,489,642,927,819
20:30:58.146784,171239,431,348,794,0,490,643,926,820
20:30:58.149896,171249,434,348,794,0,490,643,926,820
20:30:58.197030,171259,434,349,795,0,491,644,927,820
20:30:58.201806,171269,436,350,796,0,492,644,926,820
20:30:58.206523,171279,438,350,796,0,494,645,927,820
20:30:58.212486,171289,439,352,796,0,495,645,926,821
20:30:58.216888,171299,439,353,797,1,495,645,926,821
20:30:58.231493,171309,440,355,797,0,496,645,927,821
20:30:58.234059,171319,441,355,797,0,497,645,927,821
20:30:58.240846,171329,441,356,799,0,498,646,928,823
20:30:58.246746,171339,441,356,798,0,498,645,927,822
20:30:58.250797,171350,441,355,798,0,499,645,927,822
20:30:58.283984,171359,440,356,798,0,499,645,927,822
20:30:58.286994,171369,439,355,798,0,500,645,927,822
20:30:58.294285,171379,438,354,798,0,500,644,928,822
20:30:58.298882,171389,436,355,799,0,501,644,927,823
20:30:58.304216,171399,434,355,799,0,502,642,927,823
20:30:58.344224,171409,431,356,798,0,502,641,927,824
20:30:58.348822,171419,428,356,799,0,503,638,927,824
20:30:58.351892,171429,425,357,800,0,505,636,928,824
20:30:58.356968,171439,423,358,800,0,506,633,927,825
20:30:58.362058,171449,420,359,800,0,508,631,927,825
20:30:58.397235,171459,417,360,800,0,509,629,927,826
20:30:58.399419,171469,414,362,802,0,511,627,928,826
20:30:58.407344,171479,411,363,802,0,512,624,928,827
20:30:58.414007,171489,407,365,801,0,513,623,927,827
20:30:58.417201,171499,405,366,802,0,514,621,927,828
20:30:58.433830,171509,402,368,802,0,515,620,928,828
20:30:58.434831,171520,401,369,803,0,516,619,927,829
20:30:58.444416,171529,399,372,804,0,517,619,927,829
20:30:58.447476,171539,399,374,804,0,518,619,925,828
20:30:58.450955,171549,398,377,803,0,518,620,926,829
20:30:58.511765,171559,399,379,804,0,519,619,926,829
20:30:58.521754,171569,399,383,806,0,520,620,926,830
20:30:58.529554,171579,398,385,804,0,521,619,926,830
20:30:58.534385,171589,400,386,804,0,522,620,926,831
20:30:58.535389,171599,400,388,805,0,523,620,926,830
20:30:58.549043,171609,401,390,804,0,523,620,926,830
20:30:58.553589,171619,402,392,804,0,524,621,925,831
20:30:58.559368,171629,403,394,804,0,524,621,926,830
20:30:58.563898,171639,404,395,805,0,525,621,927,830
20:30:58.565939,171649,404,397,805,0,525,622,927,830
20:30:58.603997,171659,406,398,804,0,525,623,926,830
20:30:58.610407,171669,408,399,804,0,525,624,926,830
20:30:58.614936,171679,408,400,804,0,525,624,927,830
20:30:58.619446,171689,410,401,804,0,524,625,926,830
20:30:58.625140,171699,412,401,805,0,524,626,927,830
20:30:58.667225,171709,413,402,805,0,524,627,927,830
20:30:58.670501,171719,414,403,805,0,524,628,928,830
20:30:58.673789,171729,417,402,805,0,524,629,927,831
20:30:58.675862,171739,418,403,806,0,524,629,927,831
20:30:58.678912,171749,418,404,806,0,525,630,927,831
20:30:58.731582,171779,423,404,807,0,526,632,927,832
20:30:58.735832,171789,424,405,807,0,526,633,927,832
20:30:58.739240,171799,424,405,808,0,527,633,928,832
20:30:58.743496,171809,426,405,808,0,527,633,927,833
20:30:58.765712,171820,427,405,809,0,527,633,926,834
20:30:58.774909,171829,429,405,809,0,528,634,927,834
20:30:58.778419,171839,430,406,809,0,529,634,928,835
20:30:58.782631,171849,432,406,810,0,530,634,928,834
20:30:58.784548,171859,434,405,811,0,530,634,927,834
20:30:58.811753,171869,434,405,811,0,530,634,926,835
20:30:58.818274,171879,436,404,811,0,530,633,927,834
20:30:58.828009,171889,437,404,812,0,531,633,927,835
20:30:58.831621,171899,437,405,812,0,531,634,927,834
20:30:58.834275,171909,437,404,813,0,531,632,926,835
20:30:58.867647,171919,438,404,814,0,531,631,926,836
20:30:58.876480,171929,439,405,813,0,530,631,926,836
20:30:58.879156,171939,439,404,814,0,531,630,927,835
20:30:58.883163,171949,439,404,815,0,531,630,927,836
20:30:58.885603,171959,440,404,815,0,531,630,927,836
20:30:58.918887,171969,441,404,815,0,532,630,927,836
20:30:58.923301,171979,441,404,817,0,532,630,927,836
20:30:58.925761,171990,443,404,817,0,532,630,926,837
20:30:58.928534,171999,444,405,817,0,532,631,927,838
20:30:58.929549,172009,444,405,818,0,533,630,926,838
20:30:58.965241,172019,444,406,818,0,533,630,927,837
20:30:58.968772,172029,446,405,819,0,534,630,927,838
20:30:58.976150,172039,445,405,819,0,536,630,928,839
20:30:58.980807,172049,444,405,818,0,534,627,926,838
20:30:58.983982,172059,444,406,819,0,536,627,928,839
20:30:58.991084,172069,444,406,819,0,536,626,927,838
20:30:58.992655,172079,444,406,820,0,537,627,927,838
20:30:58.995793,172089,443,406,820,0,537,627,927,838
20:30:58.996832,172099,442,408,821,0,538,627,927,840
20:30:58.998976,172109,442,407,820,0,538,626,927,838
20:30:59.048078,172119,443,408,822,0,539,625,927,838
20:30:59.048078,172129,443,408,822,0,539,625,927,838
20:30:59.051810,172139,443,408,821,0,539,624,927,839
20:30:59.060670,172149,443,408,822,0,540,624,927,839
20:30:59.062831,172160,442,409,822,0,539,624,927,839
20:30:59.096638,172169,442,409,821,0,540,624,927,839
20:30:59.102183,172179,443,410,821,0,540,624,927,840
20:30:59.104215,172189,443,410,820,0,541,624,927,840
20:30:59.110825,172199,441,411,821,0,541,624,927,840
20:30:59.115954,172209,442,411,821,0,542,623,927,841
20:30:59.141588,172219,441,413,821,0,543,623,927,840
20:30:59.145751,172229,441,413,821,0,544,622,927,841
20:30:59.147778,172239,440,414,822,0,544,622,928,841
20:30:59.149890,172249,440,415,821,0,545,621,927,842
20:30:59.151897,172259,439,416,821,0,545,621,927,842
20:30:59.197649,172269,437,417,822,0,546,620,928,842
