Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
13:17:27.218861,63699,0,0,0,0,0,0,0,0
13:17:27.221722,63709,0,0,0,0,0,0,0,0
13:17:27.230648,63719,0,0,0,0,0,0,0,0
13:17:27.235636,63729,0,0,0,0,0,0,0,0
13:17:27.241759,63739,0,0,0,0,0,0,0,0
13:17:27.241759,63749,0,0,0,0,0,0,0,0
13:17:27.255214,63759,0,0,0,0,0,0,0,0
13:17:27.260658,63769,0,0,0,0,0,0,0,0
13:17:27.264787,63779,0,0,0,0,0,0,0,0
13:17:27.268967,63789,0,0,0,0,0,0,0,0
13:17:27.296417,63799,0,0,0,0,0,0,0,0
13:17:27.298730,63809,0,0,0,0,0,0,0,0
13:17:27.308237,63819,0,0,0,0,0,0,0,0
13:17:27.312684,63830,0,0,0,0,0,0,0,0
13:17:27.316749,63839,0,0,0,0,0,0,0,0
13:17:27.364928,63849,0,0,0,0,0,0,0,0
13:17:27.371654,63859,0,0,0,0,0,0,0,0
13:17:27.371654,63869,0,0,0,0,0,0,0,0
13:17:27.381854,63879,0,0,0,0,0,0,0,0
13:17:27.392847,63889,0,0,0,0,0,0,0,0
13:17:27.394881,63899,0,0,0,0,0,0,0,0
13:17:27.394881,63909,0,0,0,0,0,0,0,0
13:17:27.405524,63919,0,0,0,0,0,0,0,0
13:17:27.411634,63929,0,0,0,0,0,0,0,0
13:17:27.412678,63939,0,0,0,0,0,0,0,0
13:17:27.421794,63949,0,0,0,0,0,0,0,0
13:17:27.452371,63959,0,0,0,0,0,0,0,0
13:17:27.452371,63969,0,0,0,0,0,0,0,0
13:17:27.461863,63979,0,0,0,0,0,0,0,0
13:17:27.466621,63989,0,0,0,0,0,0,0,0
13:17:27.472809,64000,0,0,0,0,0,0,0,0
13:17:27.509826,64009,0,0,0,0,0,0,0,0
13:17:27.521865,64019,0,0,0,0,0,0,0,0
13:17:27.527748,64029,0,0,0,0,0,0,0,0
13:17:27.537170,64039,0,0,0,0,0,0,0,0
13:17:27.544689,64049,0,0,0,0,0,0,0,0
13:17:27.559605,64059,0,0,0,0,0,0,0,0
13:17:27.561648,64069,0,0,0,0,0,0,0,0
13:17:27.568487,64079,0,0,0,0,0,0,0,0
13:17:27.571865,64089,0,0,0,0,0,0,0,0
13:17:27.577200,64099,0,0,0,0,0,0,0,0
13:17:27.607910,64109,0,0,0,0,0,0,0,0
13:17:27.615214,64119,0,0,0,0,0,0,0,0
13:17:27.624468,64129,0,0,0,0,0,0,0,0
13:17:27.631722,64139,0,0,0,0,0,0,0,0
13:17:27.642038,64149,0,0,0,0,0,0,0,0
13:17:27.657381,64159,0,0,0,0,0,0,0,0
13:17:27.663395,64169,0,0,0,0,0,0,0,0
13:17:27.670510,64179,0,0,0,0,0,0,0,0
13:17:27.678209,64189,0,0,0,0,0,0,0,0
13:17:27.682803,64199,0,0,0,0,0,0,0,0
13:17:27.748563,64209,0,0,0,0,0,0,0,0
13:17:27.753322,64219,0,0,0,0,0,0,0,0
13:17:27.762093,64229,0,0,0,0,0,0,0,0
13:17:27.766137,64239,0,0,0,0,0,0,0,0
13:17:27.771602,64249,0,0,0,0,0,0,0,0
13:17:27.779108,64259,0,0,0,0,0,0,0,0
13:17:27.781636,64269,0,0,0,0,0,0,0,0
13:17:27.789986,64279,0,0,0,0,0,0,0,0
13:17:27.794564,64289,0,0,0,0,0,0,0,0
13:17:27.797645,64300,0,0,0,0,0,0,0,0
13:17:27.805347,64309,0,0,0,0,0,0,0,0
13:17:27.811609,64319,0,0,0,0,0,0,0,0
13:17:27.815710,64329,0,0,0,0,0,0,0,0
13:17:27.824669,64339,0,0,0,0,0,0,0,0
13:17:27.831682,64349,0,0,0,0,0,0,0,0
13:17:27.865045,64359,0,0,0,0,0,0,0,0
13:17:27.871973,64369,0,0,0,0,0,0,0,0
13:17:27.875452,64379,0,0,0,0,0,0,0,0
13:17:27.881789,64389,0,0,0,0,0,0,0,0
13:17:27.884828,64399,0,0,0,0,0,0,0,0
13:17:27.916592,64409,0,0,0,0,0,0,0,0
13:17:27.925086,64419,0,0,0,0,0,0,0,0
13:17:27.929358,64429,0,0,0,0,0,0,0,0
13:17:27.932884,64439,0,0,0,0,0,0,0,0
13:17:27.939633,64449,0,0,0,0,0,0,0,0
13:17:27.957673,64459,0,0,0,0,0,0,0,0
13:17:27.961675,64470,0,0,0,0,0,0,0,0
13:17:27.966230,64479,0,0,0,0,0,0,0,0
13:17:27.971751,64489,0,0,0,0,0,0,0,0
13:17:27.976169,64499,0,0,0,0,0,0,0,0
13:17:28.016188,64509,0,0,0,0,0,0,0,0
13:17:28.024772,64519,0,0,0,0,0,0,0,0
13:17:28.063710,64529,0,0,0,0,0,0,0,0
13:17:28.068437,64539,0,0,0,0,0,0,0,0
13:17:28.073968,64549,0,0,0,0,0,0,0,0
13:17:28.077964,64559,0,0,0,0,0,0,0,0
13:17:28.084072,64569,0,0,0,0,0,0,0,0
13:17:28.093610,64579,0,0,0,0,0,0,0,0
13:17:28.098156,64589,0,0,0,0,0,0,0,0
13:17:28.103767,64599,0,0,0,0,0,0,0,0
13:17:28.121920,64609,0,0,0,0,0,0,0,0
13:17:28.121920,64619,0,0,0,0,0,0,0,0
13:17:28.131890,64629,0,0,0,0,0,0,0,0
13:17:28.141852,64640,0,0,0,0,0,0,0,0
13:17:28.141852,64649,0,0,0,0,0,0,0,0
13:17:28.194173,64659,0,0,0,0,0,0,0,0
13:17:28.198518,64669,0,0,0,0,0,0,0,0
13:17:28.211668,64679,0,0,0,0,0,0,0,0
13:17:28.215343,64689,0,0,0,0,0,0,0,0
13:17:28.226502,64699,0,0,0,0,0,0,0,0
13:17:28.231675,64709,0,0,0,0,0,0,0,0
13:17:28.235119,64719,0,0,0,0,0,0,0,0
13:17:28.242783,64729,0,0,0,0,0,0,0,0
13:17:28.248371,64739,0,0,0,0,0,0,0,0
13:17:28.258994,64749,0,0,0,0,0,0,0,0
13:17:28.263511,64759,0,0,0,0,0,0,0,0
13:17:28.278309,64769,0,0,0,0,0,0,0,0
13:17:28.282941,64779,0,0,0,0,0,0,0,0
13:17:28.291519,64789,0,0,0,0,0,0,0,0
13:17:28.296973,64799,0,0,0,0,0,0,0,0
13:17:28.307451,64809,0,0,0,0,0,0,0,0
13:17:28.324542,64819,0,0,0,0,0,0,0,0
13:17:28.328982,64829,0,0,0,0,0,0,0,0
13:17:28.333442,64839,0,0,0,0,0,0,0,0
13:17:28.340737,64849,0,0,0,0,0,0,0,0
13:17:28.343832,64859,0,0,0,0,0,0,0,0
13:17:28.372628,64869,0,0,0,0,0,0,0,0
13:17:28.377849,64879,0,0,0,0,0,0,0,0
13:17:28.381743,64889,0,0,0,0,0,0,0,0
13:17:28.387468,64899,0,0,0,0,0,0,0,0
13:17:28.390992,64909,0,0,0,0,0,0,0,0
13:17:28.431935,64919,0,0,0,0,0,0,0,0
13:17:28.439183,64929,0,0,0,0,0,0,0,0
13:17:28.443958,64940,0,0,0,0,0,0,0,0
13:17:28.444981,64949,0,0,0,0,0,0,0,0
13:17:28.456004,64959,0,0,0,0,0,0,0,0
13:17:28.460423,64969,0,0,0,0,0,0,0,0
13:17:28.464288,64979,0,0,0,0,0,0,0,0
13:17:28.468409,64989,0,0,0,0,0,0,0,0
13:17:28.474939,64999,0,0,0,0,0,0,0,0
13:17:28.478103,65009,0,0,0,0,0,0,0,0
13:17:28.527807,65019,0,0,0,0,0,0,0,0
13:17:28.535104,65029,0,0,0,0,0,0,0,0
13:17:28.559159,65039,0,0,0,0,0,0,0,0
13:17:28.571705,65049,0,0,0,0,0,0,0,0
13:17:28.591621,65059,0,0,0,0,0,0,0,0
13:17:28.599446,65069,0,0,0,0,0,0,0,0
13:17:28.611823,65079,0,0,0,0,0,0,0,0
13:17:28.627017,65089,0,0,0,0,0,0,0,0
13:17:28.635225,65099,0,0,0,0,0,0,0,0
13:17:28.641630,65110,0,0,0,0,0,0,0,0
13:17:28.651547,65119,0,0,0,0,0,0,0,0
13:17:28.668928,65129,0,0,0,0,0,0,0,0
13:17:28.671548,65139,0,0,0,0,0,0,0,0
13:17:28.691597,65149,0,0,0,0,0,0,0,0
13:17:28.701815,65159,0,0,0,0,0,0,0,0
13:17:28.701815,65169,0,0,0,0,0,0,0,0
13:17:28.711632,65179,0,0,0,0,0,0,0,0
13:17:28.729274,65189,0,0,0,0,0,0,0,0
13:17:28.732852,65199,0,0,0,0,0,0,0,0
13:17:28.741795,65209,0,0,0,0,0,0,0,0
13:17:28.751145,65219,0,0,0,0,0,0,0,0
13:17:28.762778,65229,0,0,0,0,0,0,0,0
13:17:28.768404,65239,0,0,0,0,0,0,0,0
13:17:28.775366,65249,0,0,0,0,0,0,0,0
13:17:28.793610,65259,0,0,0,0,0,0,0,0
13:17:28.803836,65269,0,0,0,0,0,0,0,0
13:17:28.818647,65280,0,0,0,0,0,0,0,0
13:17:28.833069,65289,0,0,0,0,0,0,0,0
13:17:28.841981,65299,0,0,0,0,0,0,0,0
13:17:28.852079,65309,0,0,0,0,0,0,0,0
13:17:28.865445,65319,0,0,0,0,0,0,0,0
13:17:28.871836,65329,0,0,0,0,0,0,0,0
13:17:28.884437,65339,0,0,0,0,0,0,0,0
13:17:28.892750,65349,0,0,0,0,0,0,0,0
13:17:28.904447,65359,0,0,0,0,0,0,0,0
13:17:28.911541,65369,0,0,0,0,0,0,0,0
13:17:28.926780,65379,0,0,0,0,0,0,0,0
13:17:28.933026,65389,0,0,0,0,0,0,0,0
13:17:28.941510,65399,0,0,0,0,0,0,0,0
13:17:28.963658,65409,0,0,0,0,0,0,0,0
13:17:28.974490,65419,0,0,0,0,0,0,0,0
13:17:28.984755,65429,0,0,0,0,0,0,0,0
13:17:28.998879,65439,0,0,0,0,0,0,0,0
13:17:29.005720,65449,0,0,0,0,0,0,0,0
13:17:29.011764,65459,0,0,0,0,0,0,0,0
13:17:29.018516,65469,0,0,0,0,0,0,0,0
13:17:29.021632,65479,0,0,0,0,0,0,0,0
13:17:29.021632,65489,0,0,0,0,0,0,0,0
13:17:29.039899,65499,0,0,0,0,0,0,0,0
13:17:29.050014,65509,0,0,0,0,0,0,0,0
13:17:29.061533,65519,0,0,0,0,0,0,0,0
13:17:29.071892,65529,0,0,0,0,0,0,0,0
13:17:29.084236,65539,0,0,0,0,0,0,0,0
13:17:29.091798,65549,0,0,0,0,0,0,0,0
13:17:29.101564,65559,0,0,0,0,0,0,0,0
13:17:29.115744,65569,0,0,0,0,0,0,0,0
13:17:29.121628,65580,0,0,0,0,0,0,0,0
13:17:29.131775,65589,0,0,0,0,0,0,0,0
13:17:29.141961,65599,0,0,0,0,0,0,0,0
13:17:29.151699,65609,0,0,0,0,0,0,0,0
13:17:29.165842,65619,0,0,0,0,0,0,0,0
13:17:29.177090,65629,0,0,0,0,0,0,0,0
13:17:29.191976,65639,0,0,0,0,0,0,0,0
13:17:29.201761,65649,0,0,0,0,0,0,0,0
13:17:29.211808,65659,0,0,0,0,0,0,0,0
13:17:29.221760,65669,0,0,0,0,0,0,0,0
13:17:29.231585,65679,0,0,0,0,0,0,0,0
13:17:29.243235,65689,0,0,0,0,0,0,0,0
13:17:29.252576,65699,0,0,0,0,0,0,0,0
13:17:29.259083,65709,0,0,0,0,0,0,0,0
13:17:29.274754,65719,0,0,0,0,0,0,0,0
13:17:29.290439,65729,0,0,0,0,0,0,0,0
13:17:29.291964,65739,0,0,0,0,0,0,0,0
13:17:29.306417,65750,0,0,0,0,0,0,0,0
13:17:29.311789,65759,0,0,0,0,0,0,0,0
13:17:29.323698,65769,0,0,0,0,0,0,0,0
13:17:29.331638,65779,0,0,0,0,0,0,0,0
13:17:29.337846,65789,0,0,0,0,0,0,0,0
13:17:29.341676,65799,0,0,0,0,0,0,0,0
13:17:29.353549,65809,0,0,0,0,0,0,0,0
13:17:29.369307,65819,0,0,0,0,0,0,0,0
13:17:29.381720,65829,0,0,0,0,0,0,0,0
13:17:29.391808,65839,0,0,0,0,0,0,0,0
13:17:29.403887,65849,0,0,0,0,0,0,0,0
13:17:29.416678,65859,0,0,0,0,0,0,0,0
13:17:29.421886,65869,0,0,0,0,0,0,0,0
13:17:29.433616,65879,0,0,0,0,0,0,0,0
13:17:29.441802,65889,0,0,0,0,0,0,0,0
