Hora,Tiempo,Derecha_S1,Derecha_S2,Derecha_S3,Derecha_S4,Derecha_S5,Derecha_S6,Derecha_S7,Derecha_S8
18:33:48.903149,254889,71,193,408,375,253,381,891,647
18:33:48.917540,254899,72,191,407,375,253,381,891,646
18:33:48.932495,254909,75,192,408,375,253,380,890,642
18:33:48.959599,254919,78,193,408,376,254,380,890,642
18:33:48.977680,254929,81,194,408,375,254,380,888,644
18:33:48.992493,254939,83,195,409,376,254,379,888,640
18:33:49.009839,254949,85,196,408,376,254,378,888,644
18:33:49.025870,254959,87,198,408,375,254,378,887,642
18:33:49.040340,254969,88,199,409,375,254,377,887,641
18:33:49.055502,254979,90,201,409,375,254,376,887,641
18:33:49.072261,254989,92,202,409,375,254,376,887,641
18:33:49.089527,254999,93,203,410,375,254,375,887,641
18:33:49.105498,255009,95,203,411,373,254,374,885,638
18:33:49.121081,255020,96,204,409,374,254,373,886,635
18:33:49.134326,255029,97,204,409,373,253,372,885,635
18:33:49.157632,255039,97,204,410,373,254,370,885,635
18:33:49.173080,255049,98,203,409,372,254,369,885,635
18:33:49.203980,255059,98,203,409,371,254,366,884,634
18:33:49.235595,255069,96,201,410,372,253,364,883,632
18:33:49.270282,255079,97,199,408,369,254,362,883,633
18:33:49.300542,255089,97,197,408,369,254,360,883,634
18:33:49.329384,255099,97,196,407,368,253,357,882,634
18:33:49.357860,255109,96,195,408,368,253,355,882,631
18:33:49.375482,255119,96,194,407,367,254,353,881,630
18:33:49.405113,255129,96,193,408,368,252,350,880,629
18:33:49.435374,255139,95,194,407,366,253,349,881,628
18:33:49.457237,255149,96,195,407,366,254,347,879,628
18:33:49.487772,255159,96,195,407,366,254,344,879,625
18:33:49.515380,255169,97,196,407,366,254,342,878,623
18:33:49.533390,255179,101,196,409,367,253,339,876,621
18:33:49.549548,255190,99,197,408,366,254,336,875,619
18:33:49.580065,255199,100,199,408,366,255,332,874,617
18:33:49.610156,255209,101,200,409,366,254,328,872,614
18:33:49.622308,255219,102,202,409,367,255,324,871,611
18:33:49.640148,255229,102,203,409,367,254,321,870,609
18:33:49.656973,255239,104,204,409,367,255,319,869,607
18:33:49.671865,255249,105,205,409,367,255,316,868,605
18:33:49.689012,255259,105,207,409,367,255,314,867,603
18:33:49.720064,255269,106,207,410,368,255,311,866,602
18:33:49.751665,255279,108,208,410,368,255,309,865,600
18:33:49.782440,255289,109,208,410,368,255,306,864,598
18:33:49.812838,255299,111,209,410,369,256,301,862,596
18:33:49.853332,255309,111,209,414,370,256,297,859,594
18:33:49.884147,255319,113,209,410,370,257,293,858,592
18:33:49.926684,255329,114,210,411,370,257,291,858,591
18:33:49.955359,255339,115,210,411,371,258,290,857,591
18:33:49.979845,255349,117,210,412,372,258,289,857,591
18:33:50.009377,255360,118,210,412,373,258,289,856,590
18:33:50.040774,255369,119,212,412,372,259,288,856,590
18:33:50.055275,255379,121,212,412,373,259,287,857,590
18:33:50.072234,255389,123,212,412,372,260,286,857,590
18:33:50.103276,255399,124,212,412,373,260,283,856,589
18:33:50.117362,255409,125,210,412,373,260,279,856,589
18:33:50.132267,255419,125,208,412,373,261,274,856,589
18:33:50.148576,255429,127,206,412,373,261,271,855,588
18:33:50.163602,255439,127,204,412,374,261,268,856,589
18:33:50.176833,255449,128,202,412,375,262,268,857,590
18:33:50.196370,255459,128,202,412,375,262,269,858,591
18:33:50.214312,255469,128,203,412,375,263,272,859,593
18:33:50.225128,255479,128,204,411,376,260,274,859,593
18:33:50.244945,255489,128,204,411,374,263,276,860,594
18:33:50.259668,255499,128,204,411,374,263,277,861,595
18:33:50.278999,255509,128,203,411,375,264,277,861,596
18:33:50.311216,255519,126,201,411,375,264,277,861,596
18:33:50.341176,255529,125,199,411,375,265,276,861,597
18:33:50.372285,255539,123,199,411,374,265,276,861,598
18:33:50.405390,255549,123,197,411,375,266,276,862,600
18:33:50.434412,255559,123,198,411,375,266,276,862,601
