Hora,Tiempo,Izquierda_S1,Izquierda_S2,Izquierda_S3,Izquierda_S4,Izquierda_S5,Izquierda_S6,Izquierda_S7,Izquierda_S8
18:33:48.885745,230499,0,0,3,20,307,314,525,11
18:33:48.902154,230509,0,0,2,19,309,315,526,10
18:33:48.917540,230519,0,0,3,16,311,314,526,9
18:33:48.932495,230529,0,0,2,16,313,314,526,8
18:33:48.959599,230539,0,0,1,14,316,316,526,7
18:33:48.977680,230549,0,0,1,13,319,316,527,6
18:33:48.992493,230559,0,0,1,11,321,317,529,6
18:33:49.009839,230569,0,0,0,10,324,317,531,5
18:33:49.025870,230579,0,0,0,9,326,319,531,5
18:33:49.038890,230589,0,0,1,7,328,320,532,4
18:33:49.055502,230599,0,0,0,7,330,321,532,4
18:33:49.072261,230609,0,0,0,6,333,321,534,3
18:33:49.089527,230619,0,0,0,6,335,323,535,3
18:33:49.106014,230629,0,0,0,5,336,324,536,3
18:33:49.122094,230639,0,0,0,4,337,324,537,2
18:33:49.137968,230649,0,0,0,4,338,325,538,2
18:33:49.157632,230659,0,0,0,3,339,326,538,2
18:33:49.174682,230669,0,0,0,3,340,327,539,2
18:33:49.203980,230679,0,0,0,3,340,327,539,1
18:33:49.216165,230689,0,0,0,2,340,328,539,1
18:33:49.234547,230700,0,0,0,1,341,328,539,1
18:33:49.268968,230709,0,0,0,2,341,328,539,1
18:33:49.299538,230719,0,0,0,2,341,328,540,0
18:33:49.328377,230729,0,0,0,1,341,328,541,0
18:33:49.357860,230739,0,0,0,0,341,328,542,0
18:33:49.375482,230749,0,0,0,1,342,328,543,0
18:33:49.404071,230759,0,0,0,1,342,328,543,0
18:33:49.416537,230769,0,0,0,0,342,328,543,0
18:33:49.435374,230779,0,0,0,0,342,328,543,0
18:33:49.456006,230789,0,0,0,0,342,327,544,0
18:33:49.487772,230799,0,0,0,0,341,328,544,0
18:33:49.515380,230809,0,0,0,0,341,327,545,0
18:33:49.533390,230819,0,0,0,0,341,327,547,0
18:33:49.548448,230829,0,0,0,0,341,327,548,0
18:33:49.560770,230839,0,0,0,0,341,328,552,0
18:33:49.580065,230849,0,0,0,0,341,327,553,0
18:33:49.610156,230859,0,0,0,0,341,328,556,0
18:33:49.641225,230870,0,0,0,0,339,330,559,0
18:33:49.655929,230879,0,0,0,0,339,331,561,0
18:33:49.670809,230889,0,0,0,0,339,331,564,0
18:33:49.689012,230899,0,0,0,0,339,331,566,0
18:33:49.720064,230909,0,0,0,0,340,332,569,0
18:33:49.750614,230919,0,0,0,0,340,332,572,0
18:33:49.782440,230929,0,0,0,0,341,332,576,0
18:33:49.811784,230939,0,0,0,0,343,333,580,0
18:33:49.853332,230949,0,0,0,0,344,333,582,0
18:33:49.884147,230959,0,0,0,0,347,334,585,0
18:33:49.926684,230969,0,0,0,0,348,333,588,0
18:33:49.955359,230979,0,0,0,0,351,334,589,0
18:33:49.979845,230989,0,0,0,0,356,334,591,0
18:33:50.008305,230999,0,0,0,2,363,334,593,0
18:33:50.021080,231009,0,0,0,6,369,333,595,0
18:33:50.039757,231019,0,0,0,11,378,333,596,0
18:33:50.055275,231029,0,0,0,15,389,332,599,0
18:33:50.073312,231040,0,0,0,21,402,332,600,0
18:33:50.102230,231049,0,0,0,29,416,332,602,0
18:33:50.117362,231059,0,0,0,38,430,333,603,0
18:33:50.132267,231069,0,0,0,51,447,332,605,0
18:33:50.148576,231079,0,0,0,66,466,330,605,0
18:33:50.162141,231089,0,0,0,84,487,327,603,0
18:33:50.176833,231099,0,0,0,109,509,322,602,0
18:33:50.196370,231109,3,0,0,141,536,318,595,0
18:33:50.214312,231119,30,0,0,181,567,314,587,0
18:33:50.244945,231129,69,0,0,224,600,311,579,0
18:33:50.258592,231139,115,4,0,268,632,309,573,0
18:33:50.280049,231149,158,21,0,314,659,308,569,0
18:33:50.309901,231159,199,46,0,359,680,308,566,0
18:33:50.342270,231169,239,84,0,406,702,307,565,0
18:33:50.372285,231179,276,133,0,453,725,305,565,0
18:33:50.404298,231189,313,189,12,498,752,305,565,0
18:33:50.434412,231199,351,250,37,540,775,305,568,0
18:33:50.469420,231209,385,310,74,576,795,303,567,0
18:33:50.502006,231219,415,365,120,608,812,303,569,0
18:33:50.527833,231229,443,417,172,635,823,303,569,0
18:33:50.549958,231239,468,466,228,656,833,304,569,0
18:33:50.579842,231249,491,512,286,671,840,305,568,0
18:33:50.610801,231259,510,550,344,685,844,306,566,0
18:33:50.642119,231269,525,583,398,697,849,307,564,0
18:33:50.672495,231279,537,611,453,708,853,311,566,0
18:33:50.704312,231289,547,635,507,716,855,322,584,0
18:33:50.734366,231299,557,657,553,723,858,351,623,0
18:33:50.755303,231309,568,676,589,730,861,397,673,0
18:33:50.785262,231319,578,693,619,735,863,446,721,13
18:33:50.806710,231329,587,707,642,739,865,490,759,33
18:33:50.838681,231340,595,717,659,745,867,526,787,55
18:33:50.870082,231349,601,725,673,750,870,555,806,78
18:33:50.899941,231359,606,730,684,754,870,579,819,98
18:33:50.934154,231369,610,734,692,757,871,598,828,116
18:33:50.961760,231379,613,738,699,760,872,614,835,135
18:33:50.994152,231389,616,741,704,762,873,629,842,152
18:33:51.028686,231399,619,745,709,766,876,642,849,173
18:33:51.060206,231409,620,747,712,767,874,652,852,197
18:33:51.091957,231419,622,749,715,769,875,664,858,225
18:33:51.118488,231429,623,751,717,770,876,675,863,255
18:33:51.147788,231439,624,753,720,771,876,685,868,286
18:33:51.165690,231449,624,754,723,772,877,695,873,314
18:33:51.200336,231459,623,756,726,773,877,704,877,341
18:33:51.230795,231469,621,755,730,774,878,713,879,366
18:33:51.251912,231479,619,755,733,775,878,721,883,389
18:33:51.279755,231489,617,755,737,776,879,728,886,411
18:33:51.294213,231499,615,755,739,778,879,735,889,429
18:33:51.309811,231510,614,756,742,779,879,741,891,447
18:33:51.327472,231519,614,758,745,780,881,748,895,466
18:33:51.346743,231529,611,756,745,779,880,752,895,482
18:33:51.363051,231539,609,755,746,779,880,757,898,499
18:33:51.378323,231549,606,754,748,780,880,761,899,513
18:33:51.409557,231619,555,725,753,781,876,775,902,538
18:33:51.426189,231629,547,719,755,781,875,775,901,535
18:33:51.444536,231639,540,713,755,781,875,775,901,531
18:33:51.476507,231649,532,706,756,782,874,775,901,528
18:33:51.505817,231659,525,701,756,782,874,775,900,523
18:33:51.530371,231669,518,694,757,783,873,775,900,521
18:33:51.562536,231680,511,689,758,784,873,776,901,519
18:33:51.592802,231689,507,686,758,784,874,776,901,518
18:33:51.628797,231699,504,683,760,784,873,776,901,519
18:33:51.660213,231709,502,682,760,785,874,776,901,520
18:33:51.692510,231719,501,681,762,785,873,776,901,521
18:33:51.718973,231729,502,680,763,786,874,776,902,524
18:33:51.735876,231739,502,680,765,786,874,776,902,526
18:33:51.765174,231749,503,679,766,787,874,776,902,528
18:33:51.782588,231759,504,679,769,787,875,777,902,531
18:33:51.814536,231769,505,680,770,788,875,777,902,534
18:33:51.846690,231779,507,680,772,788,875,778,903,537
18:33:51.877590,231789,508,680,773,789,875,778,903,540
18:33:51.889041,231799,509,682,775,789,875,779,903,542
18:33:51.906750,231809,508,682,776,790,876,779,903,544
18:33:51.919084,231819,508,682,778,791,876,780,903,544
18:33:51.939788,231829,508,681,779,791,876,780,902,545
18:33:51.969911,231839,509,681,781,791,876,780,903,545
18:33:52.001695,231849,508,681,782,792,876,781,902,545
18:33:52.031487,231859,508,680,782,793,877,781,902,545
18:33:52.063317,231869,508,681,784,793,877,781,903,545
18:33:52.094688,231879,509,680,784,793,877,780,902,544
18:33:52.125528,231889,509,681,786,793,877,780,902,544
18:33:52.136269,231899,509,681,786,793,877,780,902,543
18:33:52.156691,231909,508,680,787,794,878,780,902,543
18:33:52.188163,231919,508,680,787,793,878,780,902,544
18:33:52.222993,231929,506,679,789,794,877,780,903,545
18:33:52.254143,231939,502,677,788,794,877,780,902,545
18:33:52.283024,231949,498,674,788,794,876,781,902,545
18:33:52.303251,231959,493,671,788,794,877,781,903,545
18:33:52.330634,231969,489,667,788,794,876,782,903,546
18:33:52.361848,231980,483,664,788,794,875,782,902,546
18:33:52.392674,231989,478,661,789,794,874,782,903,547
18:33:52.424134,231999,473,656,788,794,874,783,903,548
18:33:52.454373,232009,468,652,788,793,874,784,904,549
18:33:52.482476,232019,463,649,788,792,872,785,904,549
18:33:52.497536,232029,459,646,787,792,872,786,904,550
18:33:52.512903,232039,456,644,787,791,871,786,905,550
18:33:52.528711,232049,453,643,785,790,870,786,904,551
18:33:52.546340,232059,451,642,785,790,870,787,905,553
18:33:52.562249,232069,450,642,783,789,870,787,905,556
18:33:52.580343,232079,450,642,782,787,872,788,905,558
18:33:52.610289,232089,450,643,780,785,869,788,906,561
18:33:52.625414,232099,451,643,777,785,868,788,907,563
18:33:52.641244,232109,453,645,775,783,868,789,906,566
18:33:52.659374,237539,477,619,626,696,846,721,880,538
18:33:52.674584,237549,476,619,625,695,845,721,881,539
18:33:52.692015,237559,476,619,624,695,845,721,881,538
18:33:52.730198,237569,475,618,624,694,844,721,880,538
18:33:52.749092,237579,474,617,623,693,845,721,880,539
18:33:52.761844,237589,474,617,622,693,845,721,880,541
18:33:52.781421,237599,471,616,621,692,843,721,880,540
18:33:52.816713,237609,469,616,620,691,843,721,880,540
18:33:52.848520,237619,467,616,619,691,842,722,881,540
18:33:52.878990,237629,465,615,619,689,842,722,881,541
18:33:52.922525,237699,441,603,615,685,839,727,884,547
18:33:52.952986,237709,437,601,614,684,839,729,884,549
18:33:52.984462,237719,433,598,613,683,838,729,885,551
18:33:53.014277,237729,430,595,612,682,837,730,886,554
18:33:53.050275,237740,426,592,611,680,837,731,886,555
18:33:53.068970,237749,422,589,609,678,835,732,887,557
18:33:53.081063,237759,418,586,608,677,835,733,888,559
18:33:53.101938,237769,413,582,606,675,834,734,888,561
18:33:53.132365,237779,409,579,605,673,833,735,889,562
18:33:53.146332,237789,403,576,603,671,832,736,890,564
18:33:53.167430,237799,398,574,602,670,832,739,892,567
18:33:53.199761,237809,390,570,599,667,830,738,891,567
18:33:53.216907,237819,383,568,597,664,829,741,892,568
18:33:53.247878,237829,376,565,595,662,828,742,893,570
18:33:53.280054,237839,368,563,593,659,827,743,894,573
18:33:53.300756,237849,362,561,591,657,826,745,895,574
18:33:53.330210,237859,357,559,588,655,826,746,895,576
18:33:53.342317,237869,352,557,587,654,824,746,895,577
18:33:53.363102,237879,349,556,585,652,824,747,895,578
18:33:53.405608,237889,346,555,584,652,824,748,896,579
18:33:53.434203,237899,345,555,583,651,824,749,896,580
18:33:53.468634,237910,343,555,583,651,824,749,896,581
18:33:53.496018,237919,342,557,585,653,826,750,898,582
18:33:53.508098,237929,342,556,584,652,825,750,897,581
18:33:53.527818,237939,341,556,585,652,826,751,898,581
18:33:53.558565,237949,342,557,588,654,827,752,898,583
18:33:53.584614,237959,342,559,589,654,826,752,897,581
18:33:53.621228,237969,342,559,590,655,826,753,898,581
18:33:53.636762,237979,343,560,592,656,827,754,898,581
18:33:53.651374,237989,344,561,593,658,828,754,898,581
18:33:53.667144,237999,345,562,594,658,829,755,898,581
18:33:53.681759,238009,346,563,597,660,830,757,899,582
18:33:53.696365,238019,347,564,597,659,829,756,899,581
18:33:53.713088,238029,349,566,598,660,829,757,900,582
18:33:53.729482,238039,350,567,599,661,830,758,899,582
18:33:53.746348,238049,352,569,601,661,830,758,899,583
18:33:53.763411,238059,352,570,601,661,831,759,899,583
18:33:53.780524,238069,354,572,602,662,831,760,900,584
18:33:53.795519,238080,354,572,602,662,831,761,901,584
18:33:53.812880,238089,355,574,602,661,831,761,901,583
18:33:53.844086,238099,355,575,603,662,832,763,901,584
18:33:53.874549,238109,354,576,603,661,832,763,900,584
18:33:53.904316,238119,353,577,603,661,832,765,901,584
18:33:53.922956,238129,353,578,604,660,832,765,902,585
18:33:53.954241,238139,351,578,602,658,831,766,903,586
18:33:53.982971,238149,349,578,601,656,831,767,903,587
18:33:54.017711,238159,346,578,599,654,831,768,902,587
18:33:54.048355,238169,343,578,597,651,830,768,903,589
18:33:54.075391,238179,340,577,592,645,828,769,902,589
18:33:54.098588,238189,337,575,589,640,828,770,903,592
18:33:54.116296,238199,333,575,584,636,827,770,904,594
18:33:54.148143,238209,328,573,578,631,826,771,904,596
18:33:54.179044,238219,325,573,574,628,826,772,904,597
18:33:54.210086,238229,321,571,567,623,824,773,904,598
18:33:54.242316,238239,318,570,562,619,823,773,905,600
18:33:54.272507,238249,315,571,557,615,823,774,905,601
18:33:54.304540,238259,312,570,551,610,822,774,905,602
18:33:54.335177,238269,309,571,546,606,822,773,906,602
18:33:54.365906,238279,306,571,542,603,821,772,905,601
18:33:54.395351,238289,302,572,538,599,820,772,905,601
18:33:54.407097,238299,300,572,534,595,820,774,905,600
18:33:54.427444,238309,295,573,531,593,820,774,906,600
18:33:54.459063,238319,293,574,530,592,822,776,906,601
18:33:54.488888,238329,291,576,530,591,820,778,907,603
18:33:54.521254,238339,289,578,530,591,821,781,909,605
18:33:54.556934,238349,288,580,531,591,821,785,910,610
18:33:54.594931,238359,286,583,533,591,822,788,912,614
18:33:54.625807,238369,283,586,535,592,822,791,915,619
18:33:54.655587,238380,280,588,537,593,824,795,915,622
18:33:54.682505,238389,279,592,540,595,826,800,917,627
18:33:54.695599,238399,276,595,541,594,824,801,918,632
18:33:54.712565,238409,274,597,543,596,825,806,920,637
18:33:54.744289,238419,272,600,545,596,826,807,920,643
18:33:54.763378,238429,270,604,548,598,827,810,923,648
18:33:54.792261,238439,269,607,550,600,827,813,923,651
18:33:54.809005,238449,269,611,552,600,828,816,924,656
18:33:54.821779,238459,269,615,555,602,830,818,925,663
18:33:54.838871,238469,270,620,558,603,830,821,926,668
18:33:54.852932,238479,271,623,561,603,831,823,927,674
18:33:54.868625,238489,272,628,564,605,833,826,928,680
18:33:54.882831,238499,273,632,567,606,834,828,930,685
18:33:54.899745,238509,274,636,569,607,835,830,930,691
18:33:54.915268,238519,275,640,572,608,835,832,930,693
18:33:54.929361,238529,276,644,574,607,835,833,931,697
18:33:54.947625,238539,276,647,577,605,835,835,931,700
18:33:54.962395,238550,276,649,578,604,836,835,931,702
18:33:54.978890,238559,275,650,579,604,836,836,931,703
